GEOID,total_cvap_acs5_23,white_cvap_acs5_23,black_cvap_acs5_23,amin_cvap_acs5_23,asian_cvap_acs5_23,nhpi_cvap_acs5_23,other_cvap_acs5_23,two_or_more_races_cvap_acs5_23,non_hispanic_white_cvap_acs5_23,hispanic_cvap_acs5_23
13257,20561.0,17388.0,2282.0,28.0,209.0,0.0,117.0,537.0,17310.0,303.0
13259,3780.0,1168.0,2480.0,18.0,0.0,0.0,0.0,114.0,1090.0,87.0
13261,21986.0,9734.0,10887.0,51.0,237.0,48.0,120.0,909.0,9448.0,687.0
13263,4814.0,2058.0,2563.0,2.0,0.0,0.0,35.0,156.0,2045.0,48.0
13265,1388.0,566.0,696.0,0.0,1.0,4.0,48.0,73.0,558.0,9.0
13267,18390.0,11445.0,5526.0,49.0,16.0,0.0,624.0,730.0,11309.0,861.0
13269,6146.0,3715.0,2341.0,6.0,26.0,0.0,5.0,53.0,3701.0,22.0
13271,8910.0,4970.0,3660.0,2.0,19.0,0.0,4.0,255.0,4824.0,437.0
13273,6849.0,2728.0,3966.0,0.0,37.0,1.0,64.0,53.0,2728.0,90.0
13275,34354.0,20977.0,11987.0,108.0,256.0,0.0,204.0,822.0,20645.0,829.0
13277,29284.0,18276.0,8847.0,152.0,125.0,1.0,546.0,1337.0,17719.0,1893.0
13279,18643.0,12624.0,4396.0,105.0,70.0,0.0,323.0,1125.0,12166.0,1070.0
13281,11009.0,10341.0,213.0,32.0,5.0,5.0,34.0,379.0,10282.0,273.0
13283,4853.0,3232.0,1391.0,5.0,0.0,0.0,0.0,225.0,3209.0,37.0
13285,50970.0,30382.0,18241.0,64.0,734.0,5.0,465.0,1079.0,29876.0,1036.0
13287,6508.0,3869.0,2308.0,13.0,0.0,0.0,151.0,167.0,3822.0,185.0
13289,6324.0,3602.0,2476.0,27.0,21.0,0.0,41.0,157.0,3573.0,29.0
13291,21306.0,20309.0,224.0,15.0,28.0,0.0,77.0,653.0,20175.0,402.0
13293,21137.0,14775.0,5648.0,16.0,87.0,18.0,46.0,547.0,14624.0,222.0
13295,53361.0,48915.0,2476.0,91.0,192.0,14.0,273.0,1400.0,48567.0,1083.0
13297,74023.0,56081.0,13911.0,82.0,808.0,33.0,839.0,2269.0,54755.0,2818.0
13299,26397.0,17627.0,7800.0,89.0,151.0,11.0,192.0,527.0,17482.0,678.0
13301,4122.0,1736.0,2289.0,0.0,13.0,0.0,0.0,84.0,1705.0,57.0
13303,15462.0,6876.0,8152.0,38.0,68.0,0.0,65.0,263.0,6814.0,189.0
13305,22615.0,16968.0,4408.0,23.0,48.0,0.0,525.0,643.0,16702.0,978.0
13307,1915.0,950.0,910.0,0.0,0.0,0.0,0.0,55.0,912.0,38.0
13309,6228.0,3574.0,2502.0,9.0,0.0,0.0,68.0,75.0,3450.0,225.0
13311,22813.0,21030.0,562.0,35.0,180.0,0.0,372.0,634.0,20921.0,519.0
13313,66575.0,52012.0,2890.0,575.0,654.0,11.0,5782.0,4651.0,46800.0,15105.0
13315,6943.0,4218.0,2503.0,4.0,0.0,1.0,54.0,163.0,4206.0,72.0
13317,7393.0,4123.0,2999.0,21.0,0.0,0.0,42.0,208.0,4096.0,179.0
13319,6787.0,3906.0,2564.0,1.0,1.0,0.0,137.0,178.0,3895.0,172.0
13321,15914.0,11148.0,3790.0,98.0,99.0,2.0,80.0,697.0,11019.0,213.0
