GEOID,white_amin_asian_pop_20,white_amin_asian_other_pop_20,amin_asian_nhpi_pop_20,white_black_asian_nhpi_other_pop_20,amin_asian_pop_20,amin_asian_other_pop_20,white_amin_nhpi_pop_20,white_amin_asian_nhpi_other_pop_20,white_amin_nhpi_other_pop_20,white_amin_other_pop_20,amin_nhpi_pop_20,white_asian_nhpi_other_pop_20,amin_nhpi_other_pop_20,black_amin_asian_nhpi_other_pop_20,amin_other_pop_20,two_races_pop_20,asian_nhpi_other_pop_20,white_asian_nhpi_pop_20,black_amin_asian_nhpi_pop_20,white_black_pop_20,white_asian_other_pop_20,asian_nhpi_pop_20,black_amin_asian_other_pop_20,four_races_pop_20,asian_other_pop_20,white_amin_pop_20,white_black_amin_asian_pop_20,white_nhpi_other_pop_20,white_asian_pop_20,total_pop_20,black_amin_asian_pop_20,nhpi_other_pop_20,white_black_amin_nhpi_pop_20,one_race_pop_20,three_races_pop_20,white_nhpi_pop_20,black_amin_nhpi_pop_20,six_races_pop_20,white_black_amin_asian_nhpi_other_pop_20,black_amin_nhpi_other_pop_20,black_asian_nhpi_other_pop_20,five_races_pop_20,amin_asian_nhpi_other_pop_20,white_black_amin_other_pop_20,white_black_amin_asian_nhpi_pop_20,white_black_asian_other_pop_20,white_black_asian_nhpi_pop_20,white_black_nhpi_other_pop_20,black_asian_other_pop_20,white_black_amin_asian_other_pop_20,black_asian_nhpi_pop_20,black_nhpi_other_pop_20,white_black_other_pop_20,white_black_amin_nhpi_other_pop_20,white_amin_asian_nhpi_pop_20,white_other_pop_20,white_pop_20,black_amin_other_pop_20,white_black_amin_pop_20,black_pop_20,white_black_asian_pop_20,black_amin_pop_20,black_asian_pop_20,amin_pop_20,white_black_nhpi_pop_20,asian_pop_20,black_nhpi_pop_20,black_other_pop_20,nhpi_pop_20,other_pop_20,two_or_more_races_pop_20
13121,188,21,0,0,108,0,23,0,0,598,8,3,0,7,476,65723,3,130,3,10600,301,156,5,633,390,4849,167,9,7715,1066710,59,46,29,995802,4480,214,15,0,0,0,5,72,0,325,32,49,17,0,76,32,45,11,828,1,9,31871,418700,116,1524,453834,501,3001,1592,3255,53,80949,229,4468,452,38612,70908
13123,6,0,0,0,2,0,0,0,0,11,0,0,0,0,78,1731,0,0,0,79,0,0,0,11,1,685,3,1,73,31353,2,0,0,29566,45,1,0,0,0,0,0,0,0,7,0,1,0,0,1,0,0,0,9,0,0,779,26962,6,6,146,2,6,0,260,1,143,2,25,5,2050,1787
13125,4,0,0,0,0,0,0,1,0,1,0,0,0,0,4,58,2,0,1,9,1,0,0,5,0,29,0,0,0,2884,0,0,1,2801,17,1,0,0,0,0,0,3,0,0,0,3,0,0,0,2,1,0,2,0,0,10,2590,1,3,196,0,1,2,0,2,7,0,2,4,4,83
13127,10,0,0,0,0,0,1,0,0,68,0,1,0,0,31,4538,3,11,0,867,3,12,0,32,15,970,9,1,322,84499,0,13,0,79673,254,22,4,0,0,0,0,2,0,0,0,6,5,3,1,2,7,7,35,0,8,1913,54229,2,69,20676,32,126,48,372,0,1189,18,181,121,3086,4826
13129,13,0,0,0,3,0,0,0,0,43,0,0,0,0,55,4378,5,7,0,514,3,5,0,36,3,1173,2,1,124,57544,0,2,4,52960,170,14,0,0,0,0,0,0,0,23,0,3,0,0,0,0,0,0,57,0,4,2357,45135,5,29,2147,7,28,28,358,0,722,6,66,21,4577,4584
13131,0,0,0,0,3,0,0,1,0,8,0,0,0,0,43,1298,0,0,0,200,3,0,0,12,2,319,0,0,32,26236,0,0,3,24887,37,1,0,0,0,0,1,2,0,0,1,3,0,4,0,0,0,0,2,0,1,579,15065,1,14,7336,9,22,8,256,0,120,3,86,6,2104,1349
13133,3,0,0,0,0,0,0,0,0,1,0,0,0,0,6,858,0,6,6,156,0,0,0,8,0,136,0,0,42,18915,0,2,0,18026,22,10,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,3,0,0,466,11296,0,6,5810,3,20,0,37,0,174,1,19,4,705,889
13135,196,21,0,0,211,0,13,0,2,1130,14,2,0,1,1611,96524,18,149,2,10413,310,220,3,625,735,5946,150,36,6514,957062,56,151,9,854481,5408,214,6,6,6,0,1,18,0,367,2,24,20,3,79,10,20,11,1196,5,21,60089,339822,135,1383,262709,632,1778,1933,7918,38,127152,167,6528,604,116276,102581
13137,0,1,0,0,0,4,2,0,0,52,0,0,0,0,19,3573,0,5,0,295,0,0,0,27,8,813,9,0,149,46031,2,8,0,42313,118,17,1,0,0,1,0,0,0,12,0,0,0,0,0,0,4,0,14,0,4,2220,36249,2,20,1749,9,19,1,236,3,999,0,24,36,3044,3718
13139,38,4,0,0,14,0,1,0,0,220,0,0,0,0,575,21606,3,9,0,1511,49,15,0,57,41,2663,21,5,792,203136,0,1,1,180847,624,54,1,0,0,0,0,2,0,31,1,0,0,0,3,0,0,8,135,1,0,15459,130744,10,112,14660,28,89,43,1739,2,4254,6,343,107,29343,22289
13141,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,180,0,2,0,73,1,0,0,0,1,49,0,0,13,8735,2,1,0,8535,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,25,2421,0,9,6028,2,8,0,25,0,37,0,7,1,23,200
13143,4,3,0,0,2,0,3,0,0,10,2,0,0,0,0,1112,0,0,0,217,2,1,0,7,0,559,1,0,57,29919,0,0,3,28749,48,6,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,1,0,0,233,27011,3,19,1253,2,9,13,64,1,187,1,12,11,223,1170
13145,20,0,0,0,0,0,0,0,0,20,0,0,0,0,7,1934,0,3,0,351,18,8,4,14,3,585,0,0,257,34668,2,3,0,32607,108,18,2,0,0,0,0,5,0,5,5,4,1,0,0,0,2,0,2,0,0,614,26353,0,34,5237,5,25,14,122,0,397,2,47,21,477,2061
13147,3,0,0,0,5,0,0,0,0,4,0,1,0,0,0,1117,0,4,0,312,0,0,0,9,0,318,3,0,60,25828,5,1,0,24648,52,13,0,0,0,0,0,2,0,4,0,0,1,0,0,2,2,0,0,0,0,373,19447,0,25,4334,9,21,3,63,0,335,4,7,2,467,1180
13149,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,561,0,0,0,144,3,0,0,3,1,273,3,2,18,11412,0,0,0,10810,38,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,6,0,0,96,9672,0,11,942,4,6,1,33,0,53,0,15,6,104,602
13151,34,4,0,0,9,3,5,0,1,118,3,0,0,0,149,14407,5,17,0,3224,19,18,0,108,89,1991,21,0,954,240712,12,12,3,225110,1073,63,7,3,3,0,0,11,0,71,1,0,0,1,4,10,23,5,237,0,7,5014,89241,27,429,118124,116,801,437,832,12,8064,82,1561,132,8717,15602
13153,54,6,4,1,18,0,1,0,0,76,0,1,0,0,68,11004,7,57,6,2313,33,49,0,91,51,2014,20,3,1380,163633,17,14,4,151769,768,76,3,0,0,0,0,1,0,43,0,0,8,0,17,0,0,0,132,0,3,4039,88519,10,249,52610,105,292,292,574,0,4975,21,377,153,4938,11864
13155,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,275,0,0,0,53,0,2,0,12,0,98,0,1,16,9666,0,0,0,9358,21,8,0,0,0,1,0,0,0,9,0,2,0,0,0,0,1,0,9,0,0,77,6487,3,3,2229,4,8,2,24,0,119,1,8,1,498,308
13157,6,6,0,0,1,0,0,0,0,61,0,0,0,0,28,4832,0,4,0,682,10,17,2,21,7,1282,0,4,368,75907,4,0,0,70893,158,21,0,0,0,0,1,3,0,8,1,4,0,0,0,2,1,0,19,0,0,2283,60464,4,36,5232,9,49,25,245,0,1780,2,67,44,3128,5014
13159,1,0,0,0,4,0,0,0,0,4,2,4,0,0,1,733,1,0,0,161,0,0,0,10,8,298,0,0,22,14588,3,0,0,13819,26,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,0,0,0,0,212,10913,1,0,2464,3,13,2,42,9,24,3,7,9,367,769
13161,2,0,0,0,1,0,0,0,1,9,0,0,0,0,2,683,0,0,0,142,0,1,0,7,4,140,5,2,7,14779,0,2,0,14058,31,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,8,0,0,361,10354,1,5,2307,0,4,5,82,0,54,3,8,7,1254,721
13163,7,0,0,0,0,0,0,0,0,2,0,0,0,0,2,359,0,0,0,163,0,3,0,6,0,54,0,0,4,15709,3,0,0,15299,45,11,0,0,0,0,0,0,0,0,0,0,6,0,3,0,4,1,0,0,0,95,6941,0,19,7976,6,19,6,44,0,70,0,2,0,268,410
13165,0,1,0,0,0,0,0,0,0,2,0,0,0,0,10,190,0,0,0,66,0,0,0,6,7,53,0,0,7,8674,0,1,0,8462,15,1,0,0,0,0,0,1,0,4,0,1,0,0,0,1,0,0,4,0,0,37,4679,3,1,3545,4,2,0,35,1,12,0,6,5,186,212
13167,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,208,0,0,0,73,0,0,0,2,5,78,0,0,9,9189,0,0,0,8967,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34,5822,0,10,3032,0,5,0,23,1,28,0,2,15,47,222
13169,2,0,0,0,0,2,0,0,0,14,0,0,0,0,0,925,0,5,0,238,0,0,0,8,0,329,6,1,49,28347,0,0,0,27363,51,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,6,0,0,234,20206,3,13,6767,1,49,8,49,3,141,2,15,7,193,984
13171,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,722,0,2,0,211,1,1,0,7,0,220,0,0,55,18500,0,0,0,17726,45,3,0,0,0,0,0,0,0,0,0,6,1,0,2,0,0,0,0,0,0,178,12475,5,23,4914,4,39,11,21,0,103,0,4,4,209,774
13173,3,0,0,0,1,0,0,0,0,1,3,2,0,0,2,544,0,0,0,131,0,0,0,4,0,128,0,0,23,9877,2,0,0,9300,29,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,212,6794,0,13,2173,3,16,2,40,2,81,10,10,20,192,577
13175,6,2,1,0,0,0,0,0,0,6,0,0,0,0,6,1587,0,0,0,583,0,5,6,14,5,405,6,0,72,49570,0,1,0,47904,58,11,0,0,0,0,0,7,0,0,1,0,0,0,0,6,0,0,2,0,0,346,28160,2,32,18332,7,73,23,102,2,513,0,57,14,783,1666
13177,8,5,0,0,9,0,7,0,0,6,0,0,0,0,19,1386,0,3,0,259,6,5,0,22,11,417,6,0,162,33163,0,3,0,31675,76,5,0,0,0,0,2,4,0,8,4,0,0,1,3,0,5,0,8,0,0,442,22985,2,18,7375,7,13,19,78,3,854,7,15,13,370,1488
13179,31,0,0,0,4,0,5,0,0,28,1,0,0,0,27,5723,2,24,0,1609,17,41,6,82,17,672,11,0,491,65256,10,22,0,58897,551,63,0,3,3,0,0,0,0,59,0,6,0,0,0,0,3,3,118,0,0,1863,25953,26,186,28095,82,225,138,320,16,1380,89,461,478,2671,6359
13181,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,209,0,6,0,30,0,3,0,7,0,101,5,0,2,7690,7,6,0,7426,48,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,42,5239,0,13,2124,0,12,0,18,4,20,7,3,3,22,264
13183,10,3,0,0,0,0,0,0,0,9,0,0,0,0,0,1389,0,9,0,375,8,0,0,16,1,268,3,2,104,16168,7,7,0,14634,126,15,0,0,0,0,0,3,0,9,3,0,0,0,4,0,1,1,16,0,1,488,9197,3,39,4125,17,37,16,137,0,181,22,56,91,903,1534
13185,10,0,2,0,4,0,3,0,0,59,0,0,0,0,38,6394,1,36,4,1390,18,17,0,34,20,1191,16,10,610,118251,8,10,5,111390,418,56,0,2,2,0,0,13,0,6,3,0,0,3,3,10,16,0,69,0,0,2452,61186,1,120,44434,50,222,105,477,12,1952,32,247,117,3224,6861
13187,13,0,0,0,3,1,0,0,0,13,0,1,0,0,10,2072,0,0,0,188,2,0,0,20,4,881,7,1,151,33488,0,2,2,31335,60,14,0,0,0,0,0,1,0,0,0,0,0,1,3,1,0,0,4,0,9,792,29750,0,12,429,11,0,8,187,0,257,2,17,21,691,2153
13189,6,2,0,0,4,0,2,0,1,9,0,0,0,0,8,770,0,1,0,233,8,3,0,22,1,174,4,0,50,21632,1,4,0,20759,79,3,0,0,0,0,0,2,0,10,2,0,0,5,2,0,0,0,11,0,0,234,11580,0,27,8682,8,9,7,50,4,77,4,36,20,350,873
13191,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,462,0,0,0,147,0,0,0,7,3,138,7,0,32,10975,0,0,0,10488,18,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,85,7145,0,3,3192,0,15,1,38,4,43,0,28,0,70,487
13193,5,0,0,0,0,0,0,0,1,5,0,0,0,0,0,224,0,0,0,99,0,0,0,2,6,28,1,0,1,12082,1,0,0,11835,20,2,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,4,0,0,67,4153,0,0,7164,0,16,5,32,0,156,0,0,8,322,247
13195,7,0,0,0,1,0,0,1,0,18,4,0,0,0,0,1663,0,4,0,341,0,0,0,12,0,543,3,1,92,30120,0,0,2,28381,60,0,0,0,0,0,0,4,0,0,0,7,0,0,0,3,0,0,5,0,0,641,23977,0,22,2769,3,22,0,82,0,529,2,17,7,1017,1739
13197,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,319,1,0,3,51,3,5,0,12,0,122,0,0,16,7498,0,2,0,7143,24,10,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,6,102,4551,1,0,2150,4,4,0,24,0,55,0,7,16,347,355
13199,3,0,0,0,0,0,0,0,0,6,0,0,0,0,4,701,0,2,0,219,0,0,0,0,0,242,0,2,34,20613,2,8,0,19880,31,7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,164,12233,2,12,7286,1,11,0,64,0,78,3,9,6,213,733
13201,0,0,0,0,0,1,0,0,1,4,0,0,0,0,2,146,0,0,0,55,0,0,1,2,0,40,0,0,8,6000,1,0,0,5836,15,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,0,0,25,3986,0,4,1751,0,4,3,10,0,31,1,5,3,55,164
13205,0,1,0,0,5,0,0,0,0,5,0,0,0,0,10,564,0,0,0,192,1,0,0,7,0,106,0,0,29,21755,0,0,0,21159,23,10,3,0,0,0,0,2,0,3,2,3,0,0,0,0,0,1,1,0,0,149,10273,0,7,10114,4,22,3,45,1,108,4,34,0,619,596
13207,0,0,0,0,0,0,0,0,0,13,0,0,0,0,4,1055,0,0,0,217,0,1,0,7,2,376,0,2,85,27957,1,0,0,26833,62,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,5,0,2,304,20122,2,35,6113,0,31,7,43,3,244,6,18,4,307,1124
13209,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,278,0,0,0,65,0,2,0,8,0,79,0,0,13,8610,0,4,2,8312,12,2,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,102,5789,0,10,2133,0,3,0,25,0,39,0,6,2,324,298
13211,6,0,0,0,4,0,0,0,0,6,0,0,0,0,0,755,0,0,0,139,7,0,0,2,3,268,1,1,42,20097,0,0,0,19284,47,6,0,0,0,0,1,9,0,0,5,0,0,0,0,4,3,0,6,0,0,253,14609,0,8,4122,10,20,9,48,0,126,0,11,1,378,813
13213,1,0,0,0,0,0,0,2,0,26,1,0,0,0,28,2727,0,4,0,207,0,0,0,12,11,925,4,0,48,39973,0,3,0,37164,68,7,0,0,0,0,0,2,0,8,0,0,0,0,4,0,0,0,8,0,0,1479,33343,3,11,282,8,5,4,599,3,134,0,9,2,2804,2809
13215,74,5,0,0,27,0,3,0,0,125,5,3,0,0,76,13394,1,67,0,3200,44,109,0,113,64,1867,31,1,1434,206922,7,21,1,192287,1107,133,0,3,3,0,4,18,0,54,3,7,5,0,20,15,9,0,153,0,3,4524,82467,51,375,96163,162,590,414,827,15,5661,98,832,555,6614,14635
13217,14,0,0,0,4,0,0,0,0,50,0,0,0,0,55,5999,0,8,0,1594,0,19,0,53,17,1075,12,7,241,112483,6,2,3,106030,398,21,4,0,0,0,0,3,0,32,0,1,2,0,9,3,9,3,67,0,3,1830,48030,14,159,52794,37,261,135,330,11,1053,32,713,125,3698,6453
13219,9,0,0,0,3,0,3,0,0,24,0,0,0,0,0,2281,0,9,1,251,8,2,0,11,12,534,2,0,355,41799,0,0,0,39413,93,7,0,0,0,0,0,1,0,8,0,0,0,0,0,1,1,0,8,0,0,1061,34450,2,28,1921,1,11,11,76,0,2082,0,34,0,884,2386
13221,0,1,0,0,0,0,1,0,0,27,0,0,0,0,2,833,0,0,0,160,0,1,0,8,9,283,0,0,51,14825,2,0,0,13933,51,6,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,3,1,0,2,301,11072,0,13,2260,1,16,2,54,3,134,0,2,5,408,892
13223,8,0,3,0,16,0,0,1,0,90,3,0,0,0,58,11614,0,34,0,2218,18,12,3,69,23,2596,18,5,818,168661,2,7,0,156335,642,63,0,0,0,0,1,1,0,35,0,9,2,0,5,0,0,3,141,0,1,4627,111196,13,223,37353,89,290,186,614,8,1956,25,672,126,5090,12326
13225,5,0,0,0,0,1,5,0,0,16,0,3,0,0,3,1350,0,0,3,261,4,2,0,15,1,279,0,3,91,27981,0,2,0,26530,86,8,0,0,0,0,0,0,0,8,0,1,0,0,7,0,2,0,2,0,0,602,12499,2,20,12219,14,50,8,110,5,199,5,38,7,1496,1451
13227,3,0,0,0,3,0,1,0,0,3,0,0,0,0,12,1648,0,1,0,155,0,2,0,14,3,799,2,0,59,33216,0,3,0,31519,28,10,0,0,0,0,0,7,0,6,0,6,0,0,0,7,0,0,0,0,0,587,30400,0,17,301,3,6,3,141,0,194,0,6,6,477,1697
13229,0,1,0,0,2,0,0,0,0,3,0,0,0,0,10,712,0,1,0,152,0,0,0,4,0,230,0,0,50,19716,0,2,0,18978,22,9,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,232,16654,1,14,1603,0,2,9,77,0,83,2,12,2,559,738
13231,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,707,0,11,1,117,2,0,0,12,1,323,5,0,49,18889,0,0,0,18136,28,1,0,0,0,0,0,6,0,5,2,1,0,0,0,3,1,0,0,0,0,196,16439,0,11,1447,0,8,0,34,0,79,6,5,0,137,753
13233,0,1,0,0,0,0,0,0,0,13,3,0,0,0,12,2349,0,0,2,465,4,0,0,7,0,682,0,1,82,42853,0,9,0,40407,90,10,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,13,0,0,1025,31249,2,52,5212,0,24,5,325,5,240,0,32,26,3355,2446
13235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,3,0,48,0,1,0,4,0,80,0,0,17,9855,1,0,0,9578,9,3,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,93,6098,1,1,3170,0,15,0,13,1,93,0,7,3,201,277
13237,0,0,0,0,0,3,0,0,0,8,0,0,0,0,15,1074,3,3,0,178,3,0,0,10,4,226,0,0,39,22047,0,1,0,20902,54,4,0,2,2,0,0,5,0,8,0,2,0,0,1,5,1,0,5,0,0,554,14669,5,11,5419,11,23,2,83,0,108,5,23,1,622,1145
13239,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,82,0,0,0,33,0,3,0,2,0,23,0,3,1,2235,0,1,0,2143,8,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,10,1190,0,2,919,1,5,1,13,0,12,0,1,0,9,92
13241,7,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1038,0,2,0,55,4,2,0,6,0,397,0,0,22,16883,0,0,0,15796,42,2,0,0,0,0,5,1,0,1,0,0,0,0,0,1,0,0,3,0,0,540,15033,0,11,114,0,0,4,70,0,63,1,15,1,515,1087
13243,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,129,1,0,0,37,2,0,0,4,0,48,0,1,3,6425,8,0,0,6259,33,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,1,30,2253,0,3,3877,5,7,0,12,0,21,0,4,3,93,166
13245,24,1,0,0,14,1,15,0,0,56,0,2,0,0,39,10607,0,38,2,3089,18,45,0,74,42,1618,12,6,932,206607,14,19,0,195001,914,67,2,1,1,0,0,10,0,46,8,2,8,1,11,0,20,7,146,2,0,2900,70997,19,414,114201,118,625,339,690,5,3975,77,801,416,4722,11606
13247,12,0,0,0,7,0,3,0,0,59,3,0,0,0,24,5824,0,8,0,1153,5,2,0,32,30,632,6,2,180,93570,1,4,0,87365,348,23,0,0,0,0,5,1,0,19,1,2,0,0,13,0,4,1,42,0,0,2416,25661,6,153,54409,33,312,130,312,6,1542,32,876,83,5358,6205
13249,0,3,0,0,2,0,0,0,2,2,0,0,0,0,3,144,0,0,0,36,0,0,0,8,1,44,0,0,14,4547,1,1,0,4379,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,2,38,3425,0,8,877,2,4,0,4,0,20,0,1,2,51,168
13251,0,1,0,0,0,0,0,0,0,0,0,4,0,0,4,393,0,10,0,139,0,1,0,10,0,95,4,0,10,14067,0,0,0,13621,43,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,102,8087,0,11,5308,2,20,4,51,0,61,0,18,8,106,446
13253,0,0,0,0,4,0,0,0,0,4,0,0,0,0,6,276,0,0,0,77,0,0,0,2,0,118,0,0,11,9147,0,0,2,8853,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,52,5658,0,2,2995,3,3,4,7,0,64,0,0,2,127,294
13255,12,0,0,0,1,0,0,0,0,12,1,5,0,3,30,3363,0,4,0,827,2,1,0,25,3,868,5,0,151,67306,0,12,1,63766,148,14,0,1,1,0,0,3,0,7,0,5,2,0,2,0,1,0,30,0,0,1203,37855,2,70,23301,6,107,18,245,7,648,3,124,24,1693,3540
13257,9,0,0,0,0,0,2,0,0,7,0,0,0,0,7,1500,0,0,0,412,6,0,0,6,11,547,0,0,62,26784,0,0,0,25199,77,10,0,0,0,0,0,2,0,3,0,0,1,2,0,2,0,0,12,0,0,373,21589,0,36,2976,3,40,1,94,2,229,4,33,11,300,1585
13259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,33,0,3,0,6,2,34,4,0,1,5314,0,1,0,5179,10,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,4,0,0,21,1352,1,2,2466,0,9,6,13,3,169,3,4,6,1173,135
13261,3,0,0,0,3,0,2,0,0,2,0,0,0,0,0,833,0,5,0,290,2,5,0,8,5,165,5,5,49,29616,1,1,0,28707,63,15,0,0,0,0,0,5,0,0,5,0,0,0,1,0,1,0,2,0,3,218,11783,5,31,15120,3,48,4,81,0,504,0,30,11,1208,909
13263,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,138,0,0,0,34,1,4,0,4,0,44,0,0,0,5733,0,0,0,5572,16,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,0,0,8,0,0,40,2461,0,4,3079,0,7,1,5,0,17,0,8,1,9,161
13265,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,69,2,0,1,24,0,0,0,2,0,14,0,0,5,1559,0,0,0,1477,11,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,0,15,606,0,2,833,1,0,2,4,1,6,3,3,0,28,82
13267,1,0,0,0,0,0,1,0,0,10,2,0,0,1,1,951,0,3,2,195,0,0,0,16,3,172,9,0,20,22842,0,7,2,21798,76,8,0,0,0,0,2,1,0,0,0,0,1,0,4,0,3,0,16,0,0,503,14276,2,20,6018,16,12,6,83,0,127,0,22,6,1288,1044
13269,0,0,0,0,0,0,1,0,0,2,0,0,0,0,4,198,0,0,0,88,2,2,0,2,0,53,0,0,1,7816,0,0,0,7597,19,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,34,4640,1,11,2826,0,3,6,27,0,39,3,4,5,60,219
13271,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,281,0,0,0,98,0,0,0,9,0,56,0,0,14,12477,0,0,0,12175,8,0,0,0,0,3,0,4,0,6,3,0,0,0,0,1,0,0,1,0,0,102,7269,0,4,4630,0,0,0,35,0,32,0,8,0,209,302
13273,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,220,0,0,0,78,0,9,0,3,4,52,0,0,3,9185,0,0,0,8942,18,0,0,0,0,0,0,2,0,0,2,0,1,2,0,0,0,2,4,0,0,32,3237,0,5,5565,6,14,5,11,1,67,0,22,4,58,243
13275,2,0,0,0,2,0,0,0,0,1,0,0,0,0,7,1663,0,1,0,415,6,5,0,8,6,508,1,0,94,45798,0,1,0,44064,63,6,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,11,0,0,463,26375,4,35,16343,2,53,14,189,1,424,4,85,9,724,1734
13277,10,0,0,0,0,0,0,0,1,32,0,0,0,0,17,2318,0,0,0,451,2,0,0,14,3,348,2,0,115,41344,0,2,4,38926,86,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,1284,23237,2,26,12131,4,52,6,136,3,651,0,39,2,2769,2418
13279,11,0,0,0,0,0,0,0,0,11,0,0,0,0,26,1308,0,0,0,314,0,5,0,9,1,225,0,0,43,27030,0,2,0,25660,53,2,0,0,0,0,0,0,0,6,0,2,0,0,0,0,3,0,5,0,1,664,16560,0,20,7023,3,21,2,101,0,209,0,3,6,1761,1370
13281,0,1,0,0,0,0,0,0,0,7,0,0,0,0,6,441,0,0,0,20,0,1,0,6,0,205,1,1,24,12493,0,2,0,12023,20,3,0,0,0,0,0,3,0,0,3,4,0,0,0,0,2,0,0,0,0,180,11594,3,2,128,0,0,0,30,5,81,0,0,3,187,470
13283,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,166,0,2,0,74,0,4,0,2,1,36,0,0,8,6406,0,4,0,6224,14,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,34,4106,0,3,2024,5,0,0,21,0,7,0,5,1,65,182
13285,10,0,0,0,2,5,6,0,0,22,2,0,0,0,25,2766,0,13,1,843,0,1,0,16,0,677,0,1,157,69426,3,2,0,66486,158,15,0,0,0,0,0,0,0,12,0,0,0,1,1,0,0,0,7,0,2,814,38639,7,69,24287,13,85,24,203,1,1610,14,105,37,1710,2940
13287,2,0,0,0,4,0,0,0,0,4,0,0,0,0,0,267,0,0,0,101,0,0,0,6,0,65,0,0,1,9006,2,0,0,8711,22,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,2,70,4812,4,0,3666,3,18,1,7,0,51,0,7,0,175,295
13289,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,256,0,0,0,72,0,2,0,1,0,102,0,0,17,8022,0,0,0,7744,21,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,52,4522,3,8,3124,4,3,0,22,0,37,0,6,0,39,278
13291,2,0,0,0,5,0,0,0,0,11,3,0,0,0,5,1145,0,1,0,55,4,0,0,6,1,528,0,0,62,24632,1,0,0,23437,44,11,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,20,0,0,463,22836,0,2,129,0,3,3,93,1,106,2,4,0,273,1195
13293,4,0,0,0,0,0,0,1,0,1,0,0,0,0,5,1006,0,2,0,337,0,3,0,3,0,348,0,1,62,27700,0,0,0,26648,42,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,4,0,0,0,0,200,18141,5,20,7899,3,17,2,93,2,151,5,27,1,363,1052
