GEOID,white_amin_asian_pop_20,white_amin_asian_other_pop_20,amin_asian_nhpi_pop_20,white_black_asian_nhpi_other_pop_20,amin_asian_pop_20,amin_asian_other_pop_20,white_amin_nhpi_pop_20,white_amin_asian_nhpi_other_pop_20,white_amin_nhpi_other_pop_20,white_amin_other_pop_20,amin_nhpi_pop_20,white_asian_nhpi_other_pop_20,amin_nhpi_other_pop_20,black_amin_asian_nhpi_other_pop_20,amin_other_pop_20,two_races_pop_20,asian_nhpi_other_pop_20,white_asian_nhpi_pop_20,black_amin_asian_nhpi_pop_20,white_black_pop_20,white_asian_other_pop_20,asian_nhpi_pop_20,black_amin_asian_other_pop_20,four_races_pop_20,asian_other_pop_20,white_amin_pop_20,white_black_amin_asian_pop_20,white_nhpi_other_pop_20,white_asian_pop_20,total_pop_20,black_amin_asian_pop_20,nhpi_other_pop_20,white_black_amin_nhpi_pop_20,one_race_pop_20,three_races_pop_20,white_nhpi_pop_20,black_amin_nhpi_pop_20,six_races_pop_20,white_black_amin_asian_nhpi_other_pop_20,black_amin_nhpi_other_pop_20,black_asian_nhpi_other_pop_20,five_races_pop_20,amin_asian_nhpi_other_pop_20,white_black_amin_other_pop_20,white_black_amin_asian_nhpi_pop_20,white_black_asian_other_pop_20,white_black_asian_nhpi_pop_20,white_black_nhpi_other_pop_20,black_asian_other_pop_20,white_black_amin_asian_other_pop_20,black_asian_nhpi_pop_20,black_nhpi_other_pop_20,white_black_other_pop_20,white_black_amin_nhpi_other_pop_20,white_amin_asian_nhpi_pop_20,white_other_pop_20,white_pop_20,black_amin_other_pop_20,white_black_amin_pop_20,black_pop_20,white_black_asian_pop_20,black_amin_pop_20,black_asian_pop_20,amin_pop_20,white_black_nhpi_pop_20,asian_pop_20,black_nhpi_pop_20,black_other_pop_20,nhpi_pop_20,other_pop_20,two_or_more_races_pop_20
13021,17,7,0,0,20,0,0,2,0,17,0,0,0,4,34,5873,0,13,0,1743,11,20,0,51,45,919,8,6,400,157346,4,7,2,151075,338,34,0,0,0,0,0,9,0,28,2,5,1,0,10,1,4,2,47,0,0,1739,57778,16,149,85885,40,390,155,373,2,3251,18,349,53,3735,6271
13023,3,0,0,0,0,0,3,0,0,6,0,0,0,0,0,327,0,1,0,92,0,0,0,10,0,85,0,0,31,12583,0,7,0,12216,30,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,1,0,5,0,0,98,9016,0,7,2818,3,2,1,20,1,154,0,11,8,200,367
13025,0,0,8,1,1,0,0,0,0,2,0,1,0,0,2,771,0,0,2,120,0,1,1,6,1,409,0,0,33,18021,0,0,0,17226,17,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,1,171,16427,0,1,568,2,7,5,57,0,42,6,15,3,129,795
13027,8,0,2,0,0,0,3,0,0,0,1,0,0,0,0,652,0,0,0,170,0,0,0,3,0,173,0,0,19,16301,0,0,0,15600,39,0,0,0,0,0,0,7,0,0,2,0,0,0,0,5,0,2,5,0,3,248,9307,2,13,5714,4,17,5,50,0,67,0,19,6,456,701
13029,26,0,3,0,4,0,0,0,0,29,0,0,0,1,0,3508,2,44,0,626,17,17,0,25,16,816,12,0,497,44738,2,6,1,40943,258,57,0,3,3,0,0,1,0,6,0,5,0,1,0,0,3,0,51,0,0,1284,32217,7,50,6486,19,39,34,140,5,1060,1,111,53,987,3795
13031,19,0,0,0,16,0,11,1,0,10,0,0,0,0,18,3645,0,0,0,898,1,17,0,20,62,881,1,2,292,81099,2,1,0,77243,185,45,0,0,0,0,0,6,0,7,0,5,0,0,0,5,3,0,48,0,7,1150,50718,4,65,23052,20,100,39,225,0,1303,7,119,71,1874,3856
13033,2,0,0,0,3,0,2,0,0,1,1,0,0,0,0,851,0,0,0,293,3,1,0,14,3,218,5,0,49,24596,5,2,2,23690,41,5,0,0,0,0,0,0,0,2,0,2,3,0,0,0,4,1,1,0,0,213,12166,0,15,11027,6,33,3,58,1,97,4,23,13,329,906
13035,1,0,0,0,7,0,0,0,0,8,0,0,0,0,8,1126,0,2,0,254,2,0,0,12,8,376,2,0,63,25434,0,0,0,24242,53,6,0,0,0,0,1,1,0,8,1,0,0,1,0,0,1,0,6,0,0,331,16823,0,25,6832,7,37,4,39,1,107,0,32,9,432,1192
13037,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,67,0,2,0,25,1,0,0,2,0,20,2,0,0,5573,0,0,0,5493,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,1783,0,2,3581,2,9,6,8,0,19,0,0,0,102,80
13039,23,1,0,1,5,0,8,0,0,39,1,2,0,0,14,4004,1,23,0,912,11,22,0,26,10,1042,10,3,441,54768,2,6,0,50464,263,46,0,2,2,0,0,9,0,7,0,6,0,0,0,8,9,0,21,0,0,1231,38371,9,89,9697,20,78,60,261,5,882,12,124,77,1176,4304
