GEOID,amin_asian_nhpi_other_vap_20,white_black_amin_other_vap_20,black_asian_nhpi_other_vap_20,black_amin_nhpi_other_vap_20,white_black_amin_asian_nhpi_vap_20,white_black_asian_other_vap_20,black_asian_nhpi_vap_20,five_races_vap_20,white_black_asian_nhpi_vap_20,white_black_amin_asian_nhpi_other_vap_20,six_races_vap_20,two_or_more_races_vap_20,asian_vap_20,black_nhpi_vap_20,amin_vap_20,black_asian_vap_20,white_black_nhpi_vap_20,other_vap_20,nhpi_vap_20,black_other_vap_20,black_amin_nhpi_vap_20,white_nhpi_vap_20,three_races_vap_20,one_race_vap_20,white_black_amin_nhpi_vap_20,nhpi_other_vap_20,black_amin_asian_vap_20,total_vap_20,white_asian_vap_20,black_amin_vap_20,white_black_asian_vap_20,black_vap_20,white_black_amin_vap_20,black_amin_other_vap_20,white_vap_20,white_other_vap_20,black_amin_asian_nhpi_vap_20,asian_nhpi_other_vap_20,white_asian_nhpi_vap_20,two_races_vap_20,amin_other_vap_20,black_amin_asian_nhpi_other_vap_20,white_asian_nhpi_other_vap_20,amin_nhpi_other_vap_20,amin_nhpi_vap_20,white_amin_other_vap_20,white_black_amin_asian_vap_20,white_nhpi_other_vap_20,white_amin_vap_20,asian_other_vap_20,black_amin_asian_other_vap_20,four_races_vap_20,asian_nhpi_vap_20,white_asian_other_vap_20,white_black_vap_20,black_nhpi_other_vap_20,white_black_other_vap_20,white_black_amin_nhpi_other_vap_20,white_amin_asian_nhpi_vap_20,white_black_nhpi_other_vap_20,black_asian_other_vap_20,white_black_amin_asian_other_vap_20,amin_asian_vap_20,white_amin_asian_nhpi_other_vap_20,white_amin_nhpi_other_vap_20,amin_asian_other_vap_20,white_amin_nhpi_vap_20,white_amin_asian_vap_20,white_black_asian_nhpi_other_vap_20,white_amin_asian_other_vap_20,amin_asian_nhpi_vap_20
13043,0,4,0,0,0,0,0,0,0,0,0,344,42,0,30,0,0,504,3,13,0,1,11,7897,1,0,0,8241,0,4,0,1968,1,2,5350,200,0,0,0,328,2,0,0,0,2,3,0,0,82,8,0,5,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
13045,0,7,0,0,0,0,8,3,0,0,0,4827,859,3,379,30,3,3277,21,126,0,22,199,86169,3,9,0,90996,213,87,13,16743,84,0,64890,1868,0,0,4,4609,24,0,0,0,0,47,0,3,1516,11,0,16,9,2,691,0,23,3,0,0,3,0,0,0,0,0,1,8,0,6,0
13047,0,0,0,0,2,0,0,3,0,0,0,2483,767,0,196,2,0,604,64,23,0,18,52,49965,0,0,0,52448,121,17,0,1381,19,0,46953,722,0,0,1,2428,10,1,0,0,0,21,0,0,1264,0,0,0,8,5,239,0,0,0,0,0,0,0,4,0,0,3,1,0,0,0,2
13049,0,0,0,0,1,0,0,1,6,0,0,289,99,0,40,1,2,512,0,2,0,4,23,9846,0,0,0,10135,14,19,8,2068,4,0,7127,67,0,0,3,256,4,0,1,0,0,5,2,0,107,0,0,9,0,0,34,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1
13051,0,36,5,0,2,0,6,3,3,0,0,12226,9093,38,864,155,14,8320,330,519,0,83,671,222489,0,5,10,234715,1079,488,45,81665,262,21,122217,5065,5,0,33,11487,95,0,0,0,1,112,12,0,2055,33,0,65,59,39,1794,2,94,0,0,0,1,1,18,0,0,0,0,32,0,4,0
13053,0,4,1,0,0,0,0,2,0,0,0,639,262,3,40,13,0,444,63,60,0,11,40,6560,0,3,0,7199,81,15,0,1119,22,0,4632,260,0,0,12,590,0,0,0,0,0,6,0,0,87,1,2,7,9,0,46,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
13055,0,5,0,0,2,0,0,3,0,0,0,682,79,0,69,4,0,499,0,0,0,0,33,18734,1,9,0,19416,6,7,0,2087,14,0,16000,169,0,0,0,640,0,0,0,0,0,8,0,0,333,0,0,6,0,3,112,0,0,0,0,0,2,1,0,0,0,0,6,0,0,0,0
13057,0,22,0,3,1,6,1,8,0,0,0,15866,4261,7,926,82,5,8337,90,341,0,67,564,187062,1,17,0,202928,997,146,25,13095,138,9,160353,9021,0,0,30,15251,156,0,0,1,6,174,6,0,3301,46,1,43,34,40,1015,1,68,0,0,0,0,2,15,4,0,0,5,67,1,4,0
13059,0,14,0,0,0,0,0,3,0,4,4,6365,4431,7,434,60,0,5541,68,161,0,32,230,100465,0,8,1,106830,786,150,47,23514,57,0,66477,3159,0,0,18,6099,40,0,0,2,3,57,5,0,930,32,2,29,17,1,709,0,40,0,6,0,2,3,5,0,2,0,1,4,0,0,0
13061,0,0,0,0,0,0,0,1,0,0,0,47,6,0,0,0,0,8,0,0,0,0,5,2199,0,1,0,2246,0,4,0,1209,2,0,976,4,0,0,0,33,0,0,0,0,0,0,5,1,13,0,0,8,1,2,9,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0
13063,0,42,0,0,1,3,5,3,5,0,0,11110,10953,51,1358,312,9,17139,131,1556,0,13,733,209468,2,20,9,220578,187,899,56,153694,345,19,26193,4464,0,0,12,10282,267,0,0,0,12,136,36,0,702,72,0,92,26,2,1680,4,116,0,1,1,7,2,21,0,2,0,1,12,0,0,0
13065,0,0,0,0,0,0,0,0,0,0,0,134,16,0,20,0,0,94,7,0,0,1,9,4900,0,0,0,5034,3,8,0,1360,1,2,3403,24,0,0,3,120,3,0,0,0,0,0,2,0,42,0,0,5,3,0,33,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0
13067,0,158,0,0,16,25,11,27,0,6,6,48144,33090,77,3056,663,13,36935,292,2443,10,140,2345,543704,12,43,19,591848,2912,1215,185,155087,809,64,315244,27244,0,1,57,45499,505,0,6,0,9,527,64,3,5111,202,0,267,99,110,4800,0,421,0,2,0,36,7,36,4,0,2,1,76,0,0,0
13069,0,2,0,0,0,3,0,1,0,0,0,1297,245,6,155,5,0,1861,22,21,0,8,37,31122,0,0,0,32419,38,53,0,8935,13,0,19904,636,0,0,1,1254,13,0,0,0,0,11,0,0,320,1,0,5,2,4,151,0,1,0,0,0,0,1,0,0,0,0,0,7,0,0,0
13071,0,1,0,0,0,0,0,0,0,0,0,1840,288,0,273,9,6,3147,11,18,0,6,45,32353,0,0,2,34193,33,34,0,7207,11,4,21427,1234,0,0,0,1791,26,0,0,1,0,11,3,0,262,0,0,4,0,4,164,0,2,0,0,0,0,0,5,0,0,0,0,4,0,0,0
13073,0,25,0,0,4,4,1,6,0,3,3,7827,5565,15,412,137,0,2645,194,293,0,64,527,106996,3,8,10,114823,1018,134,56,20435,153,13,77745,2911,2,2,48,7242,25,0,0,0,0,68,10,0,1673,37,0,49,50,27,872,1,91,0,2,0,9,0,5,0,0,3,1,36,2,3,8
13075,0,0,2,0,0,0,0,1,0,1,1,478,77,1,47,6,1,347,9,9,0,1,12,12460,0,0,0,12938,33,15,2,3487,5,0,8493,173,0,0,1,456,3,0,1,0,0,1,0,0,150,0,0,8,0,0,65,0,0,0,5,0,0,1,0,0,0,0,0,2,0,0,0
13077,0,30,0,0,0,5,0,5,0,0,0,6348,2608,3,409,70,0,3160,59,183,2,24,263,104807,4,11,0,111155,413,133,24,19021,91,11,79550,2888,0,0,15,6029,40,0,0,0,0,71,11,1,1634,38,0,51,17,4,568,0,35,0,0,0,0,5,7,0,0,4,0,5,0,1,0
13079,0,4,0,0,2,0,0,7,0,0,0,396,31,0,54,2,0,93,0,3,0,3,24,9210,0,0,0,9606,27,6,2,1846,17,1,7186,118,0,0,2,359,0,1,0,0,0,1,0,0,145,3,0,6,2,1,50,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0
13081,0,0,0,0,1,3,0,1,0,0,0,403,142,0,24,4,0,239,4,14,0,0,9,15167,0,1,0,15570,31,26,0,6436,9,0,8322,102,0,0,0,389,0,0,0,0,0,0,0,0,102,0,1,4,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13083,0,0,0,0,0,0,0,0,0,0,0,613,104,0,62,0,0,92,5,2,0,0,11,12374,0,0,0,12987,18,6,1,110,3,1,12001,159,0,1,2,598,1,0,0,0,0,0,3,0,394,2,0,4,3,0,13,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0
13085,0,1,0,0,0,0,4,0,1,0,0,1188,194,0,72,4,0,435,15,7,0,0,19,20253,0,0,0,21441,58,5,2,155,0,0,19382,513,3,0,0,1154,12,0,0,0,0,7,2,0,483,6,0,15,2,0,64,0,1,0,8,0,0,0,0,0,0,1,0,4,0,0,0
13087,0,0,0,0,0,0,0,0,0,0,0,651,149,0,85,8,0,772,10,17,1,0,15,21792,0,0,0,22443,25,23,0,9023,7,0,11753,272,0,0,0,635,4,0,0,0,0,6,0,0,172,5,0,1,0,0,109,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13089,0,167,2,0,22,10,23,33,0,5,5,34055,39057,121,3083,691,6,30185,204,3585,9,104,2190,561221,1,49,42,595276,2635,1891,155,301682,863,84,187010,14878,0,0,51,31561,449,0,1,0,10,403,69,0,2350,240,1,266,119,63,4366,4,377,0,6,0,43,11,73,0,0,1,11,55,0,9,0
13091,0,3,0,0,0,0,0,1,0,2,2,344,71,1,23,0,0,186,17,5,0,0,22,15365,0,0,2,15709,13,7,5,4612,5,0,10456,118,0,0,1,313,0,1,0,0,0,2,0,0,90,0,0,6,0,0,79,0,3,0,2,0,0,0,0,0,0,0,0,4,0,1,0
13093,0,0,0,0,1,0,0,1,0,0,0,219,42,0,20,0,0,351,3,6,0,0,8,8968,0,0,0,9187,12,8,0,4479,1,0,4073,104,0,0,0,209,0,0,0,0,0,2,1,0,49,0,0,1,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
13095,0,8,0,4,0,0,0,1,0,3,3,1690,560,19,144,28,0,919,25,115,0,4,79,64576,0,6,2,66266,113,164,3,44775,47,4,18153,370,0,0,7,1584,7,1,0,0,0,4,11,0,291,3,0,23,14,0,447,0,0,0,0,0,0,0,3,0,0,0,3,8,0,0,1
13097,0,28,0,0,0,0,2,3,1,0,0,6591,1889,27,517,131,0,5483,83,534,0,26,367,101837,0,18,9,108428,184,365,23,51030,166,6,42835,2815,0,0,12,6179,67,0,0,0,3,38,13,0,1030,6,0,42,7,19,954,0,83,3,0,0,2,0,12,0,0,0,0,7,0,0,0
13099,0,0,0,0,0,0,0,0,0,0,0,184,30,0,36,0,0,48,0,0,0,0,13,8131,0,0,1,8315,1,11,0,4013,3,0,4004,32,0,0,3,171,0,0,0,0,0,3,0,0,79,0,0,0,0,1,47,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
13101,0,0,0,0,0,2,0,0,0,0,0,226,2,0,53,0,0,345,0,0,0,0,4,2483,1,2,0,2709,3,3,0,107,1,0,1976,167,0,0,0,212,2,0,1,0,1,1,0,0,25,1,0,10,3,0,5,0,0,0,3,0,2,0,0,0,0,0,0,0,0,3,0
13103,0,3,0,0,0,0,0,0,0,0,0,2608,536,2,194,26,1,876,33,41,0,18,122,44687,0,3,5,47295,191,59,8,6327,41,0,36721,881,0,5,5,2477,0,0,0,0,0,20,6,2,959,1,0,9,0,0,292,0,20,0,0,0,0,0,4,0,0,0,0,15,0,0,0
13105,0,5,0,0,0,0,0,0,0,0,0,522,141,0,43,3,0,342,1,4,0,1,34,14971,0,0,0,15493,22,18,5,3996,11,4,10448,209,0,0,0,480,6,0,0,0,0,6,3,0,141,0,0,8,7,4,69,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13107,0,0,0,0,0,0,0,0,0,0,0,408,98,0,53,2,0,333,2,13,0,3,19,16912,0,9,2,17320,4,17,0,5282,11,0,11144,115,0,0,0,388,0,0,0,0,0,3,1,1,150,0,0,1,0,0,75,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13109,0,0,0,0,1,0,0,1,0,0,0,361,63,0,14,0,0,427,7,7,0,2,34,7766,0,0,0,8127,5,7,0,2327,8,12,4928,178,0,0,2,326,0,0,0,0,0,11,0,0,79,1,0,0,0,0,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13111,0,0,0,0,0,0,0,0,0,0,0,873,92,0,80,1,0,234,3,2,0,0,21,20315,0,0,0,21188,27,7,4,65,9,0,19841,295,0,0,0,852,0,0,0,0,1,6,0,1,471,0,0,0,4,0,44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13113,0,18,0,0,0,2,1,3,0,0,0,5599,4708,2,292,102,0,2628,42,289,0,35,280,86199,0,1,6,91798,420,167,15,22380,119,6,56149,2650,0,2,3,5293,46,0,0,0,0,59,1,0,952,24,0,23,21,10,566,0,45,0,1,0,6,3,18,0,1,0,0,8,0,0,0
13115,0,3,0,0,0,0,1,0,0,0,0,4534,1028,2,470,19,0,3675,11,60,3,15,137,71761,0,0,0,76295,170,55,3,10411,53,10,56166,2365,0,0,4,4391,58,0,0,0,3,26,2,0,1197,12,0,6,10,3,416,5,20,0,1,0,1,0,9,0,0,0,0,8,0,0,0
13117,0,51,0,0,0,0,0,6,0,0,0,12489,29148,6,632,82,0,6790,62,192,0,37,402,168704,0,4,0,181193,958,70,24,7469,99,11,124603,7796,1,0,29,12018,115,0,4,0,0,146,5,0,1970,56,0,63,31,9,676,1,58,0,2,0,0,6,25,0,0,0,4,21,0,0,0
13119,0,1,0,0,0,0,4,3,0,0,0,643,197,0,34,0,0,430,6,2,0,3,29,17664,0,0,0,18307,14,9,0,1428,14,0,15569,245,0,0,1,608,3,3,0,0,0,1,0,0,276,0,0,3,0,0,56,0,6,0,0,0,0,0,0,0,0,0,0,3,0,2,0
13121,0,232,4,0,20,27,30,56,17,0,0,50263,63605,153,2403,1022,33,27480,382,3399,15,165,2988,796919,22,29,46,847182,4408,2350,293,352132,1110,75,350917,23630,3,0,81,46771,333,7,3,0,8,468,118,7,3896,272,5,448,124,138,6930,6,509,0,2,0,48,29,52,0,0,0,17,112,0,15,0
13123,0,7,0,0,0,0,0,0,0,0,0,1275,129,2,165,0,1,1203,5,13,0,1,25,24142,0,0,0,25417,34,0,0,103,3,0,22537,563,0,0,0,1240,41,0,0,0,0,11,3,1,557,1,0,10,0,0,26,0,2,0,0,0,1,0,2,0,0,0,0,6,0,0,0
13125,0,0,0,0,0,1,1,2,0,0,0,58,7,0,0,0,0,2,2,2,0,1,10,2178,0,0,0,2236,0,1,0,156,2,0,2011,10,1,2,0,44,4,0,0,0,0,1,0,0,26,0,0,2,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0
13127,0,0,0,0,0,5,0,2,0,0,0,3091,947,15,268,20,0,2035,78,117,2,12,147,63377,0,11,0,66468,194,86,14,14952,49,2,45097,1329,0,0,8,2927,23,0,0,0,0,40,0,0,771,10,0,15,10,0,329,6,18,0,8,2,1,2,0,0,0,0,1,6,0,0,0
13129,0,13,0,0,0,2,0,0,0,0,0,2988,556,4,259,11,0,2917,21,31,0,12,90,40512,0,0,0,43500,55,18,3,1634,11,0,35125,1573,0,0,1,2881,50,0,0,0,0,36,2,1,941,0,0,17,5,0,178,0,32,0,0,0,0,0,3,0,0,0,0,6,0,0,0
13131,0,0,1,0,1,3,0,2,0,0,0,845,93,3,168,2,0,1207,1,48,0,1,19,19117,0,0,0,19962,23,16,2,5473,11,1,12175,344,0,0,0,819,26,0,0,0,0,0,0,0,238,1,0,5,0,3,115,0,2,0,1,0,0,0,2,1,0,0,0,0,0,0,0
13133,0,0,1,0,0,0,0,0,1,0,0,605,135,0,36,0,0,446,1,10,0,10,13,14753,0,2,0,15358,27,14,3,4362,0,0,9773,338,6,0,6,584,2,0,0,0,0,1,0,0,111,0,0,8,0,0,70,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13135,0,255,1,0,0,19,12,10,7,2,2,67448,99651,107,5464,953,12,77878,431,4448,6,127,3090,642036,4,108,23,709484,3362,1279,268,188825,863,77,269787,42299,0,8,85,63952,1147,0,0,0,12,796,77,16,4590,406,3,394,178,118,4803,10,642,5,8,3,53,5,133,0,0,0,4,97,0,17,0
13137,0,9,0,1,0,0,4,0,0,0,0,2344,800,0,159,0,3,1889,18,13,1,5,74,33534,0,8,0,35878,74,15,0,1485,14,2,29183,1343,0,0,5,2247,15,0,0,0,0,30,9,0,661,5,0,23,0,0,108,0,11,0,3,0,0,0,0,0,0,4,0,0,0,1,0
13139,0,19,0,0,1,0,0,1,0,0,0,14532,3341,3,1193,28,2,18784,78,198,1,31,351,139312,0,1,0,153844,408,71,11,11039,57,10,104877,10280,0,0,8,14148,405,0,0,0,0,151,13,0,2092,23,0,32,15,28,582,0,56,0,0,0,3,0,11,0,0,0,0,24,0,0,0
13141,0,0,0,0,0,0,0,0,0,0,0,146,37,0,22,0,0,20,1,7,0,2,19,7341,0,1,2,7487,7,8,2,5033,9,0,2228,17,0,0,2,127,1,0,0,0,0,2,0,0,39,0,0,0,0,0,45,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13143,0,0,0,0,0,0,3,3,0,0,0,751,149,1,56,0,1,157,5,5,0,0,35,22103,2,0,0,22854,26,7,0,1004,12,3,20732,168,0,0,0,708,0,0,0,0,1,9,0,0,433,0,0,5,1,0,64,0,1,0,0,0,0,3,2,0,0,0,3,3,0,3,0
13145,0,2,0,0,5,2,0,5,1,0,0,1258,332,2,93,7,0,323,21,32,0,6,59,25541,0,0,2,26799,135,17,0,4214,23,0,20558,418,0,0,2,1189,6,0,0,0,0,15,0,0,431,3,0,5,8,6,124,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
13147,0,0,0,0,0,0,2,2,1,0,0,684,251,4,49,2,0,282,2,6,0,3,32,19752,0,0,5,20436,37,21,5,3291,9,0,15877,237,0,0,4,646,0,0,0,0,0,4,3,0,235,0,0,4,0,0,96,0,0,0,0,0,0,2,5,0,0,0,0,3,0,0,0
13149,0,0,0,0,0,0,1,0,0,0,0,352,49,0,21,1,0,69,4,12,0,4,19,8346,0,0,0,8698,5,6,4,756,5,0,7447,55,0,0,0,330,0,0,0,0,0,2,3,2,208,0,0,3,0,0,39,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13151,0,52,0,0,1,0,11,4,0,3,3,9877,6157,44,620,216,2,5963,105,1133,7,44,601,170096,3,6,5,179973,501,563,49,85738,262,14,71513,3525,0,5,9,9192,97,0,0,0,0,69,17,0,1587,55,0,77,15,17,1404,5,123,0,5,0,2,3,2,0,0,1,5,15,0,0,0
13153,0,20,0,0,0,0,0,1,4,0,0,7111,3940,15,439,137,0,3289,103,265,1,41,401,115007,0,7,17,122118,729,208,36,37797,139,8,69439,2732,0,7,23,6668,52,0,0,0,0,48,8,1,1512,32,0,41,41,20,880,0,59,0,3,0,10,0,17,0,0,0,0,28,1,6,4
13155,0,9,0,1,0,2,1,0,0,0,0,220,113,0,18,0,0,440,0,8,0,6,14,7327,0,0,0,7547,11,5,4,1662,3,3,5094,59,0,0,0,194,0,0,0,0,0,0,0,0,82,0,0,12,2,0,19,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0
13157,0,2,1,0,1,1,1,2,0,0,0,3072,1343,2,182,16,0,2104,39,36,0,8,89,53379,0,0,1,56451,178,40,6,3890,22,4,45821,1502,0,0,4,2977,25,0,0,0,0,35,0,2,927,0,0,4,10,3,233,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13159,0,3,0,0,0,0,4,0,0,0,0,443,22,0,37,1,0,237,1,0,0,0,14,10675,0,0,3,11118,11,13,0,1904,0,1,8474,137,0,1,0,422,1,0,4,0,2,4,0,0,220,0,0,7,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13161,0,1,0,0,0,0,0,0,0,0,0,419,44,3,59,0,0,789,5,6,0,3,25,10437,0,2,0,10856,6,1,0,1673,5,1,7867,210,0,0,0,387,0,0,0,0,0,9,5,2,100,4,0,7,0,0,51,0,6,0,0,0,0,0,1,0,1,0,0,2,0,0,0
13163,0,0,0,0,0,0,0,0,0,0,0,257,61,0,30,6,0,164,0,2,0,0,30,12044,0,0,0,12301,2,14,4,6191,18,0,5598,66,0,0,0,227,0,0,0,0,0,2,0,0,48,0,0,0,3,0,86,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0
13165,0,0,0,0,0,0,0,1,0,0,0,132,12,0,22,0,0,133,5,6,0,1,7,6873,0,0,0,7005,7,2,2,2788,0,0,3913,22,0,0,0,124,8,0,0,0,0,1,0,0,35,3,0,0,0,0,40,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13167,0,0,0,0,0,0,0,0,0,0,0,129,28,0,9,0,1,35,5,0,0,0,11,7345,0,0,0,7474,7,5,0,2464,10,0,4804,15,0,0,0,117,1,0,1,0,1,0,0,0,55,0,0,1,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13169,0,1,0,0,0,0,1,0,0,0,0,570,115,0,42,8,0,134,2,4,0,1,31,21005,0,0,0,21575,25,28,1,5205,11,3,15507,146,0,0,3,538,0,0,0,0,0,8,0,0,249,0,0,1,0,0,77,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
13171,0,0,0,0,0,0,0,0,1,0,0,454,92,0,21,9,0,145,4,0,0,1,23,14087,0,0,0,14541,30,32,4,3889,11,0,9936,119,0,0,2,430,0,0,0,0,0,0,0,0,169,0,0,1,1,1,69,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0
13173,0,0,0,0,0,0,0,0,0,0,0,360,70,10,27,0,2,124,9,7,0,6,18,6966,0,0,0,7326,15,11,0,1597,13,0,5139,153,0,0,0,340,0,0,2,0,0,0,0,0,94,0,0,2,0,0,43,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0
13175,0,0,0,0,1,0,0,7,0,0,0,1054,407,0,79,14,2,523,14,35,0,10,46,36680,0,1,0,37734,27,51,7,13247,23,2,22410,234,0,0,0,987,5,0,0,0,0,4,6,0,306,5,6,14,5,0,294,0,1,0,0,0,0,6,0,0,0,0,0,6,0,2,1
13177,0,6,2,0,0,0,0,0,0,0,0,879,621,7,67,5,3,238,9,10,0,4,33,23797,0,3,0,24676,86,13,0,5361,9,2,17501,281,0,0,0,833,13,0,0,0,0,1,0,0,313,7,0,13,5,0,81,0,4,0,0,0,0,0,5,0,0,0,7,7,0,5,0
13179,0,41,0,0,0,0,0,0,0,3,3,3777,1167,36,241,81,0,1993,322,297,0,38,280,44237,0,15,10,48014,261,165,43,20177,96,21,20337,1327,0,0,15,3442,25,0,0,0,1,19,5,0,487,5,6,52,37,10,663,0,56,0,0,0,0,0,4,0,0,0,5,5,0,0,0
13181,0,2,0,0,0,0,0,0,0,0,0,195,20,7,17,0,0,19,3,0,0,3,36,6075,0,6,6,6270,0,8,0,1679,6,0,4337,24,0,0,6,152,0,0,0,0,0,6,5,0,91,0,0,7,3,0,10,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0
13183,0,7,0,0,0,0,0,0,0,0,0,826,139,6,93,2,0,590,60,37,0,4,46,10408,0,7,3,11234,40,22,6,2861,20,0,6665,324,0,0,0,768,0,0,0,0,0,2,2,0,185,0,0,12,0,7,141,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0
13185,0,1,0,0,3,0,12,5,0,0,0,4287,1552,17,375,51,10,2234,98,164,0,37,240,84744,5,7,4,89031,335,158,18,32112,75,1,48373,1672,4,1,19,4027,38,0,0,0,0,33,5,10,887,17,0,15,16,12,628,0,30,0,0,0,2,2,0,0,0,0,3,8,0,0,2
13187,0,0,0,0,0,0,0,1,0,0,0,1581,234,2,158,8,0,508,17,9,0,9,33,26108,0,2,0,27689,108,0,6,367,12,0,24824,619,0,0,0,1532,8,0,1,0,0,2,4,0,672,2,0,15,0,2,90,0,4,0,9,1,3,1,3,0,0,1,0,3,0,0,0
13189,0,10,0,0,0,0,0,0,0,0,0,552,60,4,45,7,0,231,11,18,0,2,32,16063,0,4,0,16615,27,7,0,6258,21,0,9458,186,0,0,1,500,8,0,0,0,0,9,4,0,139,1,0,20,2,0,91,0,1,0,0,4,0,0,4,0,0,0,0,0,0,2,0
13191,0,0,0,0,0,0,0,0,0,0,0,326,35,0,34,0,4,44,0,12,0,0,11,8714,0,0,0,9040,20,8,0,2545,0,0,6056,74,0,0,0,308,0,0,0,0,0,5,7,0,123,0,0,7,0,0,63,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0
13193,0,0,0,0,0,0,0,1,0,0,0,168,131,0,27,0,0,219,7,0,0,2,11,9770,0,0,1,9938,1,16,0,5949,0,0,3437,49,0,0,0,154,0,0,0,0,0,5,1,0,28,5,0,2,0,0,53,0,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0
13195,0,0,0,0,0,6,0,2,0,0,0,1046,379,0,66,0,0,650,2,9,0,0,25,22066,2,0,0,23112,49,15,0,2096,4,0,18873,419,0,0,4,1011,0,0,0,0,2,10,0,0,430,0,0,8,0,0,86,0,5,0,0,0,0,2,1,0,0,0,0,2,0,0,0
13197,0,1,0,0,0,1,0,0,0,0,0,239,44,0,21,0,0,216,10,6,0,8,13,5615,0,2,0,5854,8,3,1,1649,0,1,3675,70,0,1,0,218,0,0,0,0,0,7,0,0,91,0,0,8,5,3,25,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
13199,0,0,0,0,0,0,0,1,0,0,0,459,67,1,51,0,0,126,0,4,0,1,13,16067,0,1,2,16526,18,9,1,5730,7,0,10093,126,0,0,2,445,4,0,0,0,0,0,0,1,191,0,0,0,0,0,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13201,0,0,0,0,1,0,0,1,0,0,0,90,23,0,9,3,0,35,2,3,0,0,10,4659,0,0,0,4749,5,3,0,1321,4,0,3269,18,0,0,0,78,2,0,0,0,0,0,0,0,27,0,1,1,0,0,17,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13205,0,3,0,0,2,0,0,2,0,0,0,388,90,4,34,2,0,408,0,14,0,1,15,16677,0,0,0,17065,24,18,4,7765,4,0,8380,113,0,0,0,368,3,0,0,0,0,5,0,0,86,0,0,3,0,1,100,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
13207,0,5,0,0,0,0,0,0,0,0,0,714,202,5,35,5,3,193,0,13,0,4,46,21199,0,0,1,21913,37,19,0,4902,24,2,15867,197,0,0,0,661,1,0,0,0,0,11,0,2,293,0,0,7,1,0,86,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
13209,0,0,0,0,0,3,0,0,0,0,0,186,25,0,13,0,0,212,0,0,0,0,9,6606,2,1,0,6792,8,3,0,1740,7,0,4616,65,0,0,0,172,1,0,0,0,0,2,0,0,66,0,0,5,2,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13211,0,0,1,0,3,0,3,4,0,0,0,498,90,0,44,8,0,237,0,8,0,6,27,15076,0,0,0,15574,11,20,0,3184,5,0,11521,153,0,0,0,465,0,0,0,0,0,5,1,1,211,0,0,2,0,5,44,0,2,0,0,0,0,1,4,0,0,0,0,6,0,0,0
13213,0,0,0,0,0,0,0,1,0,0,0,1895,110,0,374,2,3,1790,2,6,0,2,40,28315,0,3,0,30210,37,3,3,204,7,3,25835,978,0,0,1,1850,18,0,0,0,1,17,4,0,709,11,0,4,0,0,80,0,2,0,0,0,4,0,0,1,0,0,0,0,0,0,0
13215,0,38,2,0,2,0,1,10,0,3,3,9093,4398,46,606,240,3,4580,415,531,0,84,570,147959,0,21,4,157052,827,444,57,71127,231,20,66833,3223,0,0,41,8447,55,0,3,0,0,64,13,0,1393,38,0,63,85,20,1437,0,83,0,3,0,11,8,23,0,0,0,3,32,0,4,0
