GEOID,amin_asian_nhpi_other_vap_20,white_black_amin_other_vap_20,black_asian_nhpi_other_vap_20,black_amin_nhpi_other_vap_20,white_black_amin_asian_nhpi_vap_20,white_black_asian_other_vap_20,black_asian_nhpi_vap_20,five_races_vap_20,white_black_asian_nhpi_vap_20,white_black_amin_asian_nhpi_other_vap_20,six_races_vap_20,two_or_more_races_vap_20,asian_vap_20,black_nhpi_vap_20,amin_vap_20,black_asian_vap_20,white_black_nhpi_vap_20,other_vap_20,nhpi_vap_20,black_other_vap_20,black_amin_nhpi_vap_20,white_nhpi_vap_20,three_races_vap_20,one_race_vap_20,white_black_amin_nhpi_vap_20,nhpi_other_vap_20,black_amin_asian_vap_20,total_vap_20,white_asian_vap_20,black_amin_vap_20,white_black_asian_vap_20,black_vap_20,white_black_amin_vap_20,black_amin_other_vap_20,white_vap_20,white_other_vap_20,black_amin_asian_nhpi_vap_20,asian_nhpi_other_vap_20,white_asian_nhpi_vap_20,two_races_vap_20,amin_other_vap_20,black_amin_asian_nhpi_other_vap_20,white_asian_nhpi_other_vap_20,amin_nhpi_other_vap_20,amin_nhpi_vap_20,white_amin_other_vap_20,white_black_amin_asian_vap_20,white_nhpi_other_vap_20,white_amin_vap_20,asian_other_vap_20,black_amin_asian_other_vap_20,four_races_vap_20,asian_nhpi_vap_20,white_asian_other_vap_20,white_black_vap_20,black_nhpi_other_vap_20,white_black_other_vap_20,white_black_amin_nhpi_other_vap_20,white_amin_asian_nhpi_vap_20,white_black_nhpi_other_vap_20,black_asian_other_vap_20,white_black_amin_asian_other_vap_20,amin_asian_vap_20,white_amin_asian_nhpi_other_vap_20,white_amin_nhpi_other_vap_20,amin_asian_other_vap_20,white_amin_nhpi_vap_20,white_amin_asian_vap_20,white_black_asian_nhpi_other_vap_20,white_amin_asian_other_vap_20,amin_asian_nhpi_vap_20
13271,0,2,0,3,0,0,0,1,0,0,0,169,28,0,25,0,0,141,0,8,0,0,8,10021,0,0,0,10190,10,0,0,3762,4,0,6065,61,0,0,0,155,0,0,0,0,0,1,0,0,51,0,0,5,0,0,25,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0
13273,0,0,0,0,2,0,0,2,0,0,0,154,57,0,11,0,1,49,3,13,0,0,13,7050,0,0,0,7204,2,14,1,4190,5,0,2740,17,0,0,0,137,0,0,0,0,0,0,0,0,46,0,0,2,5,0,40,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0
13275,0,6,0,0,0,0,0,0,0,0,0,1098,339,4,139,13,0,462,9,49,0,3,33,33939,0,1,0,35037,49,37,1,12021,29,0,20969,317,0,0,1,1058,7,0,0,0,0,0,1,0,397,6,0,7,4,0,171,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
13277,0,4,0,0,0,0,0,0,0,0,0,1497,504,0,86,4,0,1850,2,21,0,1,51,29727,4,2,0,31224,63,39,3,8685,16,2,18600,831,0,0,0,1435,12,0,0,0,0,20,2,0,276,3,0,11,0,0,183,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0
13279,0,5,0,0,0,0,3,0,0,0,0,796,170,0,68,2,0,1192,6,1,0,2,24,19465,0,1,0,20261,27,12,0,4870,16,0,13159,408,0,0,0,767,15,0,0,0,0,3,0,0,169,1,0,5,2,0,127,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
13281,0,0,0,0,3,0,2,3,0,0,0,375,63,0,20,0,5,155,1,0,0,3,15,10548,0,2,0,10923,17,0,0,112,0,3,10197,149,0,0,0,355,2,0,0,0,0,4,1,1,170,0,0,2,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13283,0,2,0,0,0,0,0,0,0,0,0,96,7,0,16,0,0,35,0,5,0,0,6,4838,0,3,0,4934,0,0,0,1481,0,0,3299,15,0,0,2,88,0,0,0,0,0,0,0,0,36,0,0,2,4,0,25,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0
13285,0,10,0,0,0,0,0,0,0,0,0,1744,1243,2,141,12,0,1104,30,53,0,13,87,50837,0,0,0,52581,65,67,2,17655,46,7,30664,550,0,0,10,1647,16,0,0,0,0,13,0,1,525,0,0,10,1,0,341,0,6,0,0,0,1,0,2,0,0,1,0,0,0,0,0
13287,0,0,0,0,0,4,0,0,0,0,0,145,36,0,1,0,0,128,0,0,0,0,12,6815,0,0,2,6960,0,16,0,2681,0,4,3969,33,0,0,0,129,0,0,0,0,0,4,0,0,37,0,0,4,0,0,43,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13289,0,0,0,0,0,0,1,0,1,0,0,182,31,0,22,0,0,25,0,6,0,0,16,6407,0,0,0,6589,5,3,4,2566,6,0,3763,32,0,0,0,165,0,0,0,0,0,0,0,0,81,0,0,1,2,0,36,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
