GEOID,total_vap_acs5_23,white_vap_acs5_23,black_vap_acs5_23,amin_vap_acs5_23,asian_vap_acs5_23,nhpi_vap_acs5_23,other_vap_acs5_23,two_or_more_races_vap_acs5_23,non_hispanic_white_vap_acs5_23,hispanic_vap_acs5_23,non_hispanic_pop_acs5_23,non_hispanic_white_pop_acs5_23,non_hispanic_black_pop_acs5_23,non_hispanic_amin_pop_acs5_23,non_hispanic_asian_pop_acs5_23,non_hispanic_nhpi_pop_acs5_23,non_hispanic_other_pop_acs5_23,non_hispanic_two_or_more_races_pop_acs5_23,non_hispanic_two_or_more_races_including_other_pop_acs5_23,non_hispanic_two_or_more_races_excluding_other_pop_acs5_23,hispanic_pop_acs5_23,hispanic_white_pop_acs5_23,hispanic_black_pop_acs5_23,hispanic_amin_pop_acs5_23,hispanic_asian_pop_acs5_23,hispanic_nhpi_pop_acs5_23,hispanic_other_pop_acs5_23,hispanic_two_or_more_races_pop_acs5_23,hispanic_two_or_more_races_including_other_pop_acs5_23,hispanic_two_or_more_races_excluding_other_pop_acs5_23
13025,14106.0,12952.0,535.0,0.0,83.0,0.0,135.0,401.0,12832.0,285.0,17793.0,16582.0,535.0,0.0,120.0,0.0,0.0,556.0,41.0,515.0,378.0,213.0,0.0,0.0,0.0,0.0,135.0,30.0,11.0,19.0
13027,12833.0,7748.0,4215.0,9.0,121.0,13.0,271.0,456.0,7434.0,694.0,15237.0,8827.0,5542.0,9.0,143.0,0.0,221.0,495.0,24.0,471.0,1048.0,516.0,116.0,0.0,0.0,13.0,263.0,140.0,136.0,4.0
13029,33025.0,24174.0,4647.0,68.0,774.0,17.0,1296.0,2049.0,23710.0,2408.0,43009.0,32819.0,6516.0,44.0,1001.0,17.0,159.0,2453.0,518.0,1935.0,3672.0,925.0,14.0,24.0,46.0,0.0,1456.0,1207.0,1082.0,125.0
13031,64967.0,42412.0,17613.0,274.0,972.0,30.0,881.0,2785.0,41840.0,2776.0,77267.0,50269.0,22920.0,105.0,1142.0,20.0,188.0,2623.0,348.0,2275.0,4105.0,814.0,83.0,218.0,38.0,10.0,940.0,2002.0,1377.0,625.0
13033,18360.0,9553.0,8023.0,24.0,127.0,0.0,200.0,433.0,9263.0,554.0,23586.0,11716.0,10987.0,24.0,127.0,0.0,0.0,732.0,140.0,592.0,841.0,527.0,74.0,0.0,0.0,0.0,225.0,15.0,15.0,0.0
13035,20724.0,13645.0,5796.0,13.0,3.0,0.0,228.0,1039.0,13522.0,664.0,25133.0,16910.0,7179.0,19.0,34.0,0.0,137.0,854.0,34.0,820.0,941.0,181.0,25.0,0.0,0.0,0.0,141.0,594.0,550.0,44.0
13037,4659.0,1634.0,2762.0,0.0,11.0,0.0,76.0,176.0,1583.0,198.0,5261.0,1821.0,3293.0,0.0,16.0,0.0,2.0,129.0,0.0,129.0,267.0,57.0,0.0,0.0,0.0,0.0,82.0,128.0,128.0,0.0
13039,42555.0,30888.0,7717.0,77.0,701.0,65.0,516.0,2591.0,30132.0,2800.0,51930.0,38475.0,9881.0,54.0,879.0,51.0,192.0,2398.0,140.0,2258.0,4106.0,1129.0,293.0,29.0,71.0,14.0,589.0,1981.0,1771.0,210.0
13043,8218.0,5258.0,1837.0,138.0,66.0,0.0,487.0,432.0,5175.0,882.0,9574.0,6575.0,2485.0,22.0,66.0,0.0,9.0,417.0,19.0,398.0,1398.0,83.0,0.0,297.0,0.0,0.0,725.0,293.0,279.0,14.0
13045,93063.0,67014.0,18326.0,586.0,836.0,0.0,2257.0,4044.0,65259.0,6549.0,112075.0,82284.0,24762.0,130.0,1061.0,0.0,1391.0,2447.0,365.0,2082.0,10112.0,3021.0,301.0,779.0,0.0,0.0,2269.0,3742.0,3527.0,215.0
13047,53057.0,47952.0,1342.0,113.0,784.0,37.0,534.0,2295.0,47579.0,1752.0,65761.0,60420.0,1524.0,20.0,1071.0,37.0,405.0,2284.0,388.0,1896.0,2595.0,488.0,33.0,177.0,0.0,0.0,540.0,1357.0,1345.0,12.0
13049,10209.0,5764.0,2690.0,75.0,92.0,0.0,199.0,1389.0,5592.0,1472.0,10744.0,6911.0,3171.0,75.0,108.0,0.0,0.0,479.0,28.0,451.0,1967.0,317.0,12.0,0.0,0.0,0.0,199.0,1439.0,1433.0,6.0
13051,235733.0,120027.0,88324.0,543.0,7425.0,342.0,7461.0,11611.0,115774.0,16398.0,274198.0,136229.0,115594.0,168.0,8358.0,397.0,2827.0,10625.0,1911.0,8714.0,23945.0,5996.0,1913.0,602.0,238.0,25.0,7237.0,7934.0,6516.0,1418.0
13053,7422.0,4402.0,1454.0,104.0,303.0,32.0,413.0,714.0,3988.0,1388.0,7581.0,4965.0,1650.0,37.0,273.0,60.0,170.0,426.0,23.0,403.0,1600.0,465.0,52.0,74.0,32.0,0.0,360.0,617.0,477.0,140.0
13055,19593.0,16065.0,2192.0,171.0,19.0,0.0,332.0,814.0,15980.0,823.0,23614.0,20345.0,2356.0,13.0,20.0,0.0,0.0,880.0,215.0,665.0,1361.0,169.0,25.0,306.0,0.0,0.0,428.0,433.0,428.0,5.0
13057,210602.0,167834.0,14570.0,2012.0,4986.0,84.0,7140.0,13976.0,162138.0,22338.0,241198.0,204916.0,19244.0,114.0,5775.0,84.0,1782.0,9283.0,2381.0,6902.0,33341.0,9645.0,475.0,3098.0,9.0,0.0,8140.0,11974.0,10899.0,1075.0
13059,107331.0,66063.0,25846.0,377.0,4763.0,0.0,2974.0,7308.0,63283.0,9974.0,114516.0,70365.0,33824.0,195.0,5386.0,0.0,455.0,4291.0,535.0,3756.0,14751.0,4203.0,146.0,295.0,68.0,0.0,3926.0,6113.0,5655.0,458.0
13061,2292.0,967.0,1305.0,0.0,0.0,0.0,0.0,20.0,963.0,4.0,2849.0,1131.0,1698.0,0.0,0.0,0.0,0.0,20.0,9.0,11.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13063,217282.0,27002.0,152344.0,527.0,11632.0,194.0,12249.0,13334.0,20799.0,26158.0,256033.0,24600.0,205375.0,325.0,14676.0,228.0,1767.0,9062.0,932.0,8130.0,42738.0,9822.0,3202.0,348.0,252.0,0.0,17307.0,11807.0,11009.0,798.0
13065,5043.0,3474.0,1038.0,132.0,14.0,0.0,175.0,210.0,3399.0,359.0,6345.0,4312.0,1718.0,80.0,14.0,0.0,0.0,221.0,72.0,149.0,377.0,75.0,0.0,52.0,0.0,0.0,193.0,57.0,57.0,0.0
13067,593070.0,313515.0,159975.0,2706.0,32983.0,266.0,37318.0,46307.0,300841.0,74530.0,656270.0,367833.0,203535.0,449.0,41464.0,230.0,7325.0,35434.0,9381.0,26053.0,112882.0,20754.0,4071.0,3344.0,244.0,149.0,48195.0,36125.0,32108.0,4017.0
13069,32539.0,20243.0,9089.0,116.0,260.0,0.0,517.0,2314.0,19158.0,3535.0,37585.0,24287.0,12099.0,45.0,292.0,0.0,104.0,758.0,10.0,748.0,5576.0,1918.0,27.0,94.0,0.0,0.0,592.0,2945.0,2795.0,150.0
13071,34082.0,20888.0,7605.0,321.0,248.0,0.0,3444.0,1576.0,19950.0,5758.0,36841.0,24938.0,10450.0,29.0,386.0,0.0,34.0,1004.0,59.0,945.0,9066.0,1375.0,22.0,517.0,0.0,0.0,5503.0,1649.0,1500.0,149.0
13073,119608.0,82783.0,22174.0,224.0,5592.0,5.0,3379.0,5451.0,79030.0,8352.0,147164.0,102675.0,28398.0,63.0,6992.0,0.0,1176.0,7860.0,908.0,6952.0,12474.0,5213.0,273.0,230.0,162.0,5.0,3332.0,3259.0,2710.0,549.0
13075,12963.0,8613.0,3562.0,41.0,35.0,0.0,144.0,568.0,8405.0,713.0,16147.0,10726.0,4840.0,0.0,43.0,0.0,50.0,488.0,103.0,385.0,1216.0,614.0,0.0,41.0,0.0,0.0,132.0,429.0,429.0,0.0
13077,114938.0,83609.0,20907.0,563.0,2567.0,0.0,2260.0,5032.0,80541.0,8279.0,138212.0,102423.0,27341.0,66.0,3090.0,2.0,418.0,4872.0,565.0,4307.0,11859.0,4681.0,445.0,577.0,54.0,0.0,2462.0,3640.0,2952.0,688.0
13079,9650.0,7139.0,2142.0,33.0,0.0,0.0,182.0,154.0,7069.0,305.0,11717.0,8803.0,2620.0,72.0,0.0,0.0,0.0,222.0,16.0,206.0,466.0,137.0,0.0,12.0,0.0,0.0,226.0,91.0,90.0,1.0
13081,15326.0,8366.0,6371.0,5.0,185.0,0.0,41.0,358.0,8070.0,475.0,19305.0,9688.0,8999.0,5.0,207.0,0.0,69.0,337.0,50.0,287.0,690.0,486.0,0.0,0.0,0.0,0.0,53.0,151.0,43.0,108.0
13083,13018.0,12073.0,234.0,2.0,143.0,0.0,20.0,546.0,12026.0,323.0,15822.0,14868.0,260.0,2.0,173.0,0.0,34.0,485.0,96.0,389.0,374.0,47.0,0.0,0.0,0.0,0.0,0.0,327.0,288.0,39.0
13085,22951.0,20732.0,339.0,15.0,223.0,0.0,262.0,1380.0,20402.0,1286.0,26778.0,25032.0,462.0,15.0,257.0,0.0,110.0,902.0,345.0,557.0,1926.0,480.0,0.0,0.0,0.0,0.0,351.0,1095.0,979.0,116.0
13087,22028.0,11484.0,8922.0,85.0,208.0,0.0,675.0,654.0,11353.0,1277.0,27146.0,14269.0,12155.0,18.0,208.0,0.0,12.0,484.0,12.0,472.0,1972.0,296.0,79.0,192.0,0.0,0.0,763.0,642.0,560.0,82.0
13089,586766.0,187947.0,302813.0,3771.0,36876.0,325.0,18172.0,36862.0,178449.0,49074.0,682733.0,214181.0,389138.0,864.0,46237.0,453.0,4075.0,27785.0,6153.0,21632.0,79372.0,15079.0,3015.0,4872.0,393.0,176.0,23182.0,32655.0,28297.0,4358.0
13091,16124.0,10750.0,4903.0,60.0,3.0,0.0,171.0,237.0,10513.0,491.0,19229.0,12690.0,6122.0,34.0,3.0,0.0,113.0,267.0,43.0,224.0,680.0,395.0,11.0,33.0,0.0,0.0,177.0,64.0,59.0,5.0
13093,9273.0,4032.0,4374.0,44.0,0.0,0.0,350.0,473.0,3978.0,578.0,10181.0,4511.0,5262.0,0.0,0.0,0.0,52.0,356.0,61.0,295.0,845.0,95.0,21.0,64.0,0.0,0.0,298.0,367.0,367.0,0.0
13095,63638.0,16841.0,43797.0,139.0,592.0,0.0,944.0,1325.0,16547.0,1599.0,81354.0,19583.0,58868.0,51.0,626.0,0.0,317.0,1909.0,185.0,1724.0,2561.0,433.0,339.0,88.0,33.0,0.0,1075.0,593.0,533.0,60.0
13097,108745.0,42552.0,52890.0,330.0,2012.0,18.0,4602.0,6341.0,39346.0,10740.0,129065.0,47990.0,70867.0,170.0,2727.0,18.0,1548.0,5745.0,923.0,4822.0,17076.0,5270.0,997.0,272.0,0.0,0.0,5355.0,5182.0,4904.0,278.0
13099,8066.0,3789.0,3959.0,6.0,31.0,0.0,100.0,181.0,3789.0,172.0,10458.0,4628.0,5509.0,6.0,31.0,0.0,3.0,281.0,0.0,281.0,225.0,0.0,32.0,0.0,0.0,0.0,120.0,73.0,36.0,37.0
13101,2671.0,1850.0,152.0,6.0,85.0,0.0,217.0,361.0,1664.0,652.0,2693.0,2133.0,157.0,3.0,233.0,0.0,0.0,167.0,167.0,0.0,1012.0,371.0,0.0,3.0,0.0,0.0,278.0,360.0,360.0,0.0
13103,49354.0,38518.0,7160.0,97.0,439.0,84.0,849.0,2207.0,37308.0,2611.0,63137.0,49859.0,9554.0,72.0,474.0,84.0,273.0,2821.0,667.0,2154.0,4128.0,1551.0,58.0,25.0,30.0,0.0,871.0,1593.0,1135.0,458.0
13105,15389.0,10275.0,3827.0,138.0,202.0,0.0,154.0,793.0,10069.0,673.0,18615.0,12390.0,5040.0,138.0,239.0,0.0,44.0,764.0,95.0,669.0,1110.0,397.0,25.0,0.0,0.0,0.0,305.0,383.0,378.0,5.0
13107,17211.0,10564.0,5363.0,53.0,138.0,0.0,256.0,837.0,10426.0,638.0,21894.0,13366.0,7392.0,51.0,186.0,0.0,7.0,892.0,101.0,791.0,1067.0,339.0,56.0,2.0,1.0,0.0,352.0,317.0,290.0,27.0
13109,7985.0,4693.0,2178.0,33.0,72.0,0.0,387.0,622.0,4689.0,732.0,9444.0,5932.0,2932.0,17.0,106.0,0.0,0.0,457.0,24.0,433.0,1296.0,8.0,3.0,16.0,0.0,0.0,685.0,584.0,578.0,6.0
13111,21539.0,20185.0,155.0,38.0,86.0,0.0,267.0,808.0,20031.0,527.0,24811.0,23554.0,182.0,0.0,86.0,0.0,141.0,848.0,319.0,529.0,794.0,331.0,0.0,38.0,0.0,0.0,194.0,231.0,192.0,39.0
13113,93181.0,56785.0,23537.0,159.0,4379.0,119.0,3168.0,5034.0,55103.0,6734.0,110711.0,68654.0,30420.0,132.0,5626.0,119.0,1838.0,3922.0,481.0,3441.0,9978.0,2577.0,393.0,27.0,67.0,30.0,2826.0,4058.0,3389.0,669.0
13115,76391.0,57780.0,9919.0,316.0,1151.0,102.0,2843.0,4280.0,55688.0,7549.0,87107.0,68671.0,13381.0,39.0,1273.0,98.0,216.0,3429.0,417.0,3012.0,11878.0,3295.0,169.0,393.0,5.0,4.0,3897.0,4115.0,3729.0,386.0
13117,191875.0,132042.0,7779.0,757.0,31910.0,0.0,5250.0,14137.0,127967.0,17546.0,233992.0,165972.0,10440.0,159.0,46654.0,0.0,1525.0,9242.0,2207.0,7035.0,26070.0,6410.0,249.0,883.0,209.0,0.0,5625.0,12694.0,11308.0,1386.0
13119,18552.0,15752.0,1510.0,31.0,273.0,0.0,268.0,718.0,15551.0,764.0,22596.0,19432.0,1996.0,28.0,373.0,0.0,78.0,689.0,57.0,632.0,1244.0,230.0,0.0,51.0,0.0,0.0,373.0,590.0,563.0,27.0
13121,842905.0,351206.0,354050.0,1753.0,65611.0,299.0,23177.0,46809.0,335615.0,60245.0,982397.0,399326.0,455582.0,1097.0,80493.0,222.0,8186.0,37491.0,8718.0,28773.0,86110.0,21161.0,5184.0,1583.0,622.0,77.0,25722.0,31761.0,27314.0,4447.0
13123,26032.0,23362.0,195.0,243.0,126.0,0.0,776.0,1330.0,22887.0,2319.0,28137.0,27037.0,139.0,86.0,141.0,0.0,58.0,676.0,72.0,604.0,3839.0,1045.0,102.0,331.0,0.0,0.0,896.0,1465.0,693.0,772.0
13125,2287.0,2001.0,263.0,0.0,0.0,0.0,0.0,23.0,2001.0,14.0,2892.0,2530.0,343.0,0.0,0.0,0.0,0.0,19.0,0.0,19.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0
13127,67078.0,45434.0,16044.0,166.0,784.0,64.0,1663.0,2923.0,44165.0,4047.0,78587.0,52808.0,20787.0,132.0,1045.0,64.0,104.0,3647.0,676.0,2971.0,6400.0,2060.0,131.0,42.0,0.0,0.0,2492.0,1675.0,1537.0,138.0
13129,44714.0,37239.0,1843.0,748.0,511.0,105.0,1832.0,2436.0,35314.0,6223.0,48965.0,44513.0,1985.0,45.0,636.0,57.0,155.0,1574.0,15.0,1559.0,9371.0,2687.0,175.0,1088.0,40.0,61.0,2660.0,2660.0,2331.0,329.0
13131,19605.0,12502.0,5747.0,62.0,19.0,0.0,724.0,551.0,11877.0,1832.0,22690.0,14701.0,7627.0,37.0,6.0,0.0,21.0,298.0,0.0,298.0,3366.0,1127.0,220.0,48.0,21.0,0.0,1111.0,839.0,243.0,596.0
13133,16124.0,10282.0,4582.0,101.0,192.0,0.0,395.0,572.0,10162.0,863.0,18226.0,11552.0,5948.0,0.0,239.0,0.0,100.0,387.0,85.0,302.0,1360.0,192.0,64.0,127.0,0.0,0.0,539.0,438.0,438.0,0.0
13135,711750.0,273886.0,200228.0,2788.0,97791.0,768.0,68388.0,67901.0,247702.0,147976.0,742154.0,309200.0,268853.0,1236.0,124070.0,241.0,3752.0,34802.0,5292.0,29510.0,224818.0,39731.0,6134.0,2486.0,385.0,632.0,98411.0,77039.0,70739.0,6300.0
13137,36661.0,29924.0,1434.0,133.0,816.0,7.0,1666.0,2681.0,29070.0,4538.0,39633.0,35692.0,1597.0,50.0,1004.0,7.0,68.0,1215.0,327.0,888.0,7315.0,1555.0,5.0,214.0,54.0,0.0,2597.0,2890.0,2782.0,108.0
13139,158032.0,111870.0,11469.0,515.0,3516.0,15.0,11098.0,19549.0,101049.0,38313.0,148809.0,122828.0,13834.0,98.0,4334.0,5.0,1083.0,6627.0,1402.0,5225.0,59586.0,17624.0,325.0,798.0,17.0,10.0,16326.0,24486.0,23682.0,804.0
13141,7327.0,2070.0,5073.0,19.0,47.0,0.0,36.0,82.0,2070.0,55.0,8575.0,2280.0,6161.0,0.0,47.0,0.0,0.0,87.0,0.0,87.0,55.0,0.0,0.0,19.0,0.0,0.0,36.0,0.0,0.0,0.0
13143,23397.0,21292.0,1030.0,10.0,132.0,0.0,166.0,767.0,21122.0,437.0,30131.0,27576.0,1458.0,10.0,171.0,0.0,172.0,744.0,187.0,557.0,589.0,246.0,0.0,0.0,0.0,0.0,93.0,250.0,250.0,0.0
13145,27872.0,21379.0,4651.0,17.0,196.0,0.0,701.0,928.0,21008.0,1119.0,33852.0,26600.0,5592.0,18.0,196.0,0.0,82.0,1364.0,199.0,1165.0,1657.0,498.0,17.0,11.0,2.0,0.0,942.0,187.0,163.0,24.0
13147,21016.0,16147.0,3462.0,79.0,236.0,0.0,199.0,893.0,15991.0,662.0,25434.0,19582.0,4504.0,63.0,358.0,0.0,21.0,906.0,181.0,725.0,1050.0,266.0,44.0,108.0,19.0,0.0,382.0,231.0,230.0,1.0
13149,8911.0,7705.0,722.0,4.0,88.0,2.0,27.0,363.0,7639.0,156.0,11314.0,9811.0,919.0,0.0,88.0,2.0,15.0,479.0,0.0,479.0,302.0,73.0,0.0,4.0,0.0,0.0,23.0,202.0,184.0,18.0
13151,183468.0,71370.0,91146.0,299.0,6149.0,41.0,3288.0,11175.0,67564.0,12765.0,225797.0,84858.0,122305.0,216.0,7906.0,102.0,1388.0,9022.0,1035.0,7987.0,19620.0,5299.0,2299.0,241.0,17.0,0.0,3239.0,8525.0,7128.0,1397.0
13153,124123.0,71111.0,38972.0,488.0,4077.0,257.0,1645.0,7573.0,68688.0,7923.0,154674.0,87786.0,52252.0,147.0,4929.0,257.0,537.0,8766.0,534.0,8232.0,12228.0,3989.0,481.0,430.0,235.0,0.0,2087.0,5006.0,4238.0,768.0
13155,7276.0,5119.0,1709.0,0.0,17.0,0.0,305.0,126.0,5001.0,437.0,8727.0,6189.0,2375.0,0.0,17.0,0.0,27.0,119.0,0.0,119.0,658.0,193.0,0.0,0.0,0.0,0.0,451.0,14.0,14.0,0.0
13157,60270.0,48948.0,4661.0,95.0,1311.0,34.0,1766.0,3455.0,47534.0,5216.0,72651.0,62206.0,6202.0,7.0,1679.0,34.0,380.0,2143.0,565.0,1578.0,7989.0,2117.0,20.0,144.0,0.0,0.0,2333.0,3375.0,2784.0,591.0
13159,11747.0,8819.0,2088.0,2.0,35.0,0.0,412.0,391.0,8819.0,467.0,14606.0,11377.0,2617.0,2.0,35.0,0.0,103.0,472.0,140.0,332.0,739.0,104.0,10.0,0.0,0.0,0.0,398.0,227.0,227.0,0.0
13161,10945.0,8028.0,1500.0,91.0,17.0,56.0,209.0,1044.0,7937.0,1168.0,12805.0,10208.0,2056.0,15.0,19.0,70.0,0.0,437.0,31.0,406.0,2033.0,268.0,0.0,90.0,0.0,0.0,231.0,1444.0,1396.0,48.0
13163,11956.0,5276.0,6065.0,59.0,50.0,0.0,334.0,172.0,5162.0,432.0,14947.0,6490.0,8091.0,4.0,72.0,0.0,76.0,214.0,32.0,182.0,521.0,176.0,0.0,55.0,0.0,0.0,272.0,18.0,18.0,0.0
13165,7062.0,4128.0,2621.0,2.0,2.0,0.0,30.0,279.0,4073.0,273.0,8309.0,4920.0,3294.0,2.0,2.0,0.0,0.0,91.0,16.0,75.0,365.0,55.0,0.0,0.0,0.0,0.0,30.0,280.0,280.0,0.0
13167,7536.0,4792.0,2460.0,0.0,0.0,0.0,44.0,240.0,4735.0,163.0,8998.0,5681.0,3070.0,0.0,0.0,0.0,12.0,235.0,27.0,208.0,194.0,57.0,3.0,0.0,0.0,0.0,44.0,90.0,90.0,0.0
13169,22008.0,15583.0,5748.0,12.0,83.0,0.0,169.0,413.0,15436.0,351.0,27955.0,19912.0,7153.0,14.0,94.0,0.0,128.0,654.0,66.0,588.0,571.0,258.0,0.0,0.0,0.0,0.0,160.0,153.0,104.0,49.0
13171,14964.0,10099.0,4206.0,6.0,96.0,0.0,29.0,528.0,10035.0,155.0,18939.0,12638.0,5436.0,11.0,130.0,0.0,17.0,707.0,45.0,662.0,159.0,64.0,0.0,4.0,0.0,0.0,12.0,79.0,79.0,0.0
13173,7794.0,5280.0,1821.0,9.0,104.0,0.0,296.0,284.0,5203.0,544.0,9415.0,6646.0,2466.0,0.0,104.0,0.0,87.0,112.0,7.0,105.0,679.0,77.0,3.0,9.0,0.0,0.0,385.0,205.0,205.0,0.0
13175,37288.0,22398.0,13317.0,34.0,442.0,32.0,730.0,335.0,22187.0,920.0,48089.0,28055.0,18593.0,119.0,453.0,140.0,110.0,619.0,122.0,497.0,1530.0,296.0,0.0,3.0,14.0,0.0,993.0,224.0,224.0,0.0
13177,24710.0,17027.0,5755.0,0.0,682.0,37.0,248.0,961.0,16924.0,714.0,32260.0,22581.0,7731.0,0.0,780.0,37.0,74.0,1057.0,125.0,932.0,1077.0,125.0,54.0,0.0,0.0,0.0,213.0,685.0,617.0,68.0
13179,48332.0,19985.0,20860.0,214.0,942.0,171.0,1626.0,4534.0,19017.0,5490.0,58528.0,24966.0,27652.0,135.0,1171.0,295.0,239.0,4070.0,361.0,3709.0,8298.0,1584.0,1002.0,175.0,20.0,0.0,1901.0,3616.0,3102.0,514.0
13181,6297.0,4394.0,1722.0,0.0,8.0,0.0,27.0,146.0,4362.0,64.0,7670.0,5279.0,2121.0,0.0,8.0,0.0,9.0,253.0,96.0,157.0,103.0,55.0,0.0,0.0,0.0,0.0,36.0,12.0,12.0,0.0
13183,12655.0,7364.0,3258.0,25.0,27.0,50.0,965.0,966.0,7149.0,1446.0,15280.0,9478.0,4309.0,15.0,27.0,81.0,199.0,1171.0,23.0,1148.0,2232.0,269.0,245.0,10.0,0.0,0.0,1234.0,474.0,455.0,19.0
13185,89773.0,49737.0,32023.0,314.0,1808.0,139.0,1778.0,3974.0,48356.0,5181.0,110886.0,60666.0,44023.0,116.0,2039.0,63.0,241.0,3738.0,658.0,3080.0,8169.0,2067.0,197.0,343.0,265.0,86.0,2575.0,2636.0,2116.0,520.0
13187,28122.0,25697.0,526.0,109.0,254.0,19.0,336.0,1181.0,25403.0,1370.0,32015.0,30207.0,538.0,99.0,306.0,50.0,34.0,781.0,138.0,643.0,1916.0,540.0,85.0,26.0,0.0,0.0,437.0,828.0,803.0,25.0
13189,16263.0,9419.0,6210.0,0.0,89.0,0.0,172.0,373.0,9218.0,443.0,20910.0,11499.0,8900.0,0.0,96.0,0.0,0.0,415.0,0.0,415.0,777.0,433.0,11.0,0.0,0.0,0.0,253.0,80.0,80.0,0.0
13191,9489.0,6115.0,2883.0,15.0,14.0,0.0,0.0,462.0,6061.0,252.0,10905.0,7022.0,3326.0,15.0,36.0,0.0,0.0,506.0,8.0,498.0,282.0,54.0,7.0,0.0,0.0,0.0,0.0,221.0,221.0,0.0
