GEOID,total_vap_acs5_23,white_vap_acs5_23,black_vap_acs5_23,amin_vap_acs5_23,asian_vap_acs5_23,nhpi_vap_acs5_23,other_vap_acs5_23,two_or_more_races_vap_acs5_23,non_hispanic_white_vap_acs5_23,hispanic_vap_acs5_23,non_hispanic_pop_acs5_23,non_hispanic_white_pop_acs5_23,non_hispanic_black_pop_acs5_23,non_hispanic_amin_pop_acs5_23,non_hispanic_asian_pop_acs5_23,non_hispanic_nhpi_pop_acs5_23,non_hispanic_other_pop_acs5_23,non_hispanic_two_or_more_races_pop_acs5_23,non_hispanic_two_or_more_races_including_other_pop_acs5_23,non_hispanic_two_or_more_races_excluding_other_pop_acs5_23,hispanic_pop_acs5_23,hispanic_white_pop_acs5_23,hispanic_black_pop_acs5_23,hispanic_amin_pop_acs5_23,hispanic_asian_pop_acs5_23,hispanic_nhpi_pop_acs5_23,hispanic_other_pop_acs5_23,hispanic_two_or_more_races_pop_acs5_23,hispanic_two_or_more_races_including_other_pop_acs5_23,hispanic_two_or_more_races_excluding_other_pop_acs5_23
13001,13892.0,10097.0,2418.0,98.0,87.0,0.0,536.0,656.0,9872.0,1138.0,16517.0,12482.0,3260.0,41.0,87.0,0.0,46.0,601.0,51.0,550.0,1909.0,380.0,5.0,57.0,0.0,0.0,835.0,632.0,632.0,0.0
13003,6162.0,4081.0,1029.0,0.0,0.0,0.0,563.0,489.0,3573.0,1467.0,6084.0,4527.0,1255.0,0.0,0.0,0.0,0.0,302.0,36.0,266.0,2177.0,769.0,0.0,0.0,0.0,0.0,845.0,563.0,496.0,67.0
13005,8300.0,6471.0,1097.0,7.0,68.0,0.0,234.0,423.0,6395.0,509.0,10200.0,8101.0,1671.0,0.0,77.0,0.0,0.0,351.0,86.0,265.0,929.0,126.0,0.0,7.0,0.0,0.0,411.0,385.0,366.0,19.0
13007,2308.0,1221.0,805.0,20.0,155.0,0.0,19.0,88.0,1213.0,73.0,2757.0,1380.0,1148.0,0.0,161.0,0.0,0.0,68.0,10.0,58.0,73.0,8.0,3.0,20.0,0.0,0.0,19.0,23.0,23.0,0.0
13009,35395.0,19528.0,14111.0,27.0,517.0,81.0,347.0,784.0,19256.0,907.0,42463.0,22565.0,18188.0,27.0,735.0,108.0,23.0,817.0,83.0,734.0,1206.0,342.0,46.0,0.0,0.0,0.0,405.0,413.0,365.0,48.0
13011,14740.0,13013.0,287.0,16.0,239.0,0.0,418.0,767.0,12954.0,871.0,17458.0,16244.0,311.0,16.0,261.0,0.0,0.0,626.0,32.0,594.0,1299.0,76.0,4.0,0.0,14.0,0.0,521.0,684.0,667.0,17.0
13013,64886.0,46273.0,8625.0,329.0,2571.0,0.0,2667.0,4421.0,43945.0,8100.0,74635.0,56544.0,11376.0,46.0,3547.0,0.0,146.0,2976.0,572.0,2404.0,12347.0,3700.0,113.0,534.0,40.0,0.0,3360.0,4600.0,3737.0,863.0
13015,84934.0,67704.0,9341.0,166.0,708.0,76.0,2236.0,4703.0,64943.0,7341.0,99752.0,82365.0,11776.0,29.0,911.0,131.0,960.0,3580.0,406.0,3174.0,11401.0,4560.0,448.0,195.0,0.0,0.0,2499.0,3699.0,3564.0,135.0
13017,12909.0,7781.0,4687.0,44.0,62.0,0.0,130.0,205.0,7382.0,645.0,16030.0,9219.0,6468.0,44.0,62.0,0.0,10.0,227.0,24.0,203.0,1108.0,604.0,0.0,0.0,0.0,0.0,339.0,165.0,136.0,29.0
13019,13910.0,11618.0,1480.0,0.0,100.0,6.0,190.0,516.0,11352.0,659.0,17178.0,14495.0,1929.0,0.0,192.0,24.0,6.0,532.0,91.0,441.0,1079.0,344.0,0.0,0.0,0.0,0.0,277.0,458.0,425.0,33.0
13021,118256.0,46914.0,61530.0,159.0,2740.0,102.0,2677.0,4134.0,45629.0,4378.0,149576.0,54627.0,85004.0,72.0,3450.0,102.0,1453.0,4868.0,685.0,4183.0,6967.0,1787.0,358.0,167.0,31.0,0.0,2768.0,1856.0,1490.0,366.0
13023,9937.0,6996.0,2482.0,21.0,78.0,0.0,154.0,206.0,6891.0,354.0,11950.0,8438.0,3225.0,21.0,89.0,0.0,0.0,177.0,54.0,123.0,464.0,119.0,7.0,0.0,0.0,0.0,220.0,118.0,108.0,10.0
