GEOID,total_pop_acs5_23,total_vap_acs5_23,white_vap_acs5_23,black_vap_acs5_23,amin_vap_acs5_23,asian_vap_acs5_23,nhpi_vap_acs5_23,other_vap_acs5_23,two_or_more_races_vap_acs5_23,non_hispanic_white_vap_acs5_23,hispanic_vap_acs5_23,total_cvap_acs5_23,white_cvap_acs5_23,black_cvap_acs5_23,amin_cvap_acs5_23,asian_cvap_acs5_23,nhpi_cvap_acs5_23,other_cvap_acs5_23,two_or_more_races_cvap_acs5_23,non_hispanic_white_cvap_acs5_23,hispanic_cvap_acs5_23
13021,156543.0,118256.0,46914.0,61530.0,159.0,2740.0,102.0,2677.0,4134.0,45629.0,4378.0,115473.0,46447.0,61345.0,114.0,1769.0,102.0,1689.0,4007.0,45490.0,2908.0
13023,12414.0,9937.0,6996.0,2482.0,21.0,78.0,0.0,154.0,206.0,6891.0,354.0,9859.0,6987.0,2468.0,21.0,44.0,0.0,141.0,198.0,6882.0,326.0
13025,18171.0,14106.0,12952.0,535.0,0.0,83.0,0.0,135.0,401.0,12832.0,285.0,13785.0,12839.0,391.0,0.0,27.0,0.0,135.0,393.0,12832.0,164.0
13027,16285.0,12833.0,7748.0,4215.0,9.0,121.0,13.0,271.0,456.0,7434.0,694.0,12706.0,7677.0,4189.0,9.0,101.0,13.0,271.0,446.0,7387.0,634.0
13029,46681.0,33025.0,24174.0,4647.0,68.0,774.0,17.0,1296.0,2049.0,23710.0,2408.0,32358.0,23964.0,4478.0,68.0,674.0,17.0,1137.0,2020.0,23500.0,2249.0
13031,81372.0,64967.0,42412.0,17613.0,274.0,972.0,30.0,881.0,2785.0,41840.0,2776.0,63345.0,42085.0,17452.0,155.0,695.0,30.0,466.0,2462.0,41632.0,1837.0
13033,24427.0,18360.0,9553.0,8023.0,24.0,127.0,0.0,200.0,433.0,9263.0,554.0,18110.0,9442.0,8023.0,24.0,96.0,0.0,92.0,433.0,9241.0,357.0
13035,26074.0,20724.0,13645.0,5796.0,13.0,3.0,0.0,228.0,1039.0,13522.0,664.0,20551.0,13628.0,5796.0,13.0,0.0,0.0,171.0,943.0,13511.0,505.0
13037,5528.0,4659.0,1634.0,2762.0,0.0,11.0,0.0,76.0,176.0,1583.0,198.0,4545.0,1589.0,2762.0,0.0,11.0,0.0,30.0,153.0,1583.0,84.0
13039,56036.0,42555.0,30888.0,7717.0,77.0,701.0,65.0,516.0,2591.0,30132.0,2800.0,42271.0,30811.0,7717.0,73.0,575.0,50.0,509.0,2536.0,30055.0,2758.0
13043,10972.0,8218.0,5258.0,1837.0,138.0,66.0,0.0,487.0,432.0,5175.0,882.0,7546.0,5221.0,1818.0,103.0,11.0,0.0,100.0,293.0,5166.0,293.0
13045,122187.0,93063.0,67014.0,18326.0,586.0,836.0,0.0,2257.0,4044.0,65259.0,6549.0,88713.0,66137.0,17998.0,145.0,571.0,0.0,1208.0,2654.0,64972.0,3243.0
13047,68356.0,53057.0,47952.0,1342.0,113.0,784.0,37.0,534.0,2295.0,47579.0,1752.0,52577.0,47854.0,1342.0,22.0,708.0,37.0,516.0,2098.0,47481.0,1554.0
13049,12711.0,10209.0,5764.0,2690.0,75.0,92.0,0.0,199.0,1389.0,5592.0,1472.0,10001.0,5649.0,2651.0,75.0,92.0,0.0,167.0,1367.0,5584.0,1315.0
13051,298143.0,235733.0,120027.0,88324.0,543.0,7425.0,342.0,7461.0,11611.0,115774.0,16398.0,225600.0,117699.0,87088.0,436.0,4766.0,197.0,5182.0,10232.0,114356.0,11842.0
13053,9181.0,7422.0,4402.0,1454.0,104.0,303.0,32.0,413.0,714.0,3988.0,1388.0,7324.0,4392.0,1422.0,104.0,290.0,31.0,405.0,680.0,3978.0,1346.0
13055,24975.0,19593.0,16065.0,2192.0,171.0,19.0,0.0,332.0,814.0,15980.0,823.0,19088.0,16002.0,2167.0,39.0,8.0,0.0,149.0,723.0,15960.0,350.0
13057,274539.0,210602.0,167834.0,14570.0,2012.0,4986.0,84.0,7140.0,13976.0,162138.0,22338.0,195554.0,163487.0,13382.0,419.0,3658.0,84.0,3489.0,11035.0,159987.0,13026.0
13059,129267.0,107331.0,66063.0,25846.0,377.0,4763.0,0.0,2974.0,7308.0,63283.0,9974.0,100009.0,64051.0,25512.0,177.0,2897.0,0.0,1758.0,5614.0,62416.0,5807.0
13061,2853.0,2292.0,967.0,1305.0,0.0,0.0,0.0,0.0,20.0,963.0,4.0,2292.0,967.0,1305.0,0.0,0.0,0.0,0.0,20.0,963.0,4.0
13063,298771.0,217282.0,27002.0,152344.0,527.0,11632.0,194.0,12249.0,13334.0,20799.0,26158.0,198279.0,24244.0,147835.0,497.0,8098.0,194.0,6849.0,10562.0,20651.0,15268.0
13065,6722.0,5043.0,3474.0,1038.0,132.0,14.0,0.0,175.0,210.0,3399.0,359.0,4713.0,3428.0,1038.0,80.0,5.0,0.0,4.0,158.0,3374.0,63.0
13067,769152.0,593070.0,313515.0,159975.0,2706.0,32983.0,266.0,37318.0,46307.0,300841.0,74530.0,533254.0,303815.0,152895.0,1419.0,21306.0,266.0,18244.0,35309.0,295374.0,43067.0
13069,43161.0,32539.0,20243.0,9089.0,116.0,260.0,0.0,517.0,2314.0,19158.0,3535.0,30540.0,19656.0,9047.0,49.0,150.0,0.0,142.0,1496.0,19120.0,1726.0
13071,45907.0,34082.0,20888.0,7605.0,321.0,248.0,0.0,3444.0,1576.0,19950.0,5758.0,30613.0,20291.0,7574.0,174.0,240.0,0.0,1393.0,941.0,19825.0,2471.0
13073,159638.0,119608.0,82783.0,22174.0,224.0,5592.0,5.0,3379.0,5451.0,79030.0,8352.0,115628.0,81055.0,21854.0,194.0,4300.0,5.0,3031.0,5189.0,78036.0,7013.0
13075,17363.0,12963.0,8613.0,3562.0,41.0,35.0,0.0,144.0,568.0,8405.0,713.0,12681.0,8572.0,3552.0,12.0,0.0,0.0,142.0,403.0,8405.0,476.0
13077,150071.0,114938.0,83609.0,20907.0,563.0,2567.0,0.0,2260.0,5032.0,80541.0,8279.0,110241.0,82007.0,19901.0,445.0,1582.0,0.0,1546.0,4760.0,79860.0,6271.0
13079,12183.0,9650.0,7139.0,2142.0,33.0,0.0,0.0,182.0,154.0,7069.0,305.0,9591.0,7139.0,2142.0,21.0,0.0,0.0,136.0,153.0,7069.0,246.0
13081,19995.0,15326.0,8366.0,6371.0,5.0,185.0,0.0,41.0,358.0,8070.0,475.0,15235.0,8366.0,6371.0,5.0,122.0,0.0,13.0,358.0,8070.0,447.0
13083,16196.0,13018.0,12073.0,234.0,2.0,143.0,0.0,20.0,546.0,12026.0,323.0,12920.0,12035.0,221.0,2.0,108.0,0.0,10.0,544.0,11988.0,323.0
13085,28704.0,22951.0,20732.0,339.0,15.0,223.0,0.0,262.0,1380.0,20402.0,1286.0,22466.0,20660.0,339.0,15.0,176.0,0.0,116.0,1160.0,20378.0,872.0
13087,29118.0,22028.0,11484.0,8922.0,85.0,208.0,0.0,675.0,654.0,11353.0,1277.0,21253.0,11443.0,8922.0,51.0,198.0,0.0,186.0,453.0,11340.0,525.0
13089,762105.0,586766.0,187947.0,302813.0,3771.0,36876.0,325.0,18172.0,36862.0,178449.0,49074.0,529399.0,179049.0,289762.0,2202.0,22381.0,210.0,9743.0,26052.0,173786.0,25276.0
13091,19909.0,16124.0,10750.0,4903.0,60.0,3.0,0.0,171.0,237.0,10513.0,491.0,15887.0,10682.0,4903.0,42.0,3.0,0.0,38.0,219.0,10484.0,287.0
13093,11026.0,9273.0,4032.0,4374.0,44.0,0.0,0.0,350.0,473.0,3978.0,578.0,8901.0,3978.0,4372.0,31.0,0.0,0.0,172.0,348.0,3970.0,216.0
13095,83915.0,63638.0,16841.0,43797.0,139.0,592.0,0.0,944.0,1325.0,16547.0,1599.0,62677.0,16742.0,43682.0,87.0,400.0,0.0,574.0,1192.0,16489.0,1072.0
13097,146141.0,108745.0,42552.0,52890.0,330.0,2012.0,18.0,4602.0,6341.0,39346.0,10740.0,102787.0,41288.0,51567.0,241.0,1678.0,18.0,2234.0,5761.0,38838.0,7059.0
13099,10683.0,8066.0,3789.0,3959.0,6.0,31.0,0.0,100.0,181.0,3789.0,172.0,7957.0,3780.0,3959.0,6.0,31.0,0.0,7.0,174.0,3780.0,72.0
13101,3705.0,2671.0,1850.0,152.0,6.0,85.0,0.0,217.0,361.0,1664.0,652.0,2371.0,1772.0,152.0,3.0,0.0,0.0,140.0,304.0,1664.0,437.0
13103,67265.0,49354.0,38518.0,7160.0,97.0,439.0,84.0,849.0,2207.0,37308.0,2611.0,48191.0,37890.0,7076.0,72.0,317.0,84.0,736.0,2016.0,37111.0,1856.0
13105,19725.0,15389.0,10275.0,3827.0,138.0,202.0,0.0,154.0,793.0,10069.0,673.0,15109.0,10162.0,3827.0,138.0,163.0,0.0,106.0,713.0,10069.0,432.0
13107,22961.0,17211.0,10564.0,5363.0,53.0,138.0,0.0,256.0,837.0,10426.0,638.0,16737.0,10444.0,5363.0,51.0,111.0,0.0,35.0,733.0,10402.0,215.0
13109,10740.0,7985.0,4693.0,2178.0,33.0,72.0,0.0,387.0,622.0,4689.0,732.0,7614.0,4693.0,2178.0,17.0,67.0,0.0,63.0,596.0,4689.0,366.0
13111,25605.0,21539.0,20185.0,155.0,38.0,86.0,0.0,267.0,808.0,20031.0,527.0,21261.0,20049.0,155.0,38.0,79.0,0.0,178.0,762.0,19956.0,332.0
13113,120689.0,93181.0,56785.0,23537.0,159.0,4379.0,119.0,3168.0,5034.0,55103.0,6734.0,87723.0,55637.0,22819.0,159.0,2344.0,119.0,2092.0,4553.0,54350.0,4816.0
13115,98985.0,76391.0,57780.0,9919.0,316.0,1151.0,102.0,2843.0,4280.0,55688.0,7549.0,72573.0,56761.0,9852.0,181.0,814.0,98.0,1676.0,3191.0,55573.0,4359.0
13117,260062.0,191875.0,132042.0,7779.0,757.0,31910.0,0.0,5250.0,14137.0,127967.0,17546.0,166018.0,128212.0,7312.0,292.0,16497.0,0.0,3178.0,10527.0,125058.0,11242.0
13119,23840.0,18552.0,15752.0,1510.0,31.0,273.0,0.0,268.0,718.0,15551.0,764.0,17798.0,15563.0,1503.0,29.0,61.0,0.0,104.0,538.0,15391.0,414.0
13121,1068507.0,842905.0,351206.0,354050.0,1753.0,65611.0,299.0,23177.0,46809.0,335615.0,60245.0,778195.0,337426.0,345448.0,1105.0,40072.0,268.0,15343.0,38533.0,325859.0,42544.0
13123,31976.0,26032.0,23362.0,195.0,243.0,126.0,0.0,776.0,1330.0,22887.0,2319.0,25333.0,23209.0,195.0,105.0,116.0,0.0,605.0,1103.0,22776.0,1745.0
13125,2913.0,2287.0,2001.0,263.0,0.0,0.0,0.0,0.0,23.0,2001.0,14.0,2287.0,2001.0,263.0,0.0,0.0,0.0,0.0,23.0,2001.0,14.0
13127,84987.0,67078.0,45434.0,16044.0,166.0,784.0,64.0,1663.0,2923.0,44165.0,4047.0,64987.0,44666.0,15918.0,160.0,602.0,64.0,1126.0,2451.0,43944.0,2501.0
13129,58336.0,44714.0,37239.0,1843.0,748.0,511.0,105.0,1832.0,2436.0,35314.0,6223.0,41896.0,36522.0,1836.0,242.0,427.0,90.0,923.0,1856.0,35239.0,3622.0
13131,26056.0,19605.0,12502.0,5747.0,62.0,19.0,0.0,724.0,551.0,11877.0,1832.0,18444.0,12179.0,5648.0,51.0,6.0,0.0,226.0,334.0,11828.0,720.0
13133,19586.0,16124.0,10282.0,4582.0,101.0,192.0,0.0,395.0,572.0,10162.0,863.0,15914.0,10228.0,4577.0,0.0,180.0,0.0,374.0,555.0,10122.0,710.0
13135,966972.0,711750.0,273886.0,200228.0,2788.0,97791.0,768.0,68388.0,67901.0,247702.0,147976.0,593054.0,258362.0,186623.0,1766.0,67150.0,557.0,33254.0,45342.0,241982.0,80094.0
13137,46948.0,36661.0,29924.0,1434.0,133.0,816.0,7.0,1666.0,2681.0,29070.0,4538.0,34096.0,29448.0,1424.0,74.0,466.0,7.0,971.0,1706.0,28955.0,2459.0
13139,208395.0,158032.0,111870.0,11469.0,515.0,3516.0,15.0,11098.0,19549.0,101049.0,38313.0,137251.0,106719.0,10953.0,190.0,2705.0,15.0,5555.0,11114.0,100415.0,19568.0
13141,8630.0,7327.0,2070.0,5073.0,19.0,47.0,0.0,36.0,82.0,2070.0,55.0,7272.0,2070.0,5073.0,0.0,43.0,0.0,4.0,82.0,2070.0,4.0
13143,30720.0,23397.0,21292.0,1030.0,10.0,132.0,0.0,166.0,767.0,21122.0,437.0,23269.0,21284.0,1030.0,10.0,121.0,0.0,120.0,704.0,21114.0,391.0
13145,35509.0,27872.0,21379.0,4651.0,17.0,196.0,0.0,701.0,928.0,21008.0,1119.0,27672.0,21273.0,4651.0,17.0,130.0,0.0,701.0,900.0,20950.0,1064.0
13147,26484.0,21016.0,16147.0,3462.0,79.0,236.0,0.0,199.0,893.0,15991.0,662.0,20711.0,16088.0,3456.0,28.0,191.0,0.0,134.0,814.0,15975.0,424.0
13149,11616.0,8911.0,7705.0,722.0,4.0,88.0,2.0,27.0,363.0,7639.0,156.0,8870.0,7705.0,722.0,4.0,47.0,2.0,27.0,363.0,7639.0,156.0
13151,245417.0,183468.0,71370.0,91146.0,299.0,6149.0,41.0,3288.0,11175.0,67564.0,12765.0,177487.0,70305.0,89155.0,247.0,5144.0,41.0,2577.0,10018.0,67077.0,10414.0
13153,166902.0,124123.0,71111.0,38972.0,488.0,4077.0,257.0,1645.0,7573.0,68688.0,7923.0,119956.0,70055.0,38403.0,254.0,3200.0,257.0,955.0,6832.0,68143.0,5684.0
13155,9385.0,7276.0,5119.0,1709.0,0.0,17.0,0.0,305.0,126.0,5001.0,437.0,7178.0,5108.0,1709.0,0.0,12.0,0.0,223.0,126.0,5001.0,344.0
13157,80640.0,60270.0,48948.0,4661.0,95.0,1311.0,34.0,1766.0,3455.0,47534.0,5216.0,58694.0,48754.0,4615.0,82.0,1087.0,10.0,1204.0,2942.0,47433.0,4045.0
13159,15345.0,11747.0,8819.0,2088.0,2.0,35.0,0.0,412.0,391.0,8819.0,467.0,11468.0,8810.0,2088.0,2.0,6.0,0.0,214.0,348.0,8810.0,226.0
13161,14838.0,10945.0,8028.0,1500.0,91.0,17.0,56.0,209.0,1044.0,7937.0,1168.0,10292.0,8002.0,1500.0,15.0,17.0,56.0,58.0,644.0,7933.0,519.0
13163,15468.0,11956.0,5276.0,6065.0,59.0,50.0,0.0,334.0,172.0,5162.0,432.0,11651.0,5205.0,6065.0,4.0,42.0,0.0,163.0,172.0,5162.0,211.0
13165,8674.0,7062.0,4128.0,2621.0,2.0,2.0,0.0,30.0,279.0,4073.0,273.0,6977.0,4081.0,2621.0,2.0,2.0,0.0,10.0,261.0,4073.0,196.0
13167,9192.0,7536.0,4792.0,2460.0,0.0,0.0,0.0,44.0,240.0,4735.0,163.0,7480.0,4773.0,2460.0,0.0,0.0,0.0,12.0,235.0,4735.0,107.0
13169,28526.0,22008.0,15583.0,5748.0,12.0,83.0,0.0,169.0,413.0,15436.0,351.0,21842.0,15517.0,5748.0,12.0,57.0,0.0,169.0,339.0,15370.0,299.0
13171,19098.0,14964.0,10099.0,4206.0,6.0,96.0,0.0,29.0,528.0,10035.0,155.0,14824.0,10036.0,4180.0,6.0,56.0,0.0,18.0,528.0,9988.0,128.0
13173,10094.0,7794.0,5280.0,1821.0,9.0,104.0,0.0,296.0,284.0,5203.0,544.0,7551.0,5238.0,1821.0,0.0,0.0,0.0,208.0,284.0,5196.0,412.0
13175,49619.0,37288.0,22398.0,13317.0,34.0,442.0,32.0,730.0,335.0,22187.0,920.0,36644.0,22340.0,13286.0,32.0,346.0,0.0,342.0,298.0,22142.0,508.0
13177,33337.0,24710.0,17027.0,5755.0,0.0,682.0,37.0,248.0,961.0,16924.0,714.0,24176.0,16996.0,5528.0,0.0,464.0,37.0,212.0,939.0,16902.0,647.0
13179,66826.0,48332.0,19985.0,20860.0,214.0,942.0,171.0,1626.0,4534.0,19017.0,5490.0,46595.0,19429.0,20613.0,147.0,666.0,44.0,1542.0,4154.0,18547.0,4974.0
13181,7773.0,6297.0,4394.0,1722.0,0.0,8.0,0.0,27.0,146.0,4362.0,64.0,6146.0,4356.0,1641.0,0.0,8.0,0.0,23.0,118.0,4333.0,51.0
13183,17512.0,12655.0,7364.0,3258.0,25.0,27.0,50.0,965.0,966.0,7149.0,1446.0,12362.0,7303.0,3258.0,18.0,23.0,34.0,802.0,924.0,7108.0,1236.0
13185,119055.0,89773.0,49737.0,32023.0,314.0,1808.0,139.0,1778.0,3974.0,48356.0,5181.0,87799.0,49408.0,31852.0,262.0,1291.0,139.0,1211.0,3636.0,48065.0,4272.0
13187,33931.0,28122.0,25697.0,526.0,109.0,254.0,19.0,336.0,1181.0,25403.0,1370.0,27603.0,25402.0,437.0,109.0,241.0,19.0,316.0,1079.0,25182.0,1089.0
13189,21687.0,16263.0,9419.0,6210.0,0.0,89.0,0.0,172.0,373.0,9218.0,443.0,16096.0,9311.0,6183.0,0.0,83.0,0.0,146.0,373.0,9125.0,402.0
13191,11187.0,9489.0,6115.0,2883.0,15.0,14.0,0.0,0.0,462.0,6061.0,252.0,9480.0,6110.0,2879.0,15.0,14.0,0.0,0.0,462.0,6056.0,252.0
13193,11953.0,9705.0,3370.0,5780.0,21.0,136.0,0.0,195.0,203.0,3287.0,314.0,9445.0,3370.0,5780.0,21.0,83.0,0.0,33.0,158.0,3287.0,107.0
13195,30914.0,23690.0,19459.0,2091.0,45.0,393.0,0.0,670.0,1032.0,19205.0,1212.0,23136.0,19341.0,2083.0,45.0,308.0,0.0,415.0,944.0,19183.0,773.0
13197,7474.0,5957.0,3626.0,1704.0,40.0,40.0,0.0,306.0,241.0,3560.0,390.0,5610.0,3562.0,1704.0,25.0,0.0,0.0,78.0,241.0,3539.0,104.0
13199,20757.0,16274.0,9731.0,5966.0,16.0,62.0,10.0,71.0,418.0,9622.0,321.0,16247.0,9710.0,5966.0,16.0,56.0,10.0,71.0,418.0,9601.0,321.0
13201,5873.0,4531.0,3115.0,1142.0,33.0,31.0,23.0,10.0,177.0,3115.0,115.0,4435.0,3095.0,1142.0,33.0,17.0,9.0,10.0,129.0,3095.0,67.0
13205,21441.0,16538.0,8107.0,7729.0,48.0,4.0,0.0,447.0,203.0,7927.0,682.0,16279.0,8015.0,7721.0,38.0,4.0,0.0,363.0,138.0,7927.0,441.0
13207,28919.0,22852.0,16808.0,5094.0,74.0,212.0,0.0,160.0,504.0,16610.0,542.0,22694.0,16789.0,5082.0,74.0,144.0,0.0,101.0,504.0,16598.0,476.0
13209,8675.0,6898.0,4681.0,1680.0,14.0,36.0,0.0,246.0,241.0,4581.0,416.0,6731.0,4674.0,1653.0,14.0,29.0,0.0,134.0,227.0,4574.0,283.0
13211,20614.0,16005.0,11979.0,3265.0,0.0,105.0,0.0,139.0,517.0,11931.0,465.0,15747.0,11952.0,3232.0,0.0,22.0,0.0,69.0,472.0,11904.0,350.0
13213,40282.0,30663.0,27168.0,234.0,140.0,135.0,131.0,1185.0,1670.0,25509.0,4019.0,29296.0,26696.0,234.0,45.0,81.0,131.0,684.0,1425.0,25476.0,2739.0
13215,204383.0,153256.0,64016.0,71137.0,286.0,4051.0,237.0,5027.0,8502.0,61425.0,10981.0,149402.0,63445.0,70921.0,197.0,2833.0,237.0,3672.0,8097.0,60948.0,9233.0
13217,115530.0,85961.0,37928.0,40323.0,89.0,1281.0,0.0,1626.0,4714.0,36983.0,4692.0,82578.0,37242.0,39566.0,89.0,672.0,0.0,951.0,4058.0,36762.0,2886.0
13219,42788.0,31575.0,26744.0,1153.0,159.0,1340.0,345.0,360.0,1474.0,26494.0,1570.0,30511.0,26566.0,1140.0,110.0,913.0,71.0,309.0,1402.0,26328.0,1123.0
13221,15221.0,11935.0,9154.0,1843.0,20.0,77.0,10.0,375.0,456.0,9007.0,638.0,11617.0,9136.0,1838.0,20.0,57.0,10.0,116.0,440.0,8989.0,343.0
13223,174292.0,129492.0,87586.0,28626.0,451.0,1716.0,80.0,2885.0,8148.0,84825.0,9578.0,124245.0,86465.0,27692.0,237.0,905.0,80.0,1864.0,7002.0,84180.0,7088.0
13225,28269.0,22250.0,10730.0,9771.0,97.0,135.0,49.0,692.0,776.0,10172.0,1770.0,21458.0,10522.0,9753.0,97.0,74.0,49.0,202.0,761.0,10165.0,1064.0
13227,34197.0,27693.0,25940.0,130.0,38.0,158.0,22.0,198.0,1207.0,25672.0,897.0,27170.0,25864.0,130.0,12.0,53.0,22.0,100.0,989.0,25596.0,581.0
13229,19996.0,15047.0,12891.0,1424.0,50.0,0.0,0.0,35.0,647.0,12681.0,620.0,14799.0,12880.0,1424.0,50.0,0.0,0.0,0.0,445.0,12681.0,372.0
13231,19540.0,14945.0,13164.0,1376.0,5.0,114.0,0.0,119.0,167.0,12962.0,274.0,14819.0,13108.0,1371.0,5.0,78.0,0.0,90.0,167.0,12906.0,245.0
13233,43365.0,32371.0,25138.0,3696.0,184.0,444.0,0.0,1203.0,1706.0,24041.0,3507.0,30317.0,24568.0,3696.0,11.0,110.0,0.0,628.0,1304.0,24030.0,1809.0
13235,9893.0,8082.0,4934.0,2611.0,7.0,89.0,0.0,53.0,388.0,4883.0,384.0,7836.0,4886.0,2580.0,7.0,59.0,0.0,13.0,291.0,4862.0,219.0
13237,22524.0,18107.0,12627.0,4321.0,0.0,142.0,31.0,311.0,675.0,12333.0,965.0,17640.0,12497.0,4266.0,0.0,135.0,31.0,70.0,641.0,12320.0,573.0
13239,2092.0,1890.0,900.0,954.0,0.0,0.0,0.0,0.0,36.0,889.0,25.0,1885.0,895.0,954.0,0.0,0.0,0.0,0.0,36.0,889.0,20.0
13241,17107.0,14317.0,12897.0,156.0,10.0,136.0,0.0,375.0,743.0,12772.0,1026.0,13762.0,12767.0,153.0,6.0,2.0,0.0,262.0,572.0,12726.0,654.0
13243,6270.0,4597.0,1375.0,3098.0,0.0,9.0,0.0,39.0,76.0,1366.0,69.0,4586.0,1373.0,3098.0,0.0,0.0,0.0,39.0,76.0,1364.0,69.0
13245,206040.0,158585.0,57053.0,86873.0,233.0,2841.0,308.0,3958.0,7319.0,54804.0,7993.0,155381.0,56345.0,86430.0,201.0,2159.0,166.0,3078.0,7002.0,54232.0,7020.0
13247,94293.0,71713.0,21955.0,40794.0,190.0,1382.0,0.0,2526.0,4866.0,20535.0,6091.0,67751.0,21315.0,40048.0,173.0,818.0,0.0,1752.0,3645.0,20459.0,3588.0
13249,4539.0,3453.0,2674.0,625.0,0.0,0.0,0.0,17.0,137.0,2656.0,92.0,3449.0,2674.0,621.0,0.0,0.0,0.0,17.0,137.0,2656.0,92.0
13251,14057.0,11113.0,6362.0,4339.0,3.0,0.0,0.0,4.0,405.0,6315.0,201.0,11082.0,6340.0,4339.0,3.0,0.0,0.0,0.0,400.0,6293.0,192.0
13253,9117.0,7291.0,4807.0,2327.0,7.0,38.0,0.0,8.0,104.0,4697.0,176.0,7233.0,4800.0,2327.0,7.0,16.0,0.0,2.0,81.0,4690.0,147.0
13255,68215.0,52259.0,31197.0,17621.0,113.0,480.0,14.0,786.0,2048.0,30365.0,2480.0,51198.0,30943.0,17548.0,72.0,234.0,14.0,518.0,1869.0,30228.0,1931.0
13257,26842.0,20904.0,17419.0,2295.0,28.0,212.0,0.0,413.0,537.0,17339.0,601.0,20561.0,17388.0,2282.0,28.0,209.0,0.0,117.0,537.0,17310.0,303.0
13259,4978.0,4387.0,1246.0,2579.0,18.0,85.0,0.0,345.0,114.0,1103.0,503.0,3780.0,1168.0,2480.0,18.0,0.0,0.0,0.0,114.0,1090.0,87.0
13261,29174.0,22605.0,9822.0,10910.0,54.0,393.0,48.0,216.0,1162.0,9486.0,1084.0,21986.0,9734.0,10887.0,51.0,237.0,48.0,120.0,909.0,9448.0,687.0
13263,5753.0,4814.0,2058.0,2563.0,2.0,0.0,0.0,35.0,156.0,2045.0,48.0,4814.0,2058.0,2563.0,2.0,0.0,0.0,35.0,156.0,2045.0,48.0
13265,1740.0,1426.0,566.0,696.0,0.0,1.0,4.0,86.0,73.0,558.0,47.0,1388.0,566.0,696.0,0.0,1.0,4.0,48.0,73.0,558.0,9.0
13267,24215.0,19322.0,11482.0,5553.0,51.0,63.0,0.0,1404.0,769.0,11340.0,1688.0,18390.0,11445.0,5526.0,49.0,16.0,0.0,624.0,730.0,11309.0,861.0
13269,7786.0,6230.0,3770.0,2341.0,6.0,54.0,0.0,5.0,54.0,3756.0,23.0,6146.0,3715.0,2341.0,6.0,26.0,0.0,5.0,53.0,3701.0,22.0
13271,12174.0,9396.0,5040.0,3692.0,11.0,19.0,0.0,348.0,286.0,4825.0,890.0,8910.0,4970.0,3660.0,2.0,19.0,0.0,4.0,255.0,4824.0,437.0
13273,8941.0,6905.0,2729.0,3966.0,0.0,37.0,1.0,111.0,61.0,2729.0,145.0,6849.0,2728.0,3966.0,0.0,37.0,1.0,64.0,53.0,2728.0,90.0
13275,45696.0,34803.0,21077.0,12093.0,121.0,300.0,16.0,321.0,875.0,20689.0,1059.0,34354.0,20977.0,11987.0,108.0,256.0,0.0,204.0,822.0,20645.0,829.0
