GEOID,total_pop_acs5_23,total_vap_acs5_23,white_vap_acs5_23,black_vap_acs5_23,amin_vap_acs5_23,asian_vap_acs5_23,nhpi_vap_acs5_23,other_vap_acs5_23,two_or_more_races_vap_acs5_23,non_hispanic_white_vap_acs5_23,hispanic_vap_acs5_23,total_cvap_acs5_23,white_cvap_acs5_23,black_cvap_acs5_23,amin_cvap_acs5_23,asian_cvap_acs5_23,nhpi_cvap_acs5_23,other_cvap_acs5_23,two_or_more_races_cvap_acs5_23,non_hispanic_white_cvap_acs5_23,hispanic_cvap_acs5_23
13001,18426.0,13892.0,10097.0,2418.0,98.0,87.0,0.0,536.0,656.0,9872.0,1138.0,13138.0,9914.0,2418.0,41.0,87.0,0.0,248.0,430.0,9815.0,441.0
13003,8261.0,6162.0,4081.0,1029.0,0.0,0.0,0.0,563.0,489.0,3573.0,1467.0,5249.0,3799.0,1029.0,0.0,0.0,0.0,278.0,143.0,3573.0,554.0
13005,11129.0,8300.0,6471.0,1097.0,7.0,68.0,0.0,234.0,423.0,6395.0,509.0,8028.0,6471.0,1095.0,7.0,0.0,0.0,132.0,323.0,6395.0,307.0
13007,2830.0,2308.0,1221.0,805.0,20.0,155.0,0.0,19.0,88.0,1213.0,73.0,2243.0,1221.0,805.0,0.0,152.0,0.0,0.0,65.0,1213.0,11.0
13009,43669.0,35395.0,19528.0,14111.0,27.0,517.0,81.0,347.0,784.0,19256.0,907.0,34940.0,19381.0,14089.0,27.0,338.0,81.0,293.0,731.0,19121.0,788.0
13011,18757.0,14740.0,13013.0,287.0,16.0,239.0,0.0,418.0,767.0,12954.0,871.0,14183.0,12954.0,268.0,16.0,143.0,0.0,238.0,564.0,12933.0,450.0
13013,86982.0,64886.0,46273.0,8625.0,329.0,2571.0,0.0,2667.0,4421.0,43945.0,8100.0,60983.0,45345.0,8404.0,183.0,2133.0,0.0,1635.0,3283.0,43800.0,5008.0
13015,111153.0,84934.0,67704.0,9341.0,166.0,708.0,76.0,2236.0,4703.0,64943.0,7341.0,82320.0,66531.0,9332.0,29.0,478.0,65.0,1823.0,4062.0,64612.0,5357.0
13017,17138.0,12909.0,7781.0,4687.0,44.0,62.0,0.0,130.0,205.0,7382.0,645.0,12561.0,7577.0,4651.0,44.0,39.0,0.0,103.0,147.0,7338.0,400.0
13019,18257.0,13910.0,11618.0,1480.0,0.0,100.0,6.0,190.0,516.0,11352.0,659.0,13770.0,11579.0,1480.0,0.0,26.0,6.0,163.0,516.0,11331.0,614.0
