GEOID,total_vap_est_male_acs5_23,total_vap_est_female_acs5_23,white_vap_est_male_acs5_23,white_vap_est_female_acs5_23,black_vap_est_male_acs5_23,black_vap_est_female_acs5_23,amin_vap_est_male_acs5_23,amin_vap_est_female_acs5_23,asian_vap_est_male_acs5_23,asian_vap_est_female_acs5_23,nhpi_vap_est_male_acs5_23,nhpi_vap_est_female_acs5_23,other_vap_est_male_acs5_23,other_vap_est_female_acs5_23,two_or_more_races_vap_est_male_acs5_23,two_or_more_races_vap_est_female_acs5_23,non_hispanic_white_vap_est_male_acs5_23,non_hispanic_white_vap_est_female_acs5_23,hispanic_vap_est_male_acs5_23,hispanic_vap_est_female_acs5_23
13269,2895.0,3335.0,1827.0,1943.0,978.0,1363.0,0.0,6.0,54.0,0.0,0.0,0.0,5.0,0.0,31.0,23.0,1813.0,1943.0,20.0,3.0
13271,5293.0,4103.0,2537.0,2503.0,2266.0,1426.0,9.0,2.0,19.0,0.0,0.0,0.0,348.0,0.0,114.0,172.0,2456.0,2369.0,588.0,302.0
13273,3308.0,3597.0,1393.0,1336.0,1772.0,2194.0,0.0,0.0,31.0,6.0,0.0,1.0,65.0,46.0,47.0,14.0,1393.0,1336.0,98.0,47.0
13275,16093.0,18710.0,10088.0,10989.0,5269.0,6824.0,26.0,95.0,68.0,232.0,16.0,0.0,208.0,113.0,418.0,457.0,9831.0,10858.0,583.0,476.0
13277,14636.0,16311.0,8856.0,9890.0,4015.0,4839.0,81.0,121.0,110.0,209.0,1.0,0.0,649.0,284.0,924.0,968.0,8400.0,9383.0,1814.0,1412.0
13279,9051.0,10768.0,6169.0,6952.0,1773.0,2623.0,42.0,63.0,50.0,146.0,0.0,0.0,420.0,309.0,597.0,675.0,5653.0,6603.0,1047.0,902.0
13281,5426.0,5718.0,4897.0,5505.0,147.0,66.0,21.0,11.0,3.0,2.0,5.0,0.0,50.0,4.0,303.0,130.0,4887.0,5456.0,174.0,159.0
13283,2480.0,2422.0,1635.0,1644.0,714.0,677.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,126.0,99.0,1612.0,1644.0,39.0,0.0
13285,24521.0,28146.0,14760.0,15902.0,8014.0,10298.0,21.0,43.0,656.0,702.0,5.0,0.0,686.0,496.0,379.0,705.0,14325.0,15668.0,1142.0,779.0
13287,3080.0,3566.0,1851.0,2056.0,1037.0,1317.0,0.0,13.0,0.0,0.0,0.0,0.0,115.0,88.0,77.0,92.0,1795.0,2028.0,168.0,106.0
13289,3131.0,3244.0,1820.0,1790.0,1203.0,1273.0,20.0,7.0,12.0,28.0,0.0,0.0,24.0,41.0,52.0,105.0,1804.0,1769.0,40.0,21.0
13291,10622.0,11056.0,9914.0,10483.0,172.0,52.0,40.0,9.0,0.0,39.0,0.0,0.0,117.0,144.0,379.0,329.0,9829.0,10416.0,339.0,347.0
13293,9972.0,11458.0,7137.0,7693.0,2384.0,3264.0,11.0,5.0,3.0,84.0,6.0,12.0,136.0,88.0,295.0,312.0,7061.0,7593.0,262.0,223.0
13295,26319.0,27482.0,23764.0,25234.0,1320.0,1156.0,55.0,39.0,187.0,210.0,0.0,14.0,285.0,126.0,708.0,703.0,23614.0,25036.0,618.0,614.0
13297,36598.0,39507.0,27551.0,29239.0,6539.0,7820.0,89.0,36.0,487.0,573.0,30.0,5.0,697.0,699.0,1205.0,1135.0,26690.0,28469.0,1930.0,1863.0
13299,13399.0,13608.0,8569.0,9121.0,4027.0,3810.0,74.0,37.0,185.0,143.0,6.0,5.0,202.0,78.0,336.0,414.0,8461.0,9084.0,533.0,478.0
13301,1955.0,2173.0,852.0,886.0,1064.0,1225.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,39.0,45.0,821.0,886.0,52.0,5.0
13303,8064.0,7534.0,3591.0,3318.0,4125.0,4051.0,41.0,0.0,38.0,40.0,0.0,0.0,104.0,27.0,165.0,98.0,3537.0,3277.0,201.0,90.0
13305,11683.0,11410.0,8453.0,8672.0,2474.0,1981.0,16.0,7.0,27.0,139.0,0.0,0.0,369.0,270.0,344.0,341.0,8204.0,8538.0,789.0,501.0
13307,1129.0,891.0,493.0,523.0,605.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,63.0,464.0,448.0,51.0,92.0
13309,4211.0,2044.0,2157.0,1432.0,1919.0,583.0,10.0,0.0,0.0,0.0,0.0,0.0,50.0,28.0,75.0,1.0,2087.0,1370.0,155.0,90.0
13311,11169.0,11795.0,10217.0,10877.0,283.0,279.0,20.0,15.0,107.0,81.0,0.0,0.0,225.0,157.0,317.0,386.0,10142.0,10796.0,344.0,301.0
13313,38288.0,38779.0,27211.0,28357.0,1645.0,1288.0,484.0,647.0,469.0,662.0,0.0,11.0,5133.0,4535.0,3346.0,3279.0,22475.0,24446.0,13172.0,11784.0
13315,4413.0,2731.0,2467.0,1917.0,1740.0,769.0,4.0,0.0,0.0,0.0,1.0,0.0,52.0,22.0,149.0,23.0,2309.0,1914.0,227.0,19.0
13317,3553.0,4031.0,2022.0,2125.0,1334.0,1665.0,3.0,18.0,0.0,0.0,0.0,0.0,83.0,90.0,111.0,133.0,2022.0,2098.0,152.0,194.0
13319,3255.0,3637.0,1887.0,2025.0,1148.0,1421.0,0.0,1.0,1.0,0.0,0.0,0.0,154.0,66.0,65.0,124.0,1876.0,2025.0,133.0,122.0
13321,7493.0,8497.0,5371.0,5815.0,1708.0,2082.0,84.0,23.0,12.0,102.0,2.0,0.0,54.0,40.0,262.0,435.0,5371.0,5648.0,72.0,202.0
