GEOID,total_vap_est_male_acs5_23,total_vap_est_female_acs5_23,white_vap_est_male_acs5_23,white_vap_est_female_acs5_23,black_vap_est_male_acs5_23,black_vap_est_female_acs5_23,amin_vap_est_male_acs5_23,amin_vap_est_female_acs5_23,asian_vap_est_male_acs5_23,asian_vap_est_female_acs5_23,nhpi_vap_est_male_acs5_23,nhpi_vap_est_female_acs5_23,other_vap_est_male_acs5_23,other_vap_est_female_acs5_23,two_or_more_races_vap_est_male_acs5_23,two_or_more_races_vap_est_female_acs5_23,non_hispanic_white_vap_est_male_acs5_23,non_hispanic_white_vap_est_female_acs5_23,hispanic_vap_est_male_acs5_23,hispanic_vap_est_female_acs5_23
13033,8656.0,9704.0,4651.0,4902.0,3531.0,4492.0,24.0,0.0,41.0,86.0,0.0,0.0,145.0,55.0,264.0,169.0,4531.0,4732.0,323.0,231.0
13035,11198.0,9526.0,6940.0,6705.0,3409.0,2387.0,5.0,8.0,0.0,3.0,0.0,0.0,161.0,67.0,683.0,356.0,6850.0,6672.0,367.0,297.0
13037,2975.0,1684.0,1022.0,612.0,1740.0,1022.0,0.0,0.0,5.0,6.0,0.0,0.0,73.0,3.0,135.0,41.0,980.0,603.0,169.0,29.0
13039,21984.0,20571.0,16263.0,14625.0,3819.0,3898.0,67.0,10.0,239.0,462.0,14.0,51.0,146.0,370.0,1436.0,1155.0,15900.0,14232.0,1452.0,1348.0
13043,4028.0,4190.0,2553.0,2705.0,848.0,989.0,103.0,35.0,7.0,59.0,0.0,0.0,298.0,189.0,219.0,213.0,2470.0,2705.0,576.0,306.0
13045,44643.0,48420.0,32440.0,34574.0,8209.0,10117.0,373.0,213.0,407.0,429.0,0.0,0.0,1179.0,1078.0,2035.0,2009.0,31668.0,33591.0,3444.0,3105.0
13047,25502.0,27555.0,22926.0,25026.0,799.0,543.0,29.0,84.0,360.0,424.0,37.0,0.0,256.0,278.0,1095.0,1200.0,22742.0,24837.0,860.0,892.0
13049,6089.0,4120.0,3211.0,2553.0,1874.0,816.0,52.0,23.0,27.0,65.0,0.0,0.0,63.0,136.0,862.0,527.0,3039.0,2553.0,891.0,581.0
13051,111567.0,124166.0,57666.0,62361.0,39403.0,48921.0,365.0,178.0,3540.0,3885.0,139.0,203.0,4088.0,3373.0,6366.0,5245.0,55820.0,59954.0,8449.0,7949.0
13053,5209.0,2213.0,3121.0,1281.0,1001.0,453.0,103.0,1.0,216.0,87.0,18.0,14.0,241.0,172.0,509.0,205.0,2823.0,1165.0,1014.0,374.0
13055,10006.0,9587.0,7815.0,8250.0,1490.0,702.0,66.0,105.0,18.0,1.0,0.0,0.0,162.0,170.0,455.0,359.0,7766.0,8214.0,455.0,368.0
13057,103042.0,107560.0,82046.0,85788.0,7016.0,7554.0,1359.0,653.0,2206.0,2780.0,33.0,51.0,3632.0,3508.0,6750.0,7226.0,78964.0,83174.0,11704.0,10634.0
13059,50150.0,57181.0,31752.0,34311.0,10810.0,15036.0,307.0,70.0,2193.0,2570.0,0.0,0.0,1375.0,1599.0,3713.0,3595.0,30302.0,32981.0,5126.0,4848.0
13061,1061.0,1231.0,538.0,429.0,518.0,787.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,534.0,429.0,4.0,0.0
13063,99205.0,118077.0,13372.0,13630.0,67167.0,85177.0,223.0,304.0,5452.0,6180.0,94.0,100.0,6143.0,6106.0,6754.0,6580.0,9974.0,10825.0,13645.0,12513.0
13065,2451.0,2592.0,1731.0,1743.0,297.0,741.0,106.0,26.0,5.0,9.0,0.0,0.0,172.0,3.0,140.0,70.0,1656.0,1743.0,352.0,7.0
13067,285449.0,307621.0,154296.0,159219.0,72433.0,87542.0,1538.0,1168.0,15609.0,17374.0,135.0,131.0,19499.0,17819.0,21939.0,24368.0,147385.0,153456.0,38480.0,36050.0
13069,16745.0,15794.0,10184.0,10059.0,4857.0,4232.0,92.0,24.0,82.0,178.0,0.0,0.0,302.0,215.0,1228.0,1086.0,9498.0,9660.0,2008.0,1527.0
13071,16732.0,17350.0,9994.0,10894.0,3575.0,4030.0,254.0,67.0,160.0,88.0,0.0,0.0,2027.0,1417.0,722.0,854.0,9450.0,10500.0,3303.0,2455.0
13073,57796.0,61812.0,40495.0,42288.0,10377.0,11797.0,55.0,169.0,2376.0,3216.0,0.0,5.0,1687.0,1692.0,2806.0,2645.0,38498.0,40532.0,4234.0,4118.0
13075,6144.0,6819.0,4143.0,4470.0,1665.0,1897.0,27.0,14.0,0.0,35.0,0.0,0.0,119.0,25.0,190.0,378.0,4086.0,4319.0,316.0,397.0
13077,55458.0,59480.0,41059.0,42550.0,9440.0,11467.0,258.0,305.0,1226.0,1341.0,0.0,0.0,981.0,1279.0,2494.0,2538.0,39306.0,41235.0,4198.0,4081.0
13079,4917.0,4733.0,3604.0,3535.0,1047.0,1095.0,12.0,21.0,0.0,0.0,0.0,0.0,156.0,26.0,98.0,56.0,3570.0,3499.0,242.0,63.0
13081,7273.0,8053.0,4228.0,4138.0,2802.0,3569.0,5.0,0.0,102.0,83.0,0.0,0.0,25.0,16.0,111.0,247.0,3932.0,4138.0,346.0,129.0
13083,6500.0,6518.0,5883.0,6190.0,175.0,59.0,2.0,0.0,63.0,80.0,0.0,0.0,15.0,5.0,362.0,184.0,5862.0,6164.0,253.0,70.0
13085,11514.0,11437.0,10261.0,10471.0,183.0,156.0,15.0,0.0,122.0,101.0,0.0,0.0,183.0,79.0,750.0,630.0,10091.0,10311.0,690.0,596.0
13087,10471.0,11557.0,5558.0,5926.0,4100.0,4822.0,49.0,36.0,111.0,97.0,0.0,0.0,309.0,366.0,344.0,310.0,5517.0,5836.0,614.0,663.0
13089,272490.0,314276.0,90939.0,97008.0,134989.0,167824.0,1833.0,1938.0,17547.0,19329.0,154.0,171.0,9231.0,8941.0,17797.0,19065.0,86145.0,92304.0,25390.0,23684.0
13091,8555.0,7569.0,5584.0,5166.0,2693.0,2210.0,25.0,35.0,0.0,3.0,0.0,0.0,154.0,17.0,99.0,138.0,5391.0,5122.0,395.0,96.0
13093,5299.0,3974.0,2263.0,1769.0,2441.0,1933.0,25.0,19.0,0.0,0.0,0.0,0.0,298.0,52.0,272.0,201.0,2233.0,1745.0,439.0,139.0
13095,28193.0,35445.0,7982.0,8859.0,18703.0,25094.0,110.0,29.0,255.0,337.0,0.0,0.0,522.0,422.0,621.0,704.0,7777.0,8770.0,913.0,686.0
