GEOID,total_cvap_moe_acs5_23,white_cvap_moe_acs5_23,black_cvap_moe_acs5_23,amin_cvap_moe_acs5_23,asian_cvap_moe_acs5_23,nhpi_cvap_moe_acs5_23,other_cvap_moe_acs5_23,two_or_more_races_cvap_moe_acs5_23,non_hispanic_white_cvap_moe_acs5_23,hispanic_cvap_moe_acs5_23
13001,220.11360703055138,107.11675872616759,204.98292611825016,59.85816569190874,84.12490713219242,46.0,117.54998936622665,164.0701069665038,82.63171304045439,141.6368596093545
13003,201.21381662301422,105.94338110519222,94.99473669630333,40.0,40.0,40.0,150.03332963045244,75.53145040312677,40.0,188.1143269397629
13005,149.20790863757858,73.45066371381542,129.10073586157438,42.930175867331364,46.0,46.0,80.87026647662292,131.8066766138954,46.0,116.20240961357041
13007,201.04228410958726,181.39735389470266,182.31017525086196,28.0,128.7866452703851,28.0,28.0,57.14017850864661,181.39735389470266,22.80350850198276
13009,275.9112176045041,163.00613485387598,239.16103361542824,49.9799959983992,94.44045743218317,128.9340916902896,107.87492757819122,183.57015007892758,130.85106037017812,134.82581355215328
13011,210.41150158677164,123.03657992645927,126.78327965469263,41.32795663954365,87.7040477971228,46.0,97.65756499114649,154.7901805671148,120.17487258158421,138.44132331063582
13013,669.8089279787184,507.16269578903376,433.62541438435085,88.40248865275231,259.2392717163046,68.0,314.2403538694545,452.8277818332263,382.1570357850291,452.5284521441718
13015,770.3830216197655,772.9126729456569,456.2597944154185,56.929781309961136,141.66862743741115,42.035699113967404,578.6112684696004,650.0661504800877,621.0748747131862,531.2475882298196
13017,217.76592938290415,166.05420801653898,100.2845950283492,53.47896782848375,53.50700888668698,46.0,87.92610533851708,91.60240171523888,96.17692030835673,148.36441621898427
13019,132.32535660258014,128.3666623387864,72.0832851637604,46.0,50.309044912421065,41.32795663954365,88.45903006477066,145.09307357692853,88.09653795694811,96.99484522385713
13021,582.2456526243884,534.3519439470582,690.9522414754872,79.37883848986453,263.163447309842,103.66291525902598,516.2818997408295,685.3867521334214,460.47909833129233,337.0667589662321
13023,128.9418473576364,118.77710217040993,64.87680633323437,53.693575034635195,36.796738985948195,46.0,57.60208329565867,98.29547293746543,49.839743177508446,119.99583326099285
13025,346.5746672796499,149.49916387726054,198.1665965797465,46.0,62.37788069500277,46.0,156.07049689162906,228.01535036045271,148.04728974216312,170.66341142728865
13027,207.84850252046562,190.27085956604074,222.51516802231708,34.55430508634199,127.79280104919839,45.033320996790806,143.40850741849314,158.24980252752292,140.72313242676202,63.23764701504951
13029,499.51776745176943,411.79120923108593,346.86164388701155,68.46897107449476,166.37006942355947,58.557663887829406,361.63794048744387,370.89755998118943,344.56349197208925,266.97003577180715
13031,566.5845038473961,314.94761469171345,493.1034374246442,93.85627309881849,168.84904500766356,61.02458520956943,158.5023659129415,452.1880139941792,284.4608936216014,268.45856291055424
13033,234.41416339462086,176.05396899814556,173.13289693180786,57.23635208501674,51.264022471905186,54.0,86.69486720677297,178.05897899291685,100.03499387714281,161.10865898517062
13035,182.4691754790381,205.20721234888407,267.3649191647999,41.98809355043403,54.0,54.0,167.33798134314875,310.3353025358217,179.3488221316215,157.797338380595
13037,75.55792479945436,24.879710609249457,106.85504199615477,40.0,30.463092423455635,40.0,43.9203825119955,79.96249120681522,29.154759474226502,58.412327466040935
13039,284.6840353795766,309.04853987682907,348.8524043202225,68.6804193347711,101.79882121124979,61.04096984812741,236.5396372703738,451.8262940555806,176.67767261315166,187.0561413052242
13043,175.72137035659608,85.81957818586619,120.67725552066554,132.14764470091777,42.567593307585526,46.0,117.32007500849971,134.53252394867198,47.59201613716318,159.26707129849535
13045,762.9482289120278,527.2048937557389,538.6009654651577,81.04319835741924,146.27713423498562,68.0,441.3014842485803,379.9671038392666,414.28130539525915,493.84410495620983
13047,400.84161460606856,429.9337158214043,291.266201266127,40.06245124802026,136.07718398026907,79.22752047110903,204.69489490458722,494.1305495514318,382.519280559817,209.34421415458323
13049,474.8852492971328,101.68087332433765,147.97972834141845,55.19963767997033,33.60059523282288,46.0,245.46282814308157,439.8749822392722,47.05316142407437,467.1851881213701
13051,1967.6554576449607,1429.4369520898779,1128.1218905774322,164.25589791541734,495.3877269371941,77.20103626247513,910.2796273673272,1027.1051552786598,1307.5760016152026,863.8263714427802
13053,284.6067462306542,142.56226709757388,211.46630937338458,71.83313998427188,124.63948010161147,48.093658625644196,144.665130560201,179.25122035846786,87.5328509760764,133.04510513355987
13055,269.7202254188588,226.2056586383285,178.03932149949347,47.16990566028302,38.41874542459709,54.0,76.0,172.60938560808333,221.2645475443366,83.52843827104634
13057,1760.4013746870344,1398.7018981898896,803.9533568559808,191.94269978303421,407.2051080229716,79.63039620647382,596.4117705075915,1039.1477277076633,1212.4120586665244,1025.0434137147558
13059,930.3450972623008,498.7855250505973,769.3614235195315,135.6318546654878,352.1491161425796,68.0,344.97101327502867,732.2158151801967,395.488305768957,581.3372515158477
13061,205.35091916034852,157.35310610216754,210.62288574606512,28.0,28.0,28.0,28.0,27.60434748368452,157.17824276915684,25.238858928247925
13063,2208.522130294374,643.8004349175294,1897.4546107878311,161.85487326614543,610.335153829435,73.29392880723478,841.1509971461724,1221.5649798516656,251.68432609123676,1104.0624982309653
13065,240.5784695270963,151.7003625572464,118.77289253024026,119.10079764636339,36.66060555964672,40.0,29.563490998188964,105.38026380684383,92.99462350050136,116.83321445547922
13067,3147.7626975361404,1918.3320880389817,2595.5513865073062,317.98899352021607,982.5716258879045,159.69658731482022,1428.692409163008,1846.0687961178478,1771.1309945907446,1781.1563659600467
13069,381.7276516051726,271.6339448596217,133.49157276772192,56.96490147450446,71.6798437498297,60.0,106.91585476438937,345.87570021613254,153.26447729333762,330.57223113867263
13071,438.0353866983808,189.7340243604188,169.7733783606841,99.78476837674175,107.56393447619885,60.0,321.30981933330327,274.10034658861707,83.95236744726142,401.09225871362815
13073,1166.0814722822759,828.5632142449965,611.2037303551084,132.04923324275686,504.1735812198017,59.430631832414505,543.3350715718616,680.1279291427459,687.5478165189677,562.5699956449864
13075,174.11203289836115,167.55297669692413,86.61985915481507,48.12483766206386,46.0,46.0,116.50751048752178,169.0562036720333,98.23950325607312,162.4130536625674
13077,1082.1506364642587,621.9308643249666,779.0468535332134,237.73304355936725,253.16792845856287,68.0,416.593326878864,658.951439789003,505.78453910731594,581.053353832503
13079,161.23895310997278,84.35045939412541,70.17121917139534,41.32795663954365,46.0,46.0,127.85147633093644,92.19002115196633,43.56604182158393,152.22023518573343
13081,361.52178357603844,306.45391170614874,110.28599185753374,40.84115571332428,69.23871749245504,46.0,52.373657500693994,190.99476432614586,77.6530746332687,338.9100175562829
13083,233.28737642658677,127.58526560696576,145.91093173576817,40.0374824383352,79.42921376924235,46.0,34.68429039204925,193.25371923976004,115.2432210587677,171.63624325881756
13085,401.4536087769046,338.241038314395,124.90796611905904,49.42671342502959,82.60145277172793,54.0,123.0447073221762,283.035333483295,312.14900288163665,216.31920857843392
13087,213.04694318389082,92.84395510748128,162.29602582934677,73.66817494685205,69.49100661236676,54.0,106.88779163215975,150.61208450851478,57.766772456144714,166.95508378003947
13089,4163.878240294737,1372.9468307257932,3605.555297038169,417.9545429828464,1029.0286682109493,98.92421341612983,1002.9980059800718,1624.8870729992284,1149.8352055838263,1271.5148445849934
13091,146.6253729748027,135.65397155999526,110.32678731840241,69.24593850905626,43.71498598878879,46.0,40.84115571332428,132.75164782404775,97.87236586493657,128.07029319869616
13093,107.54068997360952,91.53687781435414,151.38692149588087,48.569537778323564,46.0,46.0,104.17293314484334,143.17122615944868,88.96628574915331,96.70573922989266
13095,313.1022197302344,179.90553076545478,340.8650759464806,85.61541917201598,153.20248039767503,68.0,200.8830505542964,274.09852243308427,133.4241357476225,189.57584234284704
13097,1262.3291963667798,663.1515663858452,1197.6769180375816,112.5921844534513,167.56491279501208,64.78425734698207,499.0490957811666,730.3102080623,448.45178113148353,670.6191169359847
13099,66.1362230551458,36.09709129556009,122.95527642195759,41.32795663954365,58.61740355901138,46.0,35.25620512760839,119.3440404879942,36.09709129556009,64.49030934954492
13101,212.43587267690924,199.90747859947612,106.85036265731624,24.758836806279895,28.0,28.0,80.31189202104505,139.66030216206752,205.00243900988104,116.11632098891181
