GEOID,non_hispanic_nhpi_pop_20,non_hispanic_asian_pop_20,non_hispanic_black_asian_pop_20,non_hispanic_amin_pop_20,non_hispanic_black_pop_20,non_hispanic_black_amin_pop_20,non_hispanic_white_black_pop_20,non_hispanic_asian_nhpi_pop_20,non_hispanic_white_asian_other_pop_20,non_hispanic_four_races_pop_20,non_hispanic_amin_other_pop_20,non_hispanic_white_asian_nhpi_pop_20,non_hispanic_two_races_pop_20,non_hispanic_asian_nhpi_other_pop_20,non_hispanic_white_amin_other_pop_20,non_hispanic_amin_nhpi_other_pop_20,non_hispanic_two_or_more_races_pop_20,non_hispanic_amin_nhpi_pop_20,non_hispanic_white_asian_nhpi_other_pop_20,non_hispanic_amin_asian_other_pop_20,non_hispanic_white_amin_nhpi_other_pop_20,non_hispanic_amin_asian_pop_20,non_hispanic_white_amin_nhpi_pop_20,non_hispanic_other_pop_20,non_hispanic_white_other_pop_20,non_hispanic_white_black_amin_pop_20,non_hispanic_white_pop_20,non_hispanic_three_races_pop_20,non_hispanic_one_race_pop_20,non_hispanic_white_nhpi_pop_20,non_hispanic_pop_20,non_hispanic_black_amin_asian_pop_20,non_hispanic_white_asian_pop_20,non_hispanic_nhpi_other_pop_20,hispanic_pop_20,non_hispanic_white_amin_pop_20,non_hispanic_asian_other_pop_20,non_hispanic_white_nhpi_other_pop_20,non_hispanic_white_black_asian_nhpi_pop_20,non_hispanic_five_races_pop_20,non_hispanic_black_amin_other_pop_20,non_hispanic_amin_asian_nhpi_other_pop_20,non_hispanic_black_amin_nhpi_pop_20,non_hispanic_white_black_amin_other_pop_20,non_hispanic_white_black_amin_asian_pop_20,non_hispanic_white_black_amin_nhpi_pop_20,non_hispanic_black_asian_nhpi_other_pop_20,non_hispanic_black_amin_asian_other_pop_20,non_hispanic_black_amin_nhpi_other_pop_20,non_hispanic_white_amin_asian_other_pop_20,non_hispanic_white_black_asian_nhpi_other_pop_20,non_hispanic_white_amin_asian_pop_20,non_hispanic_amin_asian_nhpi_pop_20,non_hispanic_black_other_pop_20,non_hispanic_white_black_amin_nhpi_other_pop_20,non_hispanic_black_nhpi_other_pop_20,non_hispanic_white_amin_asian_nhpi_pop_20,non_hispanic_black_nhpi_pop_20,non_hispanic_white_black_other_pop_20,non_hispanic_white_black_nhpi_other_pop_20,non_hispanic_white_black_amin_asian_other_pop_20,non_hispanic_white_black_nhpi_pop_20,non_hispanic_black_asian_other_pop_20,non_hispanic_white_black_amin_asian_nhpi_pop_20,non_hispanic_black_asian_nhpi_pop_20,non_hispanic_white_black_asian_other_pop_20,non_hispanic_white_black_asian_pop_20,non_hispanic_black_amin_asian_nhpi_pop_20,non_hispanic_six_races_pop_20,non_hispanic_white_black_amin_asian_nhpi_other_pop_20,non_hispanic_black_amin_asian_nhpi_other_pop_20,non_hispanic_white_amin_asian_nhpi_other_pop_20,total_pop_20
13063,119,13491,599,601,205301,1081,2981,38,0,82,18,12,7054,0,5,0,7835,5,0,0,0,22,1,1800,268,457,25902,698,247214,26,255049,13,252,2,42546,715,37,0,5,1,5,0,0,15,56,2,0,0,0,0,0,13,0,921,0,0,1,89,76,0,0,9,4,1,13,3,90,0,0,0,0,0,297595
13065,7,22,0,30,1950,17,89,1,0,0,2,3,193,0,0,0,200,0,0,0,0,3,0,31,18,2,4256,7,6296,1,6496,0,0,0,253,57,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6749
13067,293,42533,1123,1289,200072,1455,8870,111,50,148,41,91,31802,1,26,0,34158,11,0,0,0,59,7,7382,6561,1045,369182,2175,620751,198,654909,31,5472,15,111240,5998,212,3,2,27,32,0,16,45,79,10,0,0,0,0,0,166,0,1554,1,0,2,122,244,0,4,30,33,22,16,10,384,0,6,6,0,0,766149
13069,14,299,7,62,11872,62,421,2,4,2,0,1,1144,0,4,0,1188,0,0,0,0,0,0,69,147,14,24158,32,36474,19,37662,0,65,0,5430,395,2,0,0,10,0,0,0,2,0,0,0,0,0,0,0,8,0,18,0,0,0,6,1,0,1,0,0,9,0,0,0,0,0,0,0,0,43092
13071,15,388,9,83,9995,30,411,0,3,6,0,0,971,0,0,0,1014,0,0,0,0,5,0,106,117,15,25588,37,36175,11,37189,2,66,0,8709,297,1,0,0,0,4,0,0,1,5,0,0,0,0,0,0,4,0,24,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,45898
13073,271,7102,254,354,27621,183,2171,52,14,54,1,77,8106,0,7,0,8796,0,0,0,0,11,1,897,845,193,99111,627,135356,138,144152,10,2044,9,11858,2182,27,0,4,6,6,0,0,11,29,3,0,0,0,0,2,82,1,158,0,0,1,31,47,0,0,10,15,4,0,4,164,2,3,3,0,0,156010
13075,4,100,7,29,4753,15,176,0,0,9,0,1,465,0,1,0,500,0,1,0,0,0,0,51,46,9,10658,25,15595,1,16095,0,42,0,1134,169,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,8,0,0,5,1,2,0,0,1,0,0,0,1,5,0,1,1,0,0,17229
13077,62,3329,114,298,25544,177,1331,17,0,27,2,14,5484,0,6,0,5782,0,0,0,0,4,0,669,745,136,99421,266,129323,49,135105,0,874,0,11053,2042,30,1,0,5,5,0,2,15,12,0,0,0,0,0,0,20,0,96,0,0,0,3,21,0,5,6,0,0,4,0,51,0,0,0,0,0,146158
13079,3,31,3,45,2267,6,111,2,1,4,0,2,420,0,1,0,459,0,0,0,0,0,0,44,62,14,8866,32,11256,6,11715,2,47,0,415,183,0,0,0,3,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,3,0,0,0,1,0,12130
13081,4,180,4,18,8821,43,230,0,0,5,0,4,495,0,0,0,515,0,0,0,0,0,0,64,35,7,9892,15,18979,0,19494,0,48,0,634,121,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,11,0,0,0,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,20128
13083,5,129,0,68,141,2,53,3,0,1,0,2,713,1,2,0,727,0,0,2,0,0,0,31,109,3,14786,13,15160,0,15887,0,42,0,364,495,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,16251
13085,14,235,4,63,200,4,132,2,0,21,0,2,1004,0,0,0,1043,0,0,0,0,0,0,94,151,0,23544,18,24150,3,25193,0,100,0,1605,599,4,0,1,0,1,0,0,1,8,0,0,0,0,0,0,6,0,5,0,0,8,0,1,0,0,0,2,0,4,0,2,3,0,0,0,0,26798
13087,16,183,13,64,12200,29,217,0,0,0,0,9,602,0,0,0,649,0,0,0,0,0,2,64,79,18,14280,46,26807,0,27456,0,31,0,1911,211,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0,0,1,2,0,13,0,0,0,0,0,29367
13089,202,50076,1142,1161,384438,2283,6807,143,39,188,31,65,24132,0,43,0,26420,7,0,1,0,79,6,4719,2814,1060,215895,2069,656491,146,682911,49,5005,22,81471,2593,340,2,0,31,61,0,9,67,92,1,2,1,0,0,0,62,1,2583,0,10,4,137,276,0,17,16,50,14,42,21,277,0,0,0,0,0,764382
13091,8,95,1,21,5847,10,205,0,0,4,0,1,396,0,2,0,427,0,0,0,0,0,0,42,30,4,12865,26,18878,0,19305,2,16,0,620,125,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,4,0,8,0,0,2,1,3,0,0,0,0,0,0,0,10,0,0,0,1,0,19925
13093,2,51,2,17,5540,9,58,0,1,0,0,4,165,0,0,0,176,0,0,0,0,0,0,14,22,1,4611,10,10235,0,10411,0,15,0,797,53,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11208
13095,20,647,39,128,59720,200,802,11,0,14,2,12,1830,0,4,0,1997,0,0,0,0,3,3,234,144,80,20631,144,81380,6,83377,2,147,0,2413,326,1,0,0,6,0,0,0,8,6,0,0,0,0,0,0,13,1,120,0,0,0,29,7,0,5,0,0,0,0,0,22,0,3,3,1,0,85790
13097,97,2313,219,335,68763,470,2076,11,19,33,1,10,5294,0,4,0,5745,0,0,0,0,17,0,1072,464,242,49877,414,122457,37,128202,9,332,4,16035,1249,6,0,11,4,6,0,0,7,15,0,0,0,0,0,0,12,0,365,4,0,0,43,50,0,0,0,2,0,3,0,57,0,0,0,0,0,144237
13099,0,47,0,31,5534,14,94,1,0,3,0,3,215,0,1,0,232,0,0,0,0,1,0,11,23,3,4813,11,10436,0,10668,4,9,0,186,73,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,10854
13101,0,8,3,37,147,0,16,3,0,5,0,0,71,0,0,0,84,1,1,0,0,0,3,2,3,3,2328,8,2522,0,2606,0,3,2,1091,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3697
13103,28,677,44,181,8747,68,786,0,0,17,0,9,3019,0,0,0,3171,0,0,0,0,5,0,269,365,53,48204,133,58106,36,61277,5,403,0,3492,1276,1,2,0,1,3,0,0,3,14,0,0,0,0,0,0,30,0,31,0,0,0,4,12,0,0,1,0,0,0,0,18,0,1,1,0,1,64769
13105,3,182,3,26,5253,15,171,7,4,8,3,0,477,0,0,0,514,0,0,0,0,0,0,53,59,11,12610,29,18127,3,18641,0,29,0,996,179,0,0,0,0,3,0,1,5,3,0,0,0,0,0,0,4,0,2,0,0,0,6,5,0,0,0,0,0,0,0,1,0,0,0,0,0,19637
13107,2,141,2,33,7246,24,204,0,0,1,0,0,487,0,3,0,498,0,0,0,0,0,0,40,37,3,13815,10,21277,7,21775,0,7,0,993,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22768
13109,11,78,0,15,3083,8,113,0,0,0,1,2,273,0,3,0,291,0,0,0,0,0,0,21,41,7,6038,17,9246,2,9537,0,10,0,1237,88,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10774
13111,3,113,1,85,85,7,75,4,0,0,0,0,858,0,0,0,874,0,0,0,0,5,0,55,140,9,23351,16,23692,0,24566,0,43,0,753,581,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,25319
13113,44,6362,170,212,29166,203,1181,21,1,16,7,16,4614,2,13,0,4938,0,0,0,1,9,0,848,637,167,68144,305,104776,62,109714,10,894,0,9480,1191,18,0,0,3,1,1,1,2,8,0,0,0,0,0,0,23,0,207,0,0,0,14,26,0,3,0,3,0,0,4,42,0,0,0,0,0,119194
13115,24,1287,29,191,13940,71,1099,9,3,5,0,4,3414,0,6,0,3558,3,0,0,0,10,0,371,376,81,67747,137,83560,28,87118,0,297,0,11466,1433,13,0,0,2,10,0,0,0,4,0,0,0,0,0,0,12,0,38,0,0,1,8,7,0,0,0,0,0,0,0,14,0,0,0,2,0,98584
13117,85,45117,153,456,10455,88,1380,39,21,29,11,49,8888,0,11,0,9282,0,0,0,0,47,4,1255,2065,121,159407,363,216775,77,226057,9,2253,4,25226,2533,93,0,0,2,7,0,0,0,20,5,0,0,0,0,0,29,0,139,0,0,0,6,32,0,2,2,0,0,0,3,78,1,0,0,0,0,251283
13119,3,261,0,34,1888,21,220,0,0,2,0,3,734,0,0,0,776,0,0,0,0,0,0,79,91,24,19262,37,21527,7,22303,1,34,0,1121,355,0,0,0,3,0,0,1,1,1,0,0,0,0,0,0,3,0,2,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,3,0,23424
13121,381,80632,1512,1558,448803,2810,10006,148,70,321,55,122,34754,3,25,0,37797,8,0,0,0,102,22,6444,5394,1305,404793,2688,942611,203,980408,42,7497,19,86302,4356,268,2,17,34,50,0,15,97,145,13,4,5,0,1,0,168,0,2161,1,4,9,215,272,0,13,48,41,13,39,30,460,0,0,0,7,0,1066710
13123,0,131,0,62,127,6,77,0,0,3,0,0,968,0,0,0,987,0,0,0,0,0,0,82,144,6,26365,16,26767,1,27754,2,65,0,3599,659,1,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,13,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,31353
13125,2,7,2,0,196,1,7,0,1,2,0,0,39,2,0,0,54,0,0,0,0,0,0,0,3,3,2573,13,2778,0,2832,0,0,0,52,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,2884
13127,92,1175,44,175,20469,118,817,9,0,22,2,11,2754,1,6,0,2913,0,0,0,0,0,1,352,378,61,52987,135,75250,22,78163,0,317,5,6336,938,3,0,1,2,0,0,4,0,9,0,0,0,0,0,0,6,0,83,0,0,8,18,7,1,2,0,1,0,6,3,31,0,0,0,0,0,84499
13129,15,719,17,122,2075,17,496,5,0,18,3,7,2126,5,5,0,2216,0,0,0,0,3,0,123,284,28,43317,72,46371,14,48587,0,119,2,8957,1127,3,0,0,0,0,0,0,9,2,0,0,0,0,0,0,13,0,31,0,0,4,5,7,0,0,0,0,0,0,3,7,0,0,0,0,0,57544
13131,6,110,6,89,7285,19,195,0,3,10,0,0,637,0,0,0,672,0,0,0,0,3,0,86,61,11,14715,23,22291,1,22963,0,30,0,3273,304,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,14,0,0,1,3,1,4,0,0,0,1,0,3,8,0,0,0,0,1,26236
13133,2,174,0,28,5783,19,153,0,0,8,0,2,433,0,0,0,455,0,0,0,0,0,0,58,76,6,11126,14,17171,7,17626,0,40,0,1289,134,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,3,6,0,0,0,0,18915
13135,387,126526,1832,1532,257124,1576,9543,205,62,223,31,128,31271,3,34,0,33961,7,0,0,0,171,6,6489,3305,1082,310583,2461,702641,196,736602,44,6270,47,220460,5252,422,12,19,5,36,0,6,59,106,5,1,3,0,0,0,156,0,2255,0,10,21,159,238,0,2,37,48,2,20,9,539,0,1,1,1,0,957062
13137,35,990,1,83,1722,19,287,0,0,17,3,5,1450,0,2,0,1518,0,0,4,0,0,2,109,197,13,34694,51,37633,17,39151,2,139,5,6880,773,2,0,0,0,2,0,1,3,9,0,0,0,1,1,0,0,0,7,0,0,3,0,6,0,0,3,0,0,2,0,9,0,0,0,0,0,46031
13139,85,4198,40,341,14256,87,1388,15,4,17,4,9,5881,3,7,0,6120,0,0,0,0,13,1,708,917,100,120418,221,140006,47,146126,0,753,0,57010,2506,18,0,0,1,2,0,1,0,16,1,0,0,0,0,0,38,0,87,0,5,0,6,22,0,0,2,0,1,0,0,27,0,0,0,0,0,203136
13141,1,37,0,23,6025,8,72,0,0,0,0,2,148,0,0,0,163,0,0,0,0,0,0,10,2,9,2413,15,8509,2,8672,2,10,0,63,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8735
