GEOID,non_hispanic_nhpi_pop_20,non_hispanic_asian_pop_20,non_hispanic_black_asian_pop_20,non_hispanic_amin_pop_20,non_hispanic_black_pop_20,non_hispanic_black_amin_pop_20,non_hispanic_white_black_pop_20,non_hispanic_asian_nhpi_pop_20,non_hispanic_white_asian_other_pop_20,non_hispanic_four_races_pop_20,non_hispanic_amin_other_pop_20,non_hispanic_white_asian_nhpi_pop_20,non_hispanic_two_races_pop_20,non_hispanic_asian_nhpi_other_pop_20,non_hispanic_white_amin_other_pop_20,non_hispanic_amin_nhpi_other_pop_20,non_hispanic_two_or_more_races_pop_20,non_hispanic_amin_nhpi_pop_20,non_hispanic_white_asian_nhpi_other_pop_20,non_hispanic_amin_asian_other_pop_20,non_hispanic_white_amin_nhpi_other_pop_20,non_hispanic_amin_asian_pop_20,non_hispanic_white_amin_nhpi_pop_20,non_hispanic_other_pop_20,non_hispanic_white_other_pop_20,non_hispanic_white_black_amin_pop_20,non_hispanic_white_pop_20,non_hispanic_three_races_pop_20,non_hispanic_one_race_pop_20,non_hispanic_white_nhpi_pop_20,non_hispanic_pop_20,non_hispanic_black_amin_asian_pop_20,non_hispanic_white_asian_pop_20,non_hispanic_nhpi_other_pop_20,hispanic_pop_20,non_hispanic_white_amin_pop_20,non_hispanic_asian_other_pop_20,non_hispanic_white_nhpi_other_pop_20,non_hispanic_white_black_asian_nhpi_pop_20,non_hispanic_five_races_pop_20,non_hispanic_black_amin_other_pop_20,non_hispanic_amin_asian_nhpi_other_pop_20,non_hispanic_black_amin_nhpi_pop_20,non_hispanic_white_black_amin_other_pop_20,non_hispanic_white_black_amin_asian_pop_20,non_hispanic_white_black_amin_nhpi_pop_20,non_hispanic_black_asian_nhpi_other_pop_20,non_hispanic_black_amin_asian_other_pop_20,non_hispanic_black_amin_nhpi_other_pop_20,non_hispanic_white_amin_asian_other_pop_20,non_hispanic_white_black_asian_nhpi_other_pop_20,non_hispanic_white_amin_asian_pop_20,non_hispanic_amin_asian_nhpi_pop_20,non_hispanic_black_other_pop_20,non_hispanic_white_black_amin_nhpi_other_pop_20,non_hispanic_black_nhpi_other_pop_20,non_hispanic_white_amin_asian_nhpi_pop_20,non_hispanic_black_nhpi_pop_20,non_hispanic_white_black_other_pop_20,non_hispanic_white_black_nhpi_other_pop_20,non_hispanic_white_black_amin_asian_other_pop_20,non_hispanic_white_black_nhpi_pop_20,non_hispanic_black_asian_other_pop_20,non_hispanic_white_black_amin_asian_nhpi_pop_20,non_hispanic_black_asian_nhpi_pop_20,non_hispanic_white_black_asian_other_pop_20,non_hispanic_white_black_asian_pop_20,non_hispanic_black_amin_asian_nhpi_pop_20,non_hispanic_six_races_pop_20,non_hispanic_white_black_amin_asian_nhpi_other_pop_20,non_hispanic_black_amin_asian_nhpi_other_pop_20,non_hispanic_white_amin_asian_nhpi_other_pop_20,total_pop_20
13001,1,123,1,33,3339,12,205,1,0,5,0,0,391,0,3,0,417,0,0,0,0,2,1,32,23,10,12674,21,16202,0,16619,0,26,0,1825,121,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,18444
13003,4,12,0,30,1208,11,37,0,3,2,0,0,144,1,1,0,167,0,0,0,0,0,0,16,17,0,4801,13,6071,4,6238,5,8,0,2048,67,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,8286
13005,4,40,4,4,1747,10,163,0,1,4,0,0,316,0,5,0,335,0,0,0,0,0,0,32,32,0,8103,15,9930,0,10265,0,8,0,875,96,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,4,0,1,0,0,0,0,0,11140
13007,0,18,7,1,1128,4,9,0,0,2,0,0,55,0,3,0,70,0,0,0,0,0,0,2,5,1,1514,11,2663,0,2733,2,7,0,143,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,1,1,1,0,0,0,0,0,0,0,0,1,2,2,0,0,2876
13009,27,599,13,64,18318,43,401,1,0,6,1,8,977,0,0,0,1027,0,0,0,0,0,0,193,105,18,22432,44,41633,4,42660,0,88,0,1139,296,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,2,0,23,0,0,0,2,2,0,0,8,0,0,0,0,6,0,0,0,0,0,43799
13011,8,189,0,54,394,0,150,4,0,6,0,0,599,0,0,0,620,0,0,0,0,1,0,28,82,8,15578,15,16251,0,16871,0,38,0,1164,316,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,2,0,6,0,0,0,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,18035
13013,17,3233,52,130,10141,58,943,20,0,11,5,14,3216,0,1,0,3383,1,0,0,0,11,1,459,390,97,55582,153,69562,33,72945,1,351,4,10560,1272,4,0,0,3,0,0,0,7,2,0,0,0,0,0,0,3,0,60,0,1,1,12,4,0,0,0,4,3,9,1,18,0,0,0,0,0,83505
13015,40,1169,51,254,11309,78,1279,17,5,14,4,0,4552,0,8,0,4753,0,0,0,0,0,8,466,504,97,80159,181,93397,38,98150,0,321,0,10751,2195,15,0,0,4,0,0,0,9,2,0,0,0,0,0,0,18,0,45,0,0,3,5,21,0,4,5,0,0,2,0,17,0,2,2,0,0,108901
13017,0,116,1,57,6222,27,200,0,0,0,0,0,452,0,2,0,478,0,0,0,0,0,1,48,28,8,9219,26,15662,0,16140,5,25,2,1054,163,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,17194
13019,10,80,0,22,1934,19,164,4,2,3,0,8,575,0,0,0,611,0,0,0,0,0,4,62,65,16,14396,33,16504,0,17115,0,41,0,1045,277,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,18160
13021,42,3209,154,281,85234,370,1670,20,8,30,8,13,4160,0,1,0,4454,0,0,0,0,11,0,602,349,138,56787,258,146155,33,150609,3,397,0,6737,889,29,1,1,6,9,0,0,16,8,2,0,0,0,0,0,14,0,212,0,0,0,18,19,0,0,2,10,2,3,3,37,0,0,0,4,0,157346
13023,8,153,1,11,2788,2,84,0,0,9,0,1,226,0,6,0,257,0,0,0,0,0,3,30,24,7,8867,22,11857,0,12114,0,28,1,469,79,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,12583
13025,3,42,5,45,562,7,120,1,0,4,0,0,672,0,0,0,692,0,0,0,0,0,0,34,99,1,16317,15,17003,0,17695,0,31,0,326,398,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,8,4,0,0,1,6,0,0,0,0,0,0,4,0,2,2,0,0,0,0,18021
13027,6,67,5,24,5684,16,167,0,0,3,0,0,420,0,0,0,457,1,0,0,0,0,3,42,39,13,9066,27,14889,0,15346,0,19,0,955,166,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,2,7,0,0,3,0,0,0,5,0,0,2,0,0,4,0,0,0,0,0,16301
13029,53,1032,34,102,6330,36,564,16,2,9,0,36,2291,0,6,0,2447,0,0,0,0,4,0,184,294,44,31321,147,39022,55,41469,2,463,0,3269,777,8,0,0,0,0,0,0,0,7,1,0,0,0,0,0,25,3,39,0,0,0,1,3,0,0,5,0,0,2,1,19,0,0,0,0,0,44738
13031,62,1283,39,159,22775,100,859,17,1,14,0,0,2545,0,0,0,2679,0,0,0,0,15,11,249,224,65,49712,115,74240,44,76919,2,282,0,4180,844,54,0,0,5,0,0,0,6,1,0,0,0,0,0,0,16,0,60,0,0,7,7,5,0,5,0,0,0,1,0,14,0,0,0,0,0,81099
13033,10,97,3,45,10957,33,287,1,1,10,0,0,663,0,0,0,703,1,0,0,0,3,0,66,57,15,11941,30,23116,3,23819,5,43,2,777,211,3,0,0,0,0,0,0,2,5,2,0,0,0,0,0,2,0,12,0,1,0,4,0,0,0,1,0,0,4,1,1,0,0,0,0,0,24596
13035,9,102,4,39,6808,37,245,0,0,4,0,2,836,0,0,0,881,0,0,0,0,7,0,164,88,22,16628,40,23750,6,24631,0,61,0,803,375,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,12,0,0,0,0,6,1,0,1,0,1,1,0,7,0,0,0,0,0,25434
13037,0,19,6,8,3569,5,22,0,1,0,0,2,54,0,0,0,61,0,0,0,0,0,0,1,1,2,1766,7,5363,0,5424,0,0,0,149,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5573
13039,66,845,56,185,9497,73,845,21,0,12,0,17,2801,0,0,0,2989,0,0,0,0,0,5,325,314,74,37203,166,48121,46,51110,2,408,1,3658,958,10,1,0,8,6,0,0,2,10,0,0,0,0,0,0,21,0,57,0,0,0,12,6,0,8,5,0,0,9,0,20,0,2,2,0,0,54768
13043,3,63,0,19,2681,5,71,0,2,6,0,0,218,0,3,0,244,2,0,0,0,0,2,26,19,7,6567,20,9359,0,9603,0,5,0,1378,107,2,0,0,0,2,0,0,4,0,1,1,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10981
13045,21,1104,50,271,21781,101,1777,9,0,22,4,4,4911,0,8,0,5155,0,0,0,0,0,0,505,606,131,80725,222,104407,34,109562,0,374,1,9586,1862,5,4,0,0,0,0,0,0,7,0,0,0,0,6,0,15,0,83,0,0,9,5,20,0,0,4,3,0,8,0,25,0,0,0,0,0,119148
13047,84,1025,0,181,1808,18,636,8,2,9,0,11,2934,0,9,0,3020,1,0,0,0,7,11,133,382,30,59280,75,62511,25,65531,0,216,0,2341,1627,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,14,0,0,7,0,0,0,1,8,0,0,0,0,2,0,0,0,1,0,67872
13049,2,109,5,40,2386,18,98,0,0,6,4,3,342,0,5,0,383,0,0,0,0,1,0,30,54,7,7532,35,10099,4,10482,0,15,0,2036,143,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,14,0,0,0,0,0,12518
13051,408,10620,269,619,108011,585,3229,65,12,57,8,55,10154,0,5,0,10963,1,0,0,0,13,2,1447,1260,363,139433,744,260538,128,271501,10,1752,1,23790,2420,26,0,7,8,20,1,0,11,24,2,7,0,0,0,0,75,1,352,0,2,0,45,48,0,1,20,0,7,10,0,121,5,0,0,0,0,295291
13053,104,304,13,35,1463,20,137,19,0,1,0,24,531,0,0,0,591,0,0,0,0,1,0,55,34,23,5403,57,7364,11,7955,1,129,2,1610,111,1,0,0,2,0,0,4,0,0,0,1,0,0,0,2,5,0,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9565
13055,0,102,4,45,2391,7,389,0,0,10,0,0,924,0,0,0,970,0,0,0,0,0,7,81,97,15,20079,33,22698,0,23668,0,16,0,1297,406,0,0,0,3,0,0,4,5,5,0,0,0,0,0,0,0,0,4,0,0,0,1,5,0,1,0,2,2,0,0,0,0,0,0,0,0,24965
13057,100,5429,151,502,17326,183,2295,33,17,21,8,47,11210,0,19,0,11741,3,0,0,0,8,6,1544,2124,192,197867,504,222768,102,234509,1,1921,1,32111,4193,20,0,5,6,4,0,0,3,11,1,0,1,0,0,0,113,0,164,0,1,0,4,19,0,0,5,0,1,0,0,80,0,0,0,1,4,266620
13059,66,4920,61,297,31367,199,1226,16,2,14,3,12,4312,0,8,2,4504,0,0,0,0,5,5,980,571,78,72201,171,109831,59,114335,1,1007,8,14336,1025,21,0,0,3,2,0,0,0,6,0,0,2,0,0,0,4,0,104,0,0,6,7,9,0,3,0,0,0,0,0,48,0,4,4,0,0,128671
13061,0,6,0,1,1593,4,18,3,0,4,0,0,50,0,0,0,57,0,0,0,0,3,0,7,0,3,1143,3,2750,1,2807,0,5,1,41,13,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2848
