GEOID,total_pop_moe_acs5_23,total_vap_moe_acs5_23,white_vap_moe_acs5_23,black_vap_moe_acs5_23,amin_vap_moe_acs5_23,asian_vap_moe_acs5_23,nhpi_vap_moe_acs5_23,other_vap_moe_acs5_23,two_or_more_races_vap_moe_acs5_23,non_hispanic_white_vap_moe_acs5_23,hispanic_vap_moe_acs5_23,total_cvap_moe_acs5_23,white_cvap_moe_acs5_23,black_cvap_moe_acs5_23,amin_cvap_moe_acs5_23,asian_cvap_moe_acs5_23,nhpi_cvap_moe_acs5_23,other_cvap_moe_acs5_23,two_or_more_races_cvap_moe_acs5_23,non_hispanic_white_cvap_moe_acs5_23,hispanic_cvap_moe_acs5_23
13001,555555555.0,70.71067811865476,120.50726119201282,181.72781845386248,97.14422267947796,77.87810988975015,32.526911934581186,159.15401345866212,209.3800372528384,41.182520563948,70.71067811865476,220.11360703055138,107.11675872616759,204.98292611825016,59.85816569190874,84.12490713219242,46.0,117.54998936622665,164.0701069665038,82.63171304045439,141.6368596093545
13003,555555555.0,121.62236636408618,156.4736399525492,90.68627239003708,28.284271247461902,28.284271247461902,28.284271247461902,169.61426826773743,174.77127910500627,28.284271247461902,82.02438661763951,201.21381662301422,105.94338110519222,94.99473669630333,40.0,40.0,40.0,150.03332963045244,75.53145040312677,40.0,188.1143269397629
13005,555555555.0,79.19595949289332,65.85590330410783,124.32618388738553,28.0178514522438,94.83142938920619,32.526911934581186,100.70253224224304,156.20499351813308,32.526911934581186,79.19595949289332,149.20790863757858,73.45066371381542,129.10073586157438,42.930175867331364,46.0,46.0,80.87026647662292,131.8066766138954,46.0,116.20240961357041
13007,555555555.0,198.31288409984865,180.31361568112376,181.23189564753773,43.32435804486894,132.13629327327143,19.79898987322333,45.221676218380054,62.433965115151864,180.31361568112376,33.52610922848042,201.04228410958726,181.39735389470266,182.31017525086196,28.0,128.7866452703851,28.0,28.0,57.14017850864661,181.39735389470266,22.80350850198276
13009,555555555.0,114.33722053644648,111.25196627475849,182.80043763623763,26.419689627245813,79.2464510246358,121.75385004179539,108.70602559196064,188.1754500459611,45.967379738244816,63.63961030678928,275.9112176045041,163.00613485387598,239.16103361542824,49.9799959983992,94.44045743218317,128.9340916902896,107.87492757819122,183.57015007892758,130.85106037017812,134.82581355215328
13011,555555555.0,88.75246475450696,54.20332093147061,124.82387592123551,25.495097567963924,60.207972893961475,32.526911934581186,133.25539388707685,173.80736463107655,31.400636936215164,36.069377593742864,210.41150158677164,123.03657992645927,126.78327965469263,41.32795663954365,87.7040477971228,46.0,97.65756499114649,154.7901805671148,120.17487258158421,138.44132331063582
13013,555555555.0,52.32590180780452,450.5873944086763,229.31419493786248,127.34991166074674,107.48953437428223,48.08326112068523,417.9485614283174,472.36638322387,204.38444167793205,785674200.532712,669.8089279787184,507.16269578903376,433.62541438435085,88.40248865275231,259.2392717163046,68.0,314.2403538694545,452.8277818332263,382.1570357850291,452.5284521441718
13015,555555555.0,111.03603018840326,755.6354941372196,318.47291878588356,118.1185844818672,131.82184947875675,24.08318915758459,537.5574387914281,630.2420170061656,516.2179772150521,785674200.532712,770.3830216197655,772.9126729456569,456.2597944154185,56.929781309961136,141.66862743741115,42.035699113967404,578.6112684696004,650.0661504800877,621.0748747131862,531.2475882298196
13017,555555555.0,142.21462653327893,155.79473675320358,82.49242389456137,42.44997055358225,73.38937252763509,32.526911934581186,105.152270541344,113.99122773266372,32.526911934581186,126.57408897558773,217.76592938290415,166.05420801653898,100.2845950283492,53.47896782848375,53.50700888668698,46.0,87.92610533851708,91.60240171523888,96.17692030835673,148.36441621898427
13019,555555555.0,77.52418977325722,113.13708498984761,64.32728814430156,32.526911934581186,34.438350715445125,25.495097567963924,92.59049627256569,141.40014144264495,71.8679344353238,33.94112549695428,132.32535660258014,128.3666623387864,72.0832851637604,46.0,50.309044912421065,41.32795663954365,88.45903006477066,145.09307357692853,88.09653795694811,96.99484522385713
