county_name,precinct_name,election_1,election_2,assignment
Aitkin,Aitkin,358,552,0
Aitkin,Aitkin Twp,154,356,0
Aitkin,Ball Bluff Twp,57,96,0
Aitkin,Balsam Twp,8,9,0
Aitkin,Beaver Twp,19,16,0
Aitkin,Clark Twp,30,47,0
Aitkin,Cornish Twp,9,11,0
Aitkin,Unorg 47-24 (Davidson Unorg),9,15,0
Aitkin,Farm Island Twp,267,432,0
Aitkin,Fleming Twp,78,144,0
Aitkin,Glen Twp,105,174,0
Aitkin,Haugen Twp,38,61,0
Aitkin,Hazelton Twp,189,329,0
Aitkin,Hill City,97,204,0
Aitkin,Hill Lake Twp,78,126,0
Aitkin,Idun Twp,27,79,0
Aitkin,Jevne Twp,43,121,0
Aitkin,Unorg 45-24 (Jewett Unorg),4,18,0
Aitkin,Kimberly Twp,44,71,0
Aitkin,Lakeside Twp,87,175,0
Aitkin,Lee Twp,7,22,0
Aitkin,Libby Twp P-East,5,15,0
Aitkin,Libby Twp P-West,8,6,0
Aitkin,Logan Twp,36,72,0
Aitkin,McGrath,4,16,0
Aitkin,McGregor,62,74,0
Aitkin,McGregor Twp,10,36,0
Aitkin,Macville Twp,37,57,0
Aitkin,Millward Twp,13,12,0
Aitkin,Malmo Twp,77,127,0
Aitkin,Morrison Twp,25,62,0
Aitkin,Nordland Twp,230,406,0
Aitkin,Palisade,31,40,0
Aitkin,Pliny Twp,9,37,0
Aitkin,Rice River Twp,20,52,0
Aitkin,Salo Twp,24,27,0
Aitkin,Seavey Twp,4,31,0
Aitkin,Shamrock Twp,291,402,0
Aitkin,Spalding Twp,43,52,0
Aitkin,Spencer Twp,107,203,0
Aitkin,Tamarack,16,13,0
Aitkin,Turner Twp,39,60,0
Aitkin,Verdon Twp,9,18,0
Aitkin,Wagner Twp,55,120,0
Aitkin,Waukenabo Twp,65,126,0
Aitkin,Wealthwood Twp,82,121,0
Aitkin,White Pine Twp,5,11,0
Aitkin,Williams Twp,19,44,0
Aitkin,Workman Twp,37,76,0
Aitkin,Northeast Aitkin Unorg,5,21,0
Aitkin,Unorg 48-27 (Blind Lake Unorg),8,9,0
Aitkin,Northwest Aitkin Unorg P-2,30,53,0
Aitkin,Unorg 51-27 (Lemay Unorg),12,21,0
Aitkin,Northwest Aitkin Unorg P-1,8,38,0
Anoka,Andover P-1,565,1288,0
Anoka,Andover P-2,623,1069,0
Anoka,Andover P-3,732,1148,0
Anoka,Andover P-4,623,858,0
Anoka,Andover P-5,757,1246,0
Anoka,Andover P-6,441,1015,0
Anoka,Andover P-7,495,859,0
Anoka,Andover P-8,592,997,0
Anoka,Andover P-9,623,964,0
Anoka,Andover P-10,744,1143,0
Anoka,Anoka P-1,402,348,0
Anoka,Anoka P-2,516,506,0
Anoka,Anoka P-3,470,666,0
Anoka,Anoka P-4,482,491,0
Anoka,Anoka P-5,417,482,0
Anoka,Anoka P-6,535,475,0
Anoka,Anoka P-7,433,558,0
Anoka,Anoka P-8,422,549,0
Anoka,Bethel P-1,50,182,0
Anoka,Blaine W-1 P-1,652,520,0
Anoka,Blaine W-1 P-2,696,619,0
Anoka,Blaine W-1 P-3,511,532,0
Anoka,Blaine W-1 P-4,339,427,0
Anoka,Blaine W-1 P-5,770,870,0
Anoka,Blaine W-1 P-6,439,541,0
Anoka,Blaine W-1 P-7,462,485,0
Anoka,Blaine W-1 P-8,447,594,0
Anoka,Blaine W-2 P-1,523,527,0
Anoka,Blaine W-2 P-2A,527,495,0
Anoka,Blaine W-2 P-2B,650,597,0
Anoka,Blaine W-2 P-3,598,513,0
Anoka,Blaine W-2 P-4A,700,672,0
Anoka,Blaine W-2 P-4B,574,617,0
Anoka,Blaine W-2 P-5,447,556,0
Anoka,Blaine W-2 P-6,917,1196,0
Anoka,Blaine W-3 P-1,612,605,0
Anoka,Blaine W-3 P-2,577,704,0
Anoka,Blaine W-3 P-3,636,632,0
Anoka,Blaine W-3 P-4,661,846,0
Anoka,Blaine W-3 P-5,593,686,0
Anoka,Blaine W-3 P-6,1105,1234,0
Anoka,Blaine W-3 P-7,1090,1120,0
Anoka,Blaine W-3 P-8,323,407,0
Anoka,Centerville P-1,829,1241,0
Anoka,Circle Pines P-1,444,565,0
Anoka,Circle Pines P-2,984,709,0
Anoka,Columbia Heights P-1,1028,354,0
Anoka,Columbia Heights P-2,835,312,0
Anoka,Columbia Heights P-3,801,309,0
Anoka,Columbia Heights P-4,798,322,0
Anoka,Columbia Heights P-5,757,346,0
Anoka,Columbia Heights P-6,613,337,0
Anoka,Columbia Heights P-7,720,350,0
Anoka,Columbia Heights P-8,675,353,0
Anoka,Columbus P-1,805,1537,0
Anoka,Coon Rapids W-1 P-1,950,1119,0
Anoka,Coon Rapids W-1 P-2,818,1002,0
Anoka,Coon Rapids W-1 P-3,620,851,0
Anoka,Coon Rapids W-1 P-4,473,500,0
Anoka,Coon Rapids W-2 P-1,759,801,0
Anoka,Coon Rapids W-2 P-2,465,566,0
Anoka,Coon Rapids W-2 P-3,746,826,0
Anoka,Coon Rapids W-2 P-4,446,553,0
Anoka,Coon Rapids W-2 P-5,650,572,0
Anoka,Coon Rapids W-3 P-1,621,712,0
Anoka,Coon Rapids W-3 P-2,620,681,0
Anoka,Coon Rapids W-3 P-3,675,620,0
Anoka,Coon Rapids W-3 P-4,660,617,0
Anoka,Coon Rapids W-4 P-1,706,765,0
Anoka,Coon Rapids W-4 P-2,667,730,0
