county_name,precinct_name,election_1,election_2,assignment
Anoka,Coon Rapids W-4 P-3,668,599,0
Anoka,Coon Rapids W-4 P-4,857,981,0
Anoka,Coon Rapids W-5 P-1,635,735,0
Anoka,Coon Rapids W-5 P-2,733,856,0
Anoka,Coon Rapids W-5 P-3,459,453,0
Anoka,Coon Rapids W-5 P-4,347,310,0
Anoka,Coon Rapids W-5 P-5,662,578,0
Anoka,East Bethel P-1,555,1469,0
Anoka,East Bethel P-2,600,1394,0
Anoka,East Bethel P-3,568,1258,0
Anoka,Fridley W-1 P-1,637,427,0
Anoka,Fridley W-1 P-2,596,440,0
Anoka,Fridley W-1 P-3,741,388,0
Anoka,Fridley W-1 P-4,567,319,0
Anoka,Fridley W-2 P-1,517,340,0
Anoka,Fridley W-2 P-2,534,287,0
Anoka,Fridley W-2 P-3,753,499,0
Anoka,Fridley W-2 P-4,752,477,0
Anoka,Fridley W-3 P-1,620,438,0
Anoka,Fridley W-3 P-2,784,562,0
Anoka,Fridley W-3 P-3,487,240,0
Anoka,Fridley W-3 P-4,505,311,0
Anoka,Ham Lake P-1,391,767,0
Anoka,Ham Lake P-2,554,1144,0
Anoka,Ham Lake P-3A,485,1121,0
Anoka,Ham Lake P-4A,477,1056,0
Anoka,Ham Lake P-5,384,849,0
Anoka,Ham Lake P-6A,442,929,0
Anoka,Hilltop P-1,162,54,0
Anoka,Lexington P-1,359,498,0
Anoka,Lino Lakes P-1,429,650,0
Anoka,Lino Lakes P-2,720,952,0
Anoka,Lino Lakes P-3,568,692,0
Anoka,Lino Lakes P-4,867,1031,0
Anoka,Lino Lakes P-5,492,558,0
Anoka,Lino Lakes P-6,674,1020,0
Anoka,Lino Lakes P-7,800,972,0
Anoka,Linwood Twp P-1,545,1257,0
Anoka,Linwood Twp P-2,372,677,0
Anoka,Nowthen P-1A,418,1187,0
Anoka,Nowthen P-2A,213,687,0
Anoka,Oak Grove P-1,463,945,0
Anoka,Oak Grove P-2,334,933,0
Anoka,Oak Grove P-3,318,930,0
Anoka,Oak Grove P-4,214,545,0
Anoka,Ramsey W-1 P-1,932,1443,0
Anoka,Ramsey W-1 P-2,231,490,0
Anoka,Ramsey W-2 P-1,378,875,0
Anoka,Ramsey W-2 P-2,731,1487,0
Anoka,Ramsey W-3 P-1,861,1262,0
Anoka,Ramsey W-3 P-2,352,571,0
Anoka,Ramsey W-4 P-1,667,938,0
Anoka,Ramsey W-4 P-2,609,965,0
Anoka,Saint Francis P-1,492,1396,0
Anoka,Saint Francis P-2,423,1119,0
Anoka,Spring Lake Park P-1A,409,393,0
Anoka,Spring Lake Park P-2,494,425,0
Anoka,Spring Lake Park P-3,727,671,0
Becker,Atlanta Twp,12,46,0
Becker,Audubon,43,183,0
Becker,Audubon Twp,100,229,0
Becker,Burlington Twp,199,602,0
Becker,Callaway,45,44,0
Becker,Callaway Twp,39,70,0
Becker,Carsonville Twp,39,70,0
Becker,Cormorant Twp,232,425,0
Becker,Cuba Twp,37,101,0
Becker,Detroit Twp P-1,212,427,0
Becker,Detroit Twp P-2,100,310,0
Becker,Detroit Twp P-3,0,0,0
Becker,Detroit Lakes W-1 P-1,412,796,0
Becker,Detroit Lakes W-2 P-1,595,785,0
Becker,Detroit Lakes W-3 P-1,574,1086,0
Becker,Eagle View Twp,40,34,0
Becker,Erie Twp,264,708,0
Becker,Evergreen Twp,29,97,0
Becker,Forest Twp,29,39,0
Becker,Frazee,129,364,0
Becker,Green Valley Twp,43,126,0
Becker,Hamden Twp,30,81,0
Becker,Height of Land Twp,96,257,0
Becker,Holmesville Twp,82,212,0
Becker,Lake Eunice Twp,312,591,0
Becker,Lake Park,131,190,0
Becker,Lake Park Twp,91,167,0
Becker,Lake View Twp,318,644,0
Becker,Maple Grove Twp,100,91,0
Becker,Ogema,20,24,0
Becker,Osage Twp,91,333,0
Becker,Pine Point Twp,41,30,0
Becker,Riceville Twp,13,32,0
Becker,Richwood Twp,106,222,0
Becker,Round Lake Twp,42,38,0
Becker,Runeberg Twp,44,194,0
Becker,Savannah Twp,36,62,0
Becker,Shell Lake Twp,52,117,0
Becker,Silver Leaf Twp,50,178,0
Becker,Spring Creek Twp,9,29,0
Becker,Spruce Grove Twp,36,135,0
Becker,Sugar Bush Twp,115,167,0
Becker,Toad Lake Twp,64,195,0
Becker,Two Inlets Twp,38,115,0
Becker,Walworth Twp,24,21,0
Becker,White Earth Twp,70,71,0
Becker,Wolf Lake,7,29,0
Becker,Wolf Lake Twp,17,113,0
Beltrami,Alaska Twp,57,50,0
Beltrami,Battle Twp,3,9,0
Beltrami,Bemidji Twp,520,834,0
Beltrami,Bemidji W-1,523,502,0
Beltrami,Bemidji W-2,493,466,0
Beltrami,Bemidji W-3 P-1,489,633,0
Beltrami,Bemidji W-3 P-2,77,111,0
Beltrami,Bemidji W-4,553,524,0
Beltrami,Bemidji W-5,658,676,0
Beltrami,Benville Twp,9,33,0
Beltrami,Birch Twp,23,34,0
Beltrami,Blackduck,69,194,0
Beltrami,Buzzle Twp,50,120,0
Beltrami,Cormant Twp,15,61,0
Beltrami,Durand Twp,27,71,0
Beltrami,Eckles Twp,213,469,0
Beltrami,Frohn Twp,328,466,0
Beltrami,Funkley,3,4,0
Beltrami,Grant Valley Twp,366,628,0
Beltrami,Hagali Twp,47,136,0
Beltrami,Hamre Twp,2,7,0
Beltrami,Hines Twp,87,279,0
Beltrami,Hornet Twp,24,78,0
Beltrami,Jones Twp,24,96,0
Beltrami,Kelliher,39,81,0
Beltrami,Kelliher Twp,18,40,0
Beltrami,Lammers Twp,63,200,0
Beltrami,Langor Twp,11,95,0
Beltrami,Lee Twp,4,16,0
Beltrami,Liberty Twp,118,237,0
Beltrami,Maple Ridge Twp,19,38,0
Beltrami,Minnie Twp,4,8,0
Beltrami,Moose Lake Twp,38,71,0
Beltrami,Nebish Twp,61,84,0
Beltrami,Northern Twp P-1,757,1314,0
Beltrami,Northern Twp P-2,0,0,0
Beltrami,O'Brien Twp,0,27,0
Beltrami,Ponemah Prec,289,2,0
Beltrami,Port Hope Twp,124,252,0
Beltrami,Quiring Twp,9,23,0
Beltrami,Red Lake Agency Prec,528,14,0
Beltrami,Redby Prec,407,12,0
Beltrami,Little Rock Prec,293,18,0
Beltrami,Roosevelt Twp,51,78,0
Beltrami,Shooks Twp,4,90,0
Beltrami,Shotley Twp,8,17,0
Beltrami,Solway,13,24,0
Beltrami,Spruce Grove Twp,13,20,0
Beltrami,Steenerson Twp,5,17,0
Beltrami,Sugar Bush Twp,42,42,0
Beltrami,Summit Twp,19,137,0
Beltrami,Taylor Twp,11,43,0
Beltrami,Ten Lake Twp,273,139,0
Beltrami,Tenstrike,25,65,0
Beltrami,Turtle Lake Twp,301,478,0
Beltrami,Turtle River,29,20,0
Beltrami,Turtle River Twp,319,404,0
Beltrami,Unorg Dist 1,6,10,0
Beltrami,Unorg Dist 2,5,10,0
Beltrami,Unorg Dist 3,40,49,0
Beltrami,Waskish Twp,24,39,0
Beltrami,Wilton,47,59,0
Beltrami,Woodrow Twp,11,29,0
Benton,Alberta Twp,68,329,0
Benton,Foley,289,814,0
Benton,Gilman,20,77,0
Benton,Gilmanton Twp,94,375,0
Benton,Glendorado Twp,76,352,0
Benton,Graham Twp,50,280,0
Benton,Granite Ledge Twp,58,343,0
Benton,Langola Twp,104,473,0
Benton,Mayhew Lake Twp,89,384,0
Benton,Maywood Twp,118,378,0
Benton,Minden Twp P-1,174,742,0
Benton,Minden Twp P-2,2,2,0
Benton,Rice,191,656,0
Benton,Royalton,1,0,0
Benton,Saint Cloud W-2 P-1,407,476,0
Benton,Saint Cloud W-2 P-3,439,423,0
Benton,Saint Cloud W-2 P-4,333,251,0
Benton,Saint George Twp,116,509,0
Benton,Sartell P-2,360,607,0
Benton,Sauk Rapids P-1,360,675,0
Benton,Sauk Rapids P-2,369,671,0
Benton,Sauk Rapids P-3,482,944,0
Benton,Sauk Rapids P-4,433,647,0
Benton,Sauk Rapids P-5,489,999,0
Benton,Sauk Rapids P-6,0,0,0
Benton,Sauk Rapids Twp,88,237,0
Benton,Watab Twp,430,1228,0
Big Stone,Akron Twp,45,42,0
Big Stone,Almond Twp,28,32,0
Big Stone,Artichoke Twp,27,22,0
Big Stone,Barry,7,3,0
Big Stone,Big Stone Twp,50,126,0
Big Stone,Browns Valley Twp,32,34,0
Big Stone,Beardsley,37,49,0
Big Stone,Clinton,75,99,0
Big Stone,Correll,6,10,0
Big Stone,Foster Twp,32,45,0
Big Stone,Graceville,117,195,0
Big Stone,Graceville Twp,14,34,0
Big Stone,Johnson,5,12,0
Big Stone,Malta Twp,9,24,0
Big Stone,Moonshine Twp,13,27,0
Big Stone,Odessa,17,29,0
Big Stone,Odessa Twp,13,57,0
Big Stone,Ortonville P-1,225,391,0
Big Stone,Ortonville P-2,100,226,0
Big Stone,Ortonville Twp,15,33,0
Big Stone,Otrey Twp,16,31,0
Big Stone,Prior Twp,33,67,0
Big Stone,Toqua Twp,5,20,0
Blue Earth,Amboy,65,146,0
Blue Earth,Beauford Twp,42,144,0
Blue Earth,Butternut Valley Twp,58,102,0
Blue Earth,Cambria Twp,59,95,0
Blue Earth,Ceresco Twp,21,72,0
Blue Earth,Danville Twp,48,86,0
Blue Earth,Decoria Twp,198,439,0
Blue Earth,Eagle Lake,544,826,0
Blue Earth,Garden City Twp,147,250,0
Blue Earth,Good Thunder,86,164,0
Blue Earth,Jamestown Twp,134,244,0
Blue Earth,Judson Twp,102,168,0
Blue Earth,Lake Crystal,527,608,0
Blue Earth,Le Ray Twp,144,252,0
Blue Earth,Lime Twp,175,359,0
Blue Earth,Lincoln Twp,26,75,0
Blue Earth,Lyra Twp,49,135,0
Blue Earth,McPherson Twp,71,161,0
Blue Earth,Madison Lake,223,360,0
Blue Earth,Mankato W-5 P-1,306,219,0
Blue Earth,Mankato W-5 P-2,109,74,0
Blue Earth,Mankato W-5 P-3,397,327,0
Blue Earth,Mankato W-5 P-4,245,94,0
Blue Earth,Mankato W-5 P-5,341,262,0
Blue Earth,Mankato W-5 P-6,505,433,0
Blue Earth,Mankato W-3 P-7,481,325,0
Blue Earth,Mankato W-3 P-8,578,545,0
Blue Earth,Mankato W-3 P-9,864,797,0
Blue Earth,Mankato W-4 P-10,736,367,0
Blue Earth,Mankato W-4 P-10A,690,490,0
Blue Earth,Mankato W-1 P-11,797,655,0
Blue Earth,Mankato W-1 P-12,324,311,0
Blue Earth,Mankato W-4 P-13,414,361,0
Blue Earth,Mankato W-1 P-14,843,767,0
Blue Earth,Mankato W-2 P-15,1556,1114,0
Blue Earth,Mankato W-2 P-16,615,793,0
Blue Earth,Mankato W-2 P-17,121,122,0
Blue Earth,Mankato Twp P-1,43,83,0
Blue Earth,Mankato Twp P-2,375,487,0
Blue Earth,Mapleton,306,489,0
Blue Earth,Mapleton Twp,50,98,0
Blue Earth,Medo Twp,39,125,0
Blue Earth,Minnesota Lake,4,3,0
Blue Earth,North Mankato,0,1,0
Blue Earth,Pemberton,29,69,0
Blue Earth,Pleasant Mound Twp,12,91,0
Blue Earth,Rapidan Twp,246,412,0
Blue Earth,Saint Clair,133,229,0
Blue Earth,Shelby Twp,50,98,0
Blue Earth,Skyline,107,76,0
Blue Earth,South Bend Twp,275,423,0
Blue Earth,Sterling Twp,46,87,0
Blue Earth,Vernon Center,37,83,0
Blue Earth,Vernon Center Twp,35,71,0
Brown,Albin Twp,30,133,0
Brown,Bashaw Twp,19,100,0
Brown,Burnstown Twp,16,133,0
Brown,Cobden,3,11,0
Brown,Comfrey,39,129,0
Brown,Cottonwood Twp,101,347,0
Brown,Eden Twp,22,117,0
Brown,Evan,13,20,0
Brown,Hanska,60,91,0
Brown,Home Twp,33,250,0
Brown,Lake Hanska Twp,54,98,0
Brown,Leavenworth Twp,23,144,0
Brown,Linden Twp,46,89,0
Brown,Milford Twp,96,313,0
Brown,Mulligan Twp,21,68,0
Brown,New Ulm W-1 P-1,246,428,0
Brown,New Ulm W-1 P-2,341,525,0
Brown,New Ulm W-2 P-1,296,463,0
Brown,New Ulm W-2 P-2,246,433,0
Brown,New Ulm W-3 P-1,431,670,0
Brown,New Ulm W-3 P-2,265,474,0
Brown,New Ulm W-4 P-1,303,586,0
Brown,New Ulm W-4 P-2,317,587,0
Brown,North Star Twp,11,125,0
Brown,Prairieville Twp,11,143,0
Brown,Sigel Twp,50,153,0
Brown,Sleepy Eye W-1,194,453,0
Brown,Sleepy Eye W-2,197,700,0
Brown,Springfield W-1,131,328,0
Brown,Springfield W-2,125,352,0
Brown,Stark Twp,11,164,0
Brown,Stately Twp,12,81,0
Carlton,Atkinson Twp,92,115,0
Carlton,Automba Twp,33,45,0
Carlton,Barnum,91,123,0
Carlton,Barnum Twp,288,311,0
Carlton,Beseman Twp,23,32,0
Carlton,Blackhoof Twp,240,256,0
Carlton,Carlton,273,182,0
Carlton,Cloquet W-1,649,608,0
Carlton,Cloquet W-2,515,427,0
Carlton,Cloquet W-3,555,459,0
Carlton,Cloquet W-4,563,488,0
Carlton,Cloquet W-5 P-1,552,476,0
Carlton,Cloquet W-5 P-2,184,52,0
Carlton,Clear Creek Unorg,26,42,0
Carlton,Corona Unorg,35,31,0
Carlton,Cromwell,49,38,0
Carlton,Eagle Twp,127,174,0
Carlton,Holyoke Twp,42,69,0
Carlton,Kalevala Twp,51,95,0
Carlton,Kettle River,45,28,0
Carlton,Lakeview Twp,49,49,0
Carlton,Mahtowa Twp,152,175,0
Carlton,Moose Lake,377,266,0
Carlton,Moose Lake Twp,203,284,0
Carlton,Progress Unorg,7,3,0
Carlton,Perch Lake Twp,296,182,0
Carlton,Red Clover Unorg,58,74,0
Carlton,Sawyer Unorg,73,84,0
Carlton,Scanlon,291,201,0
Carlton,Silver Brook Twp,124,205,0
Carlton,Silver Twp,102,136,0
Carlton,Skelton Twp,99,118,0
Carlton,Split Rock Twp,28,49,0
Carlton,Thomson Twp,1337,1503,0
Carlton,Twin Lakes Twp,568,561,0
Carlton,Wrenshall,130,83,0
Carlton,Wrenshall Twp,114,119,0
Carlton,Wright,19,17,0
Carver,Benton Twp,112,335,0
Carver,Camden Twp,103,419,0
Carver,Carver,930,1145,0
Carver,Chanhassen P-1A,907,731,0
Carver,Chanhassen P-1B,941,928,0
Carver,Chanhassen P-2A,673,646,0
Carver,Chanhassen P-2B,1025,968,0
Carver,Chanhassen P-3,1166,1196,0
Carver,Chanhassen P-4,1154,1108,0
Carver,Chanhassen P-5,1135,1175,0
Carver,Chaska W-1,1371,1639,0
Carver,Chaska W-2,1739,1836,0
Carver,Chaska W-3,1263,1287,0
Carver,Chaska W-4,1454,1414,0
Carver,Cologne,302,584,0
Carver,Dahlgren Twp P-1,212,506,0
Carver,Dahlgren Twp P-2,15,24,0
Carver,Hamburg,54,231,0
Carver,Hancock Twp,39,148,0
Carver,Hollywood Twp,150,453,0
Carver,Laketown Twp,322,710,0
Carver,Mayer,258,747,0
Carver,New Germany,30,148,0
Carver,Norwood Young America,515,1243,0
Carver,San Francisco Twp,162,381,0
Carver,Victoria P-1,402,542,0
Carver,Victoria P-2,758,949,0
Carver,Victoria P-3,808,1317,0
Carver,Waconia W-1,1064,1585,0
Carver,Waconia W-2,1319,1916,0
Carver,Waconia Twp,192,490,0
Carver,Watertown,635,1407,0
Carver,Watertown Twp,209,522,0
Carver,Young America Twp,89,326,0
Cass,Ansel Twp,4,33,0
Cass,Backus,33,56,0
Cass,Barclay Twp,65,170,0
Cass,Becker Twp,36,183,0
Cass,Bena,17,13,0
Cass,Beulah Twp,12,31,0
Cass,Birch Lake Twp,115,248,0
Cass,Blind Lake Twp,15,23,0
Cass,Boy Lake Twp,32,46,0
Cass,Boy River,0,6,0
Cass,Boy River Twp,10,27,0
Cass,Bull Moose Twp,14,39,0
Cass,Bungo Twp,15,70,0
Cass,Byron Twp,19,58,0
Cass,Cass Lake,139,56,0
Cass,Chickamaw Beach,30,40,0
Cass,Crooked Lake Twp,162,190,0
Cass,Deerfield Twp,19,47,0
Cass,East Gull Lake,205,458,0
Cass,Fairview Twp,123,391,0
Cass,Federal Dam,20,24,0
Cass,Gould Twp,41,53,0
Cass,Hackensack,78,92,0
Cass,Hardwood South,5,16,0
Cass,Hiram Twp,105,144,0
Cass,Homebrook Twp,25,91,0
Cass,Inguadona Twp,34,68,0
Cass,Kego Twp,117,216,0
Cass,Lake Shore,197,483,0
Cass,Leech Lake Twp,69,187,0
Cass,Lima Twp,13,30,0
Cass,Longville,26,73,0
Cass,Loon Lake Twp,78,175,0
Cass,McKinley Twp,16,39,0
Cass,Maple Twp,41,158,0
Cass,May Twp,68,400,0
Cass,Meadow Brook Twp,13,76,0
Cass,Moose Lake Twp,12,48,0
Cass,Motley,0,9,0
Cass,Otter Tail Peninsula Twp,13,25,0
Cass,Pike Bay Twp,342,170,0
Cass,Pillager,49,150,0
Cass,Pine Lake Twp,62,71,0
Cass,Pine River,93,245,0
Cass,Pine River Twp,126,442,0
Cass,Ponto Lake Twp,148,242,0
Cass,Poplar Twp,5,51,0
Cass,Powers Twp,133,292,0
Cass,Remer,54,96,0
Cass,Remer Twp,21,65,0
Cass,Rogers Point,0,1,0
Cass,Rogers Twp,17,40,0
Cass,Salem Twp P-1,9,42,0
Cass,Salem Twp P-2,0,0,0
Cass,Shingobee Twp P-1,309,560,0
Cass,Shingobee Twp P-2,34,18,0
Cass,Slater Twp,33,74,0
Cass,Smoky Hollow Twp,13,28,0
Cass,Sucker Lakes,3,2,0
Cass,Sylvan Twp,418,988,0
Cass,Thunder Lake Twp,56,119,0
Cass,Torrey Twp,23,48,0
Cass,Trelipe Twp,40,79,0
Cass,Turtle Lake Twp,129,261,0
Cass,Wabedo Twp,101,177,0
Cass,Wahnena,19,66,0
Cass,Walden Twp,48,137,0
Cass,Walker,227,297,0
Cass,Wilkinson Twp,97,77,0
Cass,Willow River,9,10,0
Cass,Wilson Twp,51,214,0
Cass,Winnie Portage Lakes,34,55,0
Cass,Woodrow Twp,210,273,0
Chippewa,Big Bend Twp,66,80,0
Chippewa,Clara City,194,493,0
Chippewa,Crate Twp,27,62,0
Chippewa,Grace Twp,9,45,0
Chippewa,Granite Falls W-2,212,217,0
Chippewa,Granite Falls Twp P-1,36,96,0
Chippewa,Granite Falls Twp P-2,0,0,0
Chippewa,Havelock Twp,26,56,0
Chippewa,Kragero Twp,39,42,0
Chippewa,Leenthrop Twp,39,96,0
Chippewa,Lone Tree Twp,25,88,0
Chippewa,Louriston Twp,19,53,0
Chippewa,Mandt Twp,29,48,0
Chippewa,Maynard,43,114,0
Chippewa,Milan,62,53,0
Chippewa,Montevideo P-1,446,661,0
Chippewa,Montevideo P-2,420,674,0
Chippewa,Raymond,0,0,0
Chippewa,Rheiderland Twp,12,132,0
Chippewa,Rosewood Twp,35,150,0
Chippewa,Sparta Twp,142,282,0
Chippewa,Stoneham Twp,31,93,0
Chippewa,Tunsberg Twp,30,81,0
Chippewa,Watson,24,63,0
Chippewa,Woods Twp,12,85,0
Chisago,Amador Twp,161,327,0
Chisago,Center City,174,174,0
Chisago,Chisago City,1032,1814,0
Chisago,Chisago Lake Twp P-N,503,836,0
Chisago,Chisago Lake Twp P-S,524,886,0
Chisago,Fish Lake Twp,360,832,0
Chisago,Franconia Twp,347,578,0
Chisago,Harris,180,403,0
Chisago,Lent Twp,465,1252,0
Chisago,Lindstrom,938,1437,0
Chisago,Nessel Twp,300,766,0
Chisago,North Branch P-B,403,941,0
Chisago,North Branch P-C,638,1418,0
Chisago,North Branch P-A,395,961,0
Chisago,Rush City,300,567,0
Chisago,Rushseba Twp,119,296,0
Chisago,Shafer,139,292,0
Chisago,Shafer Twp P-A,191,398,0
Chisago,Shafer Twp P-B,12,18,0
Chisago,Stacy,194,475,0
Chisago,Sunrise Twp,290,747,0
Chisago,Taylors Falls,227,296,0
Chisago,Wyoming,1386,2727,0
Clay,Alliance Twp,37,73,0
Clay,Barnesville W-1,165,258,0
Clay,Barnesville W-2,129,220,0
Clay,Barnesville W-3,150,244,0
Clay,Barnesville Twp,21,61,0
Clay,Comstock,13,24,0
Clay,Cromwell Twp,58,118,0
Clay,Dilworth,836,967,0
Clay,Eglon Twp,124,220,0
Clay,Elkton Twp,65,94,0
Clay,Elmwood Twp,71,132,0
Clay,Felton,26,52,0
Clay,Felton Twp,13,32,0
Clay,Flowing Twp,15,29,0
Clay,Georgetown,10,19,0
Clay,Georgetown Twp,27,34,0
Clay,Glyndon,203,322,0
Clay,Glyndon Twp,50,103,0
Clay,Goose Prairie Twp,41,56,0
Clay,Hagen Twp,27,46,0
Clay,Hawley,398,545,0
Clay,Hawley Twp,98,144,0
Clay,Highland Grove Twp,56,81,0
Clay,Hitterdal,49,41,0
Clay,Holy Cross Twp,21,44,0
Clay,Humboldt Twp,45,96,0
Clay,Keene Twp,23,37,0
Clay,Kragnes Twp,36,126,0
Clay,Kurtz Twp,50,84,0
Clay,Moland Twp,50,101,0
Clay,Moorhead W-1 P-1A,973,924,0
Clay,Moorhead W-1 P-1B,283,438,0
Clay,Moorhead W-1 P-2,1002,567,0
Clay,Moorhead W-2 P-3,682,589,0
Clay,Moorhead W-2 P-4,1030,911,0
Clay,Moorhead W-2 P-5A,294,207,0
Clay,Moorhead W-2 P-5B,314,197,0
Clay,Moorhead W-3 P-6A,313,130,0
Clay,Moorhead W-3 P-6B,844,441,0
Clay,Moorhead W-3 P-7,560,449,0
Clay,Moorhead W-3 P-8,766,890,0
Clay,Moorhead W-4 P-9,444,362,0
Clay,Moorhead W-4 P-10,373,337,0
Clay,Moorhead W-4 P-11,740,721,0
Clay,Moorhead W-4 P-12,772,730,0
Clay,Moorhead Twp P-1,37,56,0
Clay,Moorhead Twp P-2,0,2,0
Clay,Morken Twp,32,71,0
Clay,Oakport Twp,64,157,0
Clay,Parke Twp,100,206,0
Clay,Riverton Twp,71,171,0
Clay,Sabin,85,182,0
Clay,Skree Twp,41,56,0
Clay,Spring Prairie Twp,42,87,0
Clay,Tansem Twp,38,75,0
Clay,Ulen,122,102,0
Clay,Ulen Twp,19,61,0
Clay,Viding Twp,23,21,0
Clearwater,Bagley,178,307,0
Clearwater,Bear Creek Twp,17,47,0
Clearwater,Clearbrook,66,166,0
Clearwater,Clover Twp,13,47,0
Clearwater,Copley Twp,108,348,0
Clearwater,Dudley Twp,38,148,0
